maint_id,vehicle_id,fleet_id,maintenance_type,maintenance_date,odometer_km,workshop,parts_cost_pkr,labour_cost_pkr,total_cost_pkr,currency,status,next_due_km,next_due_date,technician_name,remarks
MN00034,VH00074,FL002,Body Repair / Dent,2026-05-20,160509,City Motors Rawalpindi,13351.0,16845.0,30196.0,PKR,Completed,210509,2026-10-14,Tech-6,Urgent – advised immediate action
MN00035,VH00089,FL001,Body Repair / Dent,2023-06-18,229390,Official Toyota Service Center Islamabad,7260.0,15887.0,23147.0,PKR,Scheduled,279390,2023-12-19,Tech-19,
MN00036,VH00005,FL003,Suspension Repair,2024-06-09,84213,Honda Authorized Workshop Lahore,4958.0,9539.0,14497.0,PKR,Completed,144213,2025-04-11,Tech-10,
MN00037,VH00064,FL001,Brake Pad Replace,2023-08-10,135291,National Auto Parts & Repair,3836.0,2707.0,6543.0,PKR,Completed,160291,2024-06-18,Tech-4,Urgent – advised immediate action
MN00038,VH00068,FL002,Suspension Repair,2022-11-08,150443,Official Toyota Service Center Islamabad,6078.0,8546.0,14624.0,PKR,Completed,210443,2023-07-02,Tech-11,Replaced as per schedule
MN00039,VH00044,FL002,Brake Pad Replace,2024-09-26,180089,Fast Lube Islamabad,3829.0,3514.0,7343.0,PKR,Completed,205089,2025-05-23,Tech-4,Customer-reported issue resolved
MN00040,VH00061,FL004,Suspension Repair,2022-11-10,176385,Honda Authorized Workshop Lahore,11212.0,10328.0,21540.0,PKR,Completed,236385,2023-06-23,Tech-11,Replaced as per schedule
MN00041,VH00042,FL002,Brake Pad Replace,2026-04-06,190291,Fast Lube Islamabad,3789.0,2838.0,6627.0,PKR,Completed,215291,2026-10-16,Tech-6,Warranty covered – no cost to fleet
MN00042,VH00080,FL002,Body Repair / Dent,2023-07-13,145955,Fast Lube Islamabad,10129.0,9326.0,19455.0,PKR,Completed,195955,2024-04-05,Tech-12,Customer-reported issue resolved
MN00043,VH00017,FL001,Tyre Replacement,2023-03-16,152105,City Motors Rawalpindi,7699.0,10836.0,18535.0,PKR,Scheduled,192105,2023-06-26,Tech-19,Replaced as per schedule
MN00044,VH00062,FL001,Tyre Replacement,2022-05-25,182542,CarPro Workshop F-10,10994.0,9047.0,20041.0,PKR,Completed,222542,2022-12-20,Tech-2,Minor wear observed
MN00045,VH00108,FL001,Body Repair / Dent,2023-11-21,213818,Premier Auto Care Karachi,15812.0,15445.0,31257.0,PKR,Completed,263818,2024-09-15,Tech-7,Warranty covered – no cost to fleet
MN00046,VH00064,FL001,AC Service,2026-01-16,113496,City Motors Rawalpindi,2440.0,3916.0,6356.0,PKR,Completed,128496,2026-04-16,Tech-18,Minor wear observed
MN00047,VH00044,FL002,Tyre Replacement,2023-07-18,159140,Al-Hamd Auto Workshop,6906.0,8009.0,14915.0,PKR,Completed,199140,2024-05-08,Tech-16,Urgent – advised immediate action
MN00048,VH00113,FL004,Tyre Replacement,2024-05-28,135057,Official Toyota Service Center Islamabad,9851.0,7500.0,17351.0,PKR,Completed,175057,2024-12-11,Tech-8,Customer-reported issue resolved
MN00049,VH00099,FL001,Body Repair / Dent,2025-01-10,56839,CarPro Workshop F-10,8781.0,12577.0,21358.0,PKR,Scheduled,106839,2025-07-05,Tech-9,Replaced as per schedule
MN00050,VH00081,FL001,Accident Repair,2024-01-28,38839,Official Toyota Service Center Islamabad,45350.0,63721.0,109071.0,PKR,Completed,88839,2025-01-01,Tech-13,
MN00051,VH00026,FL003,Tyre Rotation,2025-04-14,213169,CarPro Workshop F-10,443.0,515.0,958.0,PKR,Completed,223169,2025-08-17,Tech-12,Warranty covered – no cost to fleet
MN00052,VH00094,FL002,Suspension Repair,2022-02-18,132105,Official Toyota Service Center Islamabad,7688.0,8707.0,16395.0,PKR,Completed,192105,2022-10-29,Tech-8,Minor wear observed
MN00053,VH00119,FL003,Glass Replace,2022-09-05,65978,Pak Euro Motors,10984.0,9853.0,20837.0,PKR,Completed,115978,2023-04-04,Tech-16,Warranty covered – no cost to fleet
MN00054,VH00085,FL002,Battery Replace,2025-08-04,135745,Official Toyota Service Center Islamabad,4247.0,4293.0,8540.0,PKR,Completed,185745,2026-05-29,Tech-2,Warranty covered – no cost to fleet
MN00055,VH00059,FL002,Accident Repair,2024-07-24,165883,CarPro Workshop F-10,52444.0,62722.0,115166.0,PKR,Completed,215883,2025-04-03,Tech-1,Minor wear observed
MN00056,VH00041,FL001,Engine Tune-Up,2022-04-17,131914,Premier Auto Care Karachi,2649.0,5888.0,8537.0,PKR,Warranty Claim,151914,2022-12-02,Tech-13,Urgent – advised immediate action
MN00057,VH00115,FL001,Accident Repair,2023-10-05,207026,Official Toyota Service Center Islamabad,32508.0,27318.0,59826.0,PKR,Warranty Claim,257026,2024-04-07,Tech-4,Minor wear observed
MN00058,VH00001,FL002,Accident Repair,2026-04-04,172861,National Auto Parts & Repair,33402.0,48829.0,82231.0,PKR,Completed,222861,2026-11-05,Tech-17,Warranty covered – no cost to fleet
MN00059,VH00081,FL001,Periodic Inspection,2022-06-10,15092,Premier Auto Care Karachi,886.0,791.0,1677.0,PKR,Completed,20092,2023-03-05,Tech-14,Replaced as per schedule
MN00060,VH00115,FL001,Glass Replace,2023-02-01,199434,Workshop In-House (Fleet Mechanic),10874.0,13960.0,24834.0,PKR,Completed,249434,2023-06-06,Tech-9,Minor wear observed
MN00061,VH00008,FL004,AC Service,2024-06-25,131817,Pak Euro Motors,2438.0,1946.0,4384.0,PKR,Scheduled,146817,2024-10-24,Tech-16,Customer-reported issue resolved
MN00062,VH00012,FL001,Tyre Rotation,2023-11-27,129824,Honda Authorized Workshop Lahore,660.0,571.0,1231.0,PKR,Scheduled,139824,2024-08-07,Tech-8,
MN00063,VH00034,FL001,Periodic Inspection,2025-04-15,106644,Al-Hamd Auto Workshop,891.0,1612.0,2503.0,PKR,Completed,111644,2026-01-31,Tech-3,Replaced as per schedule
MN00064,VH00005,FL003,Battery Replace,2024-04-29,64296,Pak Euro Motors,7707.0,5385.0,13092.0,PKR,Completed,114296,2024-10-11,Tech-4,Warranty covered – no cost to fleet
MN00065,VH00095,FL004,Tyre Replacement,2026-05-02,181699,Premier Auto Care Karachi,6871.0,6454.0,13325.0,PKR,Scheduled,221699,2027-03-02,Tech-1,
MN00066,VH00078,FL002,Periodic Inspection,2024-11-22,152211,Pak Euro Motors,828.0,1835.0,2663.0,PKR,Completed,157211,2025-05-02,Tech-9,Warranty covered – no cost to fleet
MN00067,VH00053,FL002,Glass Replace,2024-09-06,161949,Honda Authorized Workshop Lahore,7683.0,6621.0,14304.0,PKR,Completed,211949,2024-12-23,Tech-13,Minor wear observed
MN00068,VH00048,FL003,Glass Replace,2024-05-30,85580,City Motors Rawalpindi,14992.0,13134.0,28126.0,PKR,In Progress,135580,2024-10-16,Tech-12,Warranty covered – no cost to fleet
MN00069,VH00048,FL003,Battery Replace,2025-11-30,35989,Official Toyota Service Center Islamabad,5601.0,11898.0,17499.0,PKR,Completed,85989,2026-06-30,Tech-6,Replaced as per schedule
MN00070,VH00045,FL001,Tyre Rotation,2023-05-04,176879,National Auto Parts & Repair,299.0,591.0,890.0,PKR,Completed,186879,2024-02-05,Tech-20,Minor wear observed
MN00071,VH00035,FL002,Accident Repair,2026-04-08,96104,CarPro Workshop F-10,30197.0,38916.0,69113.0,PKR,Scheduled,146104,2026-10-06,Tech-16,Warranty covered – no cost to fleet
MN00072,VH00098,FL001,Engine Tune-Up,2024-03-19,182120,National Auto Parts & Repair,2938.0,5174.0,8112.0,PKR,Warranty Claim,202120,2024-11-27,Tech-8,Customer-reported issue resolved
MN00073,VH00063,FL003,Brake Pad Replace,2024-01-20,85053,Bilal Tyre & Battery,2918.0,6283.0,9201.0,PKR,Completed,110053,2024-08-08,Tech-3,Customer-reported issue resolved
MN00074,VH00046,FL001,Periodic Inspection,2024-03-28,165986,CarPro Workshop F-10,856.0,852.0,1708.0,PKR,Completed,170986,2025-01-27,Tech-20,
MN00075,VH00024,FL001,Glass Replace,2024-08-08,148464,Al-Hamd Auto Workshop,9592.0,16353.0,25945.0,PKR,Completed,198464,2024-12-15,Tech-17,Customer-reported issue resolved
MN00076,VH00018,FL003,Body Repair / Dent,2023-07-21,174080,National Auto Parts & Repair,7105.0,16144.0,23249.0,PKR,Completed,224080,2024-03-18,Tech-14,Customer-reported issue resolved
MN00077,VH00057,FL003,Engine Tune-Up,2023-12-14,131264,CarPro Workshop F-10,2995.0,3298.0,6293.0,PKR,Completed,151264,2024-03-28,Tech-2,Warranty covered – no cost to fleet
MN00078,VH00092,FL004,AC Service,2026-05-17,230654,Al-Hamd Auto Workshop,2702.0,3312.0,6014.0,PKR,Completed,245654,2026-12-30,Tech-4,Warranty covered – no cost to fleet
MN00079,VH00087,FL001,Suspension Repair,2025-03-28,74696,National Auto Parts & Repair,4053.0,8710.0,12763.0,PKR,Completed,134696,2025-08-20,Tech-16,Customer-reported issue resolved
MN00080,VH00046,FL001,Periodic Inspection,2022-08-26,127343,Pak Euro Motors,678.0,1434.0,2112.0,PKR,Completed,132343,2023-04-13,Tech-14,Warranty covered – no cost to fleet
MN00081,VH00024,FL001,Suspension Repair,2024-12-10,144115,City Motors Rawalpindi,9146.0,9712.0,18858.0,PKR,Completed,204115,2025-07-04,Tech-8,Urgent – advised immediate action
MN00082,VH00049,FL001,Tyre Replacement,2023-10-14,228622,Bilal Tyre & Battery,8133.0,12842.0,20975.0,PKR,Completed,268622,2024-08-23,Tech-16,Warranty covered – no cost to fleet
MN00083,VH00031,FL001,Body Repair / Dent,2023-08-15,60420,Premier Auto Care Karachi,14299.0,15668.0,29967.0,PKR,Completed,110420,2024-01-03,Tech-19,Replaced as per schedule
MN00084,VH00045,FL001,Glass Replace,2024-11-26,210338,Premier Auto Care Karachi,8154.0,8494.0,16648.0,PKR,In Progress,260338,2025-05-04,Tech-9,Warranty covered – no cost to fleet
MN00085,VH00031,FL001,Transmission Service,2025-09-26,21865,City Motors Rawalpindi,8031.0,5421.0,13452.0,PKR,Completed,51865,2026-07-30,Tech-9,Urgent – advised immediate action
MN00086,VH00064,FL001,Tyre Rotation,2022-08-21,147654,Pak Euro Motors,654.0,696.0,1350.0,PKR,Completed,157654,2023-07-16,Tech-18,Customer-reported issue resolved
MN00087,VH00071,FL002,Brake Pad Replace,2024-03-27,154069,Premier Auto Care Karachi,3941.0,7067.0,11008.0,PKR,Completed,179069,2024-07-22,Tech-7,Customer-reported issue resolved
MN00088,VH00063,FL003,AC Service,2024-10-01,105752,Al-Hamd Auto Workshop,1516.0,2907.0,4423.0,PKR,Completed,120752,2025-03-16,Tech-9,Minor wear observed
MN00089,VH00098,FL001,Tyre Replacement,2026-04-28,194433,CarPro Workshop F-10,6531.0,7808.0,14339.0,PKR,Completed,234433,2026-08-14,Tech-4,Warranty covered – no cost to fleet
MN00090,VH00104,FL003,Engine Tune-Up,2023-01-25,50172,Bilal Tyre & Battery,1620.0,2605.0,4225.0,PKR,Completed,70172,2023-11-17,Tech-20,Customer-reported issue resolved
MN00091,VH00071,FL002,Tyre Rotation,2022-06-01,206978,Official Toyota Service Center Islamabad,778.0,718.0,1496.0,PKR,Completed,216978,2022-10-21,Tech-18,Replaced as per schedule
MN00092,VH00089,FL001,AC Service,2023-06-04,178564,Official Toyota Service Center Islamabad,3208.0,3405.0,6613.0,PKR,Completed,193564,2024-03-04,Tech-11,Minor wear observed
MN00093,VH00063,FL003,AC Service,2024-06-23,142620,Official Toyota Service Center Islamabad,2133.0,1712.0,3845.0,PKR,In Progress,157620,2025-06-08,Tech-7,Customer-reported issue resolved
MN00094,VH00017,FL001,Tyre Rotation,2024-12-02,125435,Premier Auto Care Karachi,426.0,556.0,982.0,PKR,In Progress,135435,2025-10-05,Tech-5,Replaced as per schedule
MN00095,VH00077,FL001,Body Repair / Dent,2025-03-06,179864,City Motors Rawalpindi,9748.0,10455.0,20203.0,PKR,Completed,229864,2025-06-05,Tech-17,Warranty covered – no cost to fleet
MN00096,VH00097,FL002,Glass Replace,2024-12-05,142700,Pak Euro Motors,8378.0,8995.0,17373.0,PKR,Scheduled,192700,2025-05-19,Tech-4,Minor wear observed
MN00097,VH00016,FL001,Oil Change,2024-06-06,113280,National Auto Parts & Repair,1947.0,2929.0,4876.0,PKR,Warranty Claim,118280,2025-02-22,Tech-2,Customer-reported issue resolved
MN00098,VH00054,FL003,Tyre Replacement,2026-06-27,84016,Bilal Tyre & Battery,8317.0,12311.0,20628.0,PKR,Completed,124016,2027-05-25,Tech-6,Minor wear observed
MN00099,VH00094,FL002,Suspension Repair,2024-01-21,126246,Fast Lube Islamabad,8808.0,6057.0,14865.0,PKR,Completed,186246,2024-12-19,Tech-14,Warranty covered – no cost to fleet
MN00100,VH00067,FL001,Oil Change,2024-11-05,101275,Premier Auto Care Karachi,1428.0,3079.0,4507.0,PKR,Completed,106275,2025-03-03,Tech-5,
MN00101,VH00055,FL003,Engine Tune-Up,2025-02-27,163862,Pak Euro Motors,3701.0,4708.0,8409.0,PKR,Completed,183862,2025-06-20,Tech-11,
MN00102,VH00112,FL001,Battery Replace,2024-12-14,170676,Fast Lube Islamabad,4104.0,9150.0,13254.0,PKR,Completed,220676,2025-06-26,Tech-7,Warranty covered – no cost to fleet
MN00103,VH00078,FL002,Periodic Inspection,2022-04-13,107745,National Auto Parts & Repair,858.0,1071.0,1929.0,PKR,Completed,112745,2022-10-27,Tech-5,Customer-reported issue resolved
MN00104,VH00046,FL001,Engine Tune-Up,2023-12-12,135327,CarPro Workshop F-10,3637.0,3585.0,7222.0,PKR,Completed,155327,2024-10-19,Tech-5,Urgent – advised immediate action
MN00105,VH00093,FL002,Glass Replace,2023-02-02,89030,Bilal Tyre & Battery,6338.0,11007.0,17345.0,PKR,Completed,139030,2023-10-27,Tech-6,Warranty covered – no cost to fleet
MN00106,VH00033,FL001,Tyre Rotation,2022-05-16,161026,Fast Lube Islamabad,458.0,762.0,1220.0,PKR,Completed,171026,2022-12-01,Tech-5,Warranty covered – no cost to fleet
MN00107,VH00095,FL004,Oil Change,2022-05-02,177270,Official Toyota Service Center Islamabad,1966.0,1523.0,3489.0,PKR,Completed,182270,2022-11-07,Tech-5,Warranty covered – no cost to fleet
MN00108,VH00098,FL001,Tyre Rotation,2025-05-20,152796,City Motors Rawalpindi,674.0,683.0,1357.0,PKR,Completed,162796,2025-08-27,Tech-14,Customer-reported issue resolved
MN00109,VH00024,FL001,AC Service,2022-12-16,92069,Al-Hamd Auto Workshop,2022.0,2970.0,4992.0,PKR,Completed,107069,2023-05-31,Tech-19,Urgent – advised immediate action
MN00110,VH00016,FL001,Glass Replace,2025-07-01,60011,Al-Hamd Auto Workshop,9134.0,8200.0,17334.0,PKR,Completed,110011,2025-11-28,Tech-9,Urgent – advised immediate action
MN00111,VH00024,FL001,Engine Tune-Up,2025-11-16,116677,Pak Euro Motors,2393.0,3232.0,5625.0,PKR,Scheduled,136677,2026-07-15,Tech-20,
MN00112,VH00010,FL002,Engine Tune-Up,2023-10-14,155513,Honda Authorized Workshop Lahore,3274.0,4581.0,7855.0,PKR,Completed,175513,2024-08-08,Tech-20,Urgent – advised immediate action
MN00113,VH00108,FL001,Accident Repair,2023-11-01,231964,City Motors Rawalpindi,23963.0,48137.0,72100.0,PKR,Scheduled,281964,2024-08-24,Tech-17,
MN00114,VH00033,FL001,Engine Tune-Up,2023-08-22,144869,Workshop In-House (Fleet Mechanic),3254.0,4971.0,8225.0,PKR,Completed,164869,2024-06-18,Tech-14,
MN00115,VH00050,FL002,Suspension Repair,2026-06-17,228792,National Auto Parts & Repair,4811.0,6542.0,11353.0,PKR,Completed,288792,2026-09-23,Tech-19,Warranty covered – no cost to fleet
MN00116,VH00029,FL004,Tyre Replacement,2024-03-09,133679,Official Toyota Service Center Islamabad,9644.0,13481.0,23125.0,PKR,Completed,173679,2025-02-23,Tech-20,
MN00117,VH00012,FL001,Brake Pad Replace,2023-01-13,65122,Honda Authorized Workshop Lahore,4764.0,3725.0,8489.0,PKR,Completed,90122,2023-08-17,Tech-14,Urgent – advised immediate action
MN00118,VH00088,FL003,Engine Tune-Up,2024-08-16,120019,Official Toyota Service Center Islamabad,2653.0,3584.0,6237.0,PKR,In Progress,140019,2025-03-21,Tech-14,Customer-reported issue resolved
MN00119,VH00038,FL003,Suspension Repair,2026-04-16,154189,Bilal Tyre & Battery,5563.0,8333.0,13896.0,PKR,Scheduled,214189,2026-11-02,Tech-10,Urgent – advised immediate action
MN00120,VH00083,FL003,Body Repair / Dent,2025-10-12,189037,Workshop In-House (Fleet Mechanic),15246.0,13745.0,28991.0,PKR,Completed,239037,2026-09-02,Tech-11,
MN00121,VH00058,FL003,Tyre Rotation,2024-02-10,150401,Workshop In-House (Fleet Mechanic),455.0,658.0,1113.0,PKR,Completed,160401,2024-06-27,Tech-13,Customer-reported issue resolved
MN00122,VH00011,FL001,Transmission Service,2023-02-06,86189,Pak Euro Motors,3671.0,7726.0,11397.0,PKR,Completed,116189,2023-07-28,Tech-9,Minor wear observed
MN00123,VH00023,FL001,Battery Replace,2022-09-20,103382,City Motors Rawalpindi,10218.0,7140.0,17358.0,PKR,Scheduled,153382,2023-03-30,Tech-6,Customer-reported issue resolved
MN00124,VH00035,FL002,Accident Repair,2025-11-18,135292,City Motors Rawalpindi,37688.0,48040.0,85728.0,PKR,Completed,185292,2026-06-08,Tech-4,
MN00125,VH00095,FL004,Periodic Inspection,2023-12-30,149028,Pak Euro Motors,673.0,1102.0,1775.0,PKR,Completed,154028,2024-11-03,Tech-1,
MN00126,VH00076,FL001,AC Service,2022-07-05,172206,City Motors Rawalpindi,1330.0,2790.0,4120.0,PKR,Completed,187206,2023-04-16,Tech-4,Replaced as per schedule
MN00127,VH00024,FL001,Tyre Rotation,2025-07-05,133326,Al-Hamd Auto Workshop,484.0,427.0,911.0,PKR,Completed,143326,2026-02-11,Tech-2,Replaced as per schedule
MN00128,VH00002,FL002,Battery Replace,2024-12-25,123043,Bilal Tyre & Battery,6955.0,5598.0,12553.0,PKR,Completed,173043,2025-05-13,Tech-6,Minor wear observed
MN00129,VH00106,FL001,Tyre Rotation,2022-06-14,116395,CarPro Workshop F-10,519.0,547.0,1066.0,PKR,Completed,126395,2023-03-19,Tech-2,Replaced as per schedule
MN00130,VH00072,FL003,AC Service,2023-08-06,157630,National Auto Parts & Repair,2194.0,2764.0,4958.0,PKR,Warranty Claim,172630,2024-04-23,Tech-6,Customer-reported issue resolved
MN00131,VH00021,FL003,Battery Replace,2023-11-26,211184,Official Toyota Service Center Islamabad,4562.0,8059.0,12621.0,PKR,Warranty Claim,261184,2024-10-14,Tech-18,Urgent – advised immediate action
MN00132,VH00080,FL002,Accident Repair,2025-09-05,156988,Official Toyota Service Center Islamabad,40013.0,60976.0,100989.0,PKR,Completed,206988,2026-03-02,Tech-12,Replaced as per schedule
MN00133,VH00018,FL003,Tyre Replacement,2022-11-09,186039,Pak Euro Motors,6203.0,11194.0,17397.0,PKR,Completed,226039,2023-11-06,Tech-11,Warranty covered – no cost to fleet
MN00134,VH00106,FL001,Transmission Service,2023-06-10,69649,Pak Euro Motors,3348.0,4492.0,7840.0,PKR,Completed,99649,2024-02-18,Tech-17,Warranty covered – no cost to fleet
MN00135,VH00090,FL003,Transmission Service,2024-11-17,105241,Official Toyota Service Center Islamabad,4907.0,6914.0,11821.0,PKR,In Progress,135241,2025-04-03,Tech-9,Customer-reported issue resolved
MN00136,VH00056,FL002,Oil Change,2024-01-22,133740,Premier Auto Care Karachi,1253.0,2912.0,4165.0,PKR,In Progress,138740,2024-06-15,Tech-3,Minor wear observed
MN00137,VH00102,FL001,Brake Pad Replace,2023-03-17,82098,Fast Lube Islamabad,3423.0,4845.0,8268.0,PKR,Completed,107098,2023-12-17,Tech-6,Urgent – advised immediate action
MN00138,VH00056,FL002,Oil Change,2022-11-16,101987,Al-Hamd Auto Workshop,1353.0,2120.0,3473.0,PKR,Warranty Claim,106987,2023-09-09,Tech-17,Urgent – advised immediate action
MN00139,VH00027,FL002,Periodic Inspection,2022-08-22,97081,Fast Lube Islamabad,1083.0,1419.0,2502.0,PKR,Completed,102081,2023-03-21,Tech-6,Customer-reported issue resolved
MN00140,VH00091,FL001,Suspension Repair,2023-05-23,246933,Honda Authorized Workshop Lahore,4360.0,9750.0,14110.0,PKR,Completed,306933,2023-11-12,Tech-14,Customer-reported issue resolved
MN00141,VH00020,FL003,Engine Tune-Up,2023-06-29,89344,National Auto Parts & Repair,4853.0,3690.0,8543.0,PKR,Completed,109344,2024-01-02,Tech-4,Replaced as per schedule
MN00142,VH00066,FL002,Glass Replace,2024-01-19,211224,Fast Lube Islamabad,7044.0,12730.0,19774.0,PKR,Completed,261224,2024-11-26,Tech-14,Replaced as per schedule
MN00143,VH00119,FL003,Suspension Repair,2023-06-02,58950,National Auto Parts & Repair,4934.0,6028.0,10962.0,PKR,Completed,118950,2024-02-27,Tech-4,Warranty covered – no cost to fleet
MN00144,VH00012,FL001,Periodic Inspection,2025-02-01,125602,National Auto Parts & Repair,680.0,1077.0,1757.0,PKR,Completed,130602,2025-07-13,Tech-12,Warranty covered – no cost to fleet
MN00145,VH00078,FL002,Suspension Repair,2022-01-30,160538,Honda Authorized Workshop Lahore,3904.0,7019.0,10923.0,PKR,Completed,220538,2022-10-28,Tech-10,Minor wear observed
