payment_id,invoice_id,booking_id,customer_id,payment_date,amount_pkr,payment_type,payment_method,reference_no,notes
PAY0000028,INV000019,BK000020,CU01467,2024-12-21,1385.0,Advance,JazzCash,REF00000028,Advance 20%
PAY0000029,INV000019,BK000020,CU01467,2024-12-28,5538.0,Final,JazzCash,REF00000029,Final settlement
PAY0000030,INV000020,BK000021,CU00503,2025-09-16,4046.0,Advance,Bank Transfer,REF00000030,Advance 50%
PAY0000031,INV000020,BK000021,CU00503,2025-09-23,4046.0,Final,Bank Transfer,REF00000031,Final settlement
PAY0000032,INV000021,BK000022,CU01773,2024-05-29,48294.0,Full,Cash,REF00000032,
PAY0000033,INV000022,BK000023,CU00255,2023-06-16,5535.0,Advance,EasyPaisa,REF00000033,Advance 20%
PAY0000034,INV000022,BK000023,CU00255,2023-06-23,22138.0,Final,EasyPaisa,REF00000034,Final settlement
PAY0000035,INV000023,BK000024,CU00628,2022-05-28,67015.0,Partial,Bank Transfer,REF00000035,
PAY0000036,INV000024,BK000025,CU00808,2023-07-28,4422.0,Full,Cash,REF00000036,
PAY0000037,INV000025,BK000026,CU01449,2024-05-04,13331.0,Full,JazzCash,REF00000037,
PAY0000038,INV000026,BK000027,CU00652,2023-12-16,10001.0,Advance,JazzCash,REF00000038,Advance 20%
PAY0000039,INV000026,BK000027,CU00652,2023-12-23,40006.0,Final,JazzCash,REF00000039,Final settlement
PAY0000040,INV000027,BK000028,CU01363,2022-07-03,21682.0,Advance,Cash,REF00000040,Advance 50%
PAY0000041,INV000028,BK000029,CU01732,2025-08-07,16178.0,Full,Bank Transfer,REF00000041,
PAY0000042,INV000029,BK000030,CU00403,2026-05-18,8885.0,Full,JazzCash,REF00000042,
PAY0000043,INV000030,BK000032,CU00880,2025-04-07,18720.0,Full,JazzCash,REF00000043,
PAY0000044,INV000031,BK000033,CU00879,2024-05-21,10491.0,Full,JazzCash,REF00000044,
PAY0000045,INV000032,BK000034,CU01207,2024-12-10,2898.0,Advance,Cash,REF00000045,Advance 20%
PAY0000046,INV000032,BK000034,CU01207,2024-12-17,11593.0,Final,Cash,REF00000046,Final settlement
PAY0000047,INV000033,BK000035,CU01793,2024-04-06,9095.0,Full,Cash,REF00000047,
PAY0000048,INV000034,BK000036,CU01234,2025-12-13,19858.0,Advance,JazzCash,REF00000048,Advance 50%
PAY0000049,INV000034,BK000036,CU01234,2025-12-20,4482.0,Final,JazzCash,REF00000049,Final settlement
PAY0000050,INV000035,BK000038,CU01487,2025-10-12,39511.0,Full,Cash,REF00000050,
PAY0000051,INV000036,BK000039,CU00636,2024-01-15,75407.0,Full,Cash,REF00000051,
PAY0000052,INV000037,BK000041,CU01322,2026-03-25,22248.0,Advance,JazzCash,REF00000052,Advance 50%
PAY0000053,INV000037,BK000041,CU01322,2026-04-01,22248.0,Final,JazzCash,REF00000053,Final settlement
PAY0000054,INV000038,BK000042,CU00844,2024-07-12,59146.0,Full,Cash,REF00000054,
PAY0000055,INV000039,BK000043,CU00507,2022-09-24,45192.0,Full,JazzCash,REF00000055,
PAY0000056,INV000040,BK000045,CU00931,2026-04-06,41421.0,Partial,EasyPaisa,REF00000056,
PAY0000057,INV000041,BK000046,CU00871,2023-10-27,25277.0,Full,Bank Transfer,REF00000057,
PAY0000058,INV000042,BK000047,CU00620,2026-01-31,35502.0,Full,Cash,REF00000058,
PAY0000059,INV000043,BK000048,CU01450,2024-06-26,104236.0,Full,Cash,REF00000059,
PAY0000060,INV000044,BK000049,CU01235,2024-03-27,10073.0,Full,EasyPaisa,REF00000060,
PAY0000061,INV000045,BK000050,CU00864,2024-09-11,1688.0,Advance,Cash,REF00000061,Advance 50%
PAY0000062,INV000045,BK000050,CU00864,2024-09-18,1689.0,Final,Cash,REF00000062,Final settlement
PAY0000063,INV000046,BK000051,CU00857,2024-03-08,15683.0,Advance,Card (POS),REF00000063,Advance 20%
PAY0000064,INV000046,BK000051,CU00857,2024-03-15,62730.0,Final,Card (POS),REF00000064,Final settlement
PAY0000065,INV000047,BK000052,CU00434,2023-12-19,3800.0,Advance,Bank Transfer,REF00000065,Advance 50%
PAY0000066,INV000047,BK000052,CU00434,2023-12-26,3800.0,Final,Bank Transfer,REF00000066,Final settlement
PAY0000067,INV000048,BK000053,CU00584,2024-05-03,23462.0,Advance,Cash,REF00000067,Advance 20%
PAY0000068,INV000048,BK000053,CU00584,2024-05-10,93850.0,Final,Cash,REF00000068,Final settlement
PAY0000069,INV000049,BK000054,CU00736,2022-12-28,9010.0,Advance,EasyPaisa,REF00000069,Advance 20%
PAY0000070,INV000049,BK000054,CU00736,2023-01-04,36039.0,Final,EasyPaisa,REF00000070,Final settlement
PAY0000071,INV000050,BK000055,CU00095,2024-06-03,3518.0,Advance,Bank Transfer,REF00000071,Advance 20%
PAY0000072,INV000050,BK000055,CU00095,2024-06-10,14073.0,Final,Bank Transfer,REF00000072,Final settlement
PAY0000073,INV000051,BK000056,CU01351,2025-06-24,32405.0,Full,JazzCash,REF00000073,
PAY0000074,INV000052,BK000057,CU00371,2025-03-23,13551.0,Advance,JazzCash,REF00000074,Advance 20%
PAY0000075,INV000052,BK000057,CU00371,2025-03-30,6006.0,Final,JazzCash,REF00000075,Final settlement
PAY0000076,INV000053,BK000058,CU01377,2026-06-22,8832.0,Partial,EasyPaisa,REF00000076,
PAY0000077,INV000054,BK000059,CU01394,2026-04-22,33098.0,Full,Cash,REF00000077,
PAY0000078,INV000055,BK000060,CU01129,2023-08-22,2697.0,Advance,Cash,REF00000078,Advance 20%
PAY0000079,INV000055,BK000060,CU01129,2023-08-29,10788.0,Final,Cash,REF00000079,Final settlement
PAY0000080,INV000056,BK000061,CU00996,2022-03-07,9554.0,Advance,JazzCash,REF00000080,Advance 50%
PAY0000081,INV000056,BK000061,CU00996,2022-03-14,9555.0,Final,JazzCash,REF00000081,Final settlement
PAY0000082,INV000057,BK000062,CU00527,2025-12-28,10006.0,Full,Cash,REF00000082,
PAY0000083,INV000058,BK000063,CU01729,2022-02-24,2407.0,Advance,Cash,REF00000083,Advance 20%
PAY0000084,INV000058,BK000063,CU01729,2022-03-03,4078.0,Final,Cash,REF00000084,Final settlement
PAY0000085,INV000059,BK000064,CU01783,2026-06-05,61025.0,Advance,Cash,REF00000085,Advance 50%
PAY0000086,INV000059,BK000064,CU01783,2026-06-12,61025.0,Final,Cash,REF00000086,Final settlement
PAY0000087,INV000060,BK000065,CU00227,2023-07-08,12084.0,Advance,Cash,REF00000087,Advance 50%
PAY0000088,INV000060,BK000065,CU00227,2023-07-15,6487.0,Final,Cash,REF00000088,Final settlement
PAY0000089,INV000061,BK000066,CU01069,2024-09-08,1575.0,Advance,JazzCash,REF00000089,Advance 20%
PAY0000090,INV000061,BK000066,CU01069,2024-09-15,6300.0,Final,JazzCash,REF00000090,Final settlement
PAY0000091,INV000062,BK000067,CU01488,2023-06-26,16272.0,Full,Card (POS),REF00000091,
PAY0000092,INV000063,BK000068,CU00053,2025-11-07,5281.0,Advance,Bank Transfer,REF00000092,Advance 20%
PAY0000093,INV000063,BK000068,CU00053,2025-11-14,21124.0,Final,Bank Transfer,REF00000093,Final settlement
PAY0000094,INV000064,BK000069,CU00918,2026-05-14,7694.0,Advance,JazzCash,REF00000094,Advance 50%
PAY0000095,INV000064,BK000069,CU00918,2026-05-21,7695.0,Final,JazzCash,REF00000095,Final settlement
PAY0000096,INV000065,BK000070,CU01197,2024-02-28,15774.0,Partial,JazzCash,REF00000096,
PAY0000097,INV000066,BK000071,CU01435,2026-04-06,7999.0,Full,Card (POS),REF00000097,
PAY0000098,INV000067,BK000072,CU01555,2025-05-11,5516.0,Full,Bank Transfer,REF00000098,
PAY0000099,INV000068,BK000073,CU00842,2024-08-06,140284.0,Full,Cash,REF00000099,
PAY0000100,INV000069,BK000074,CU00681,2024-04-06,4070.0,Advance,Card (POS),REF00000100,Advance 20%
PAY0000101,INV000069,BK000074,CU00681,2024-04-13,16281.0,Final,Card (POS),REF00000101,Final settlement
PAY0000102,INV000070,BK000075,CU01755,2022-04-03,5043.0,Full,Bank Transfer,REF00000102,
PAY0000103,INV000071,BK000076,CU01302,2025-12-20,33000.0,Full,EasyPaisa,REF00000103,
PAY0000104,INV000072,BK000077,CU00210,2022-07-14,1939.0,Advance,EasyPaisa,REF00000104,Advance 20%
PAY0000105,INV000072,BK000077,CU00210,2022-07-21,6008.0,Final,EasyPaisa,REF00000105,Final settlement
PAY0000106,INV000073,BK000078,CU00124,2026-05-19,33787.0,Full,Bank Transfer,REF00000106,
PAY0000107,INV000074,BK000079,CU00560,2024-09-19,20518.0,Advance,Cash,REF00000107,Advance 50%
PAY0000108,INV000074,BK000079,CU00560,2024-09-26,20519.0,Final,Cash,REF00000108,Final settlement
PAY0000109,INV000075,BK000080,CU00961,2025-05-21,20263.0,Advance,EasyPaisa,REF00000109,Advance 20%
PAY0000110,INV000075,BK000080,CU00961,2025-05-28,20057.0,Final,EasyPaisa,REF00000110,Final settlement
PAY0000111,INV000076,BK000081,CU01386,2026-06-14,15849.0,Full,EasyPaisa,REF00000111,
PAY0000112,INV000077,BK000082,CU01887,2025-09-25,465526.0,Full,Cash,REF00000112,
PAY0000113,INV000078,BK000083,CU00429,2026-06-06,315268.0,Full,JazzCash,REF00000113,
PAY0000114,INV000079,BK000084,CU00580,2024-07-05,12745.0,Advance,JazzCash,REF00000114,Advance 20%
PAY0000115,INV000079,BK000084,CU00580,2024-07-12,50981.0,Final,JazzCash,REF00000115,Final settlement
PAY0000116,INV000080,BK000085,CU00387,2026-04-07,8148.0,Advance,JazzCash,REF00000116,Advance 50%
PAY0000117,INV000080,BK000085,CU00387,2026-04-14,8149.0,Final,JazzCash,REF00000117,Final settlement
PAY0000118,INV000081,BK000086,CU01332,2023-12-28,8661.0,Full,JazzCash,REF00000118,
PAY0000119,INV000082,BK000087,CU01176,2024-05-09,2072.0,Advance,Bank Transfer,REF00000119,Advance 20%
PAY0000120,INV000082,BK000087,CU01176,2024-05-16,8289.0,Final,Bank Transfer,REF00000120,Final settlement
PAY0000121,INV000083,BK000088,CU00253,2022-05-14,85868.0,Full,Card (POS),REF00000121,
PAY0000122,INV000084,BK000089,CU00895,2023-04-21,124393.0,Full,Cash,REF00000122,
PAY0000123,INV000085,BK000090,CU00296,2026-03-13,16359.0,Full,Cash,REF00000123,
PAY0000124,INV000086,BK000091,CU00868,2022-05-05,15585.0,Full,Bank Transfer,REF00000124,
PAY0000125,INV000087,BK000092,CU00201,2022-11-28,9734.0,Full,Cash,REF00000125,
PAY0000126,INV000088,BK000093,CU01004,2023-05-25,5872.0,Advance,Cash,REF00000126,Advance 20%
PAY0000127,INV000088,BK000093,CU01004,2023-06-01,23488.0,Final,Cash,REF00000127,Final settlement
PAY0000128,INV000089,BK000094,CU01907,2022-11-08,4591.0,Full,JazzCash,REF00000128,
PAY0000129,INV000090,BK000095,CU01544,2024-09-25,133422.0,Full,Bank Transfer,REF00000129,
PAY0000130,INV000091,BK000096,CU01335,2023-07-06,2251.0,Advance,JazzCash,REF00000130,Advance 20%
PAY0000131,INV000091,BK000096,CU01335,2023-07-13,9006.0,Final,JazzCash,REF00000131,Final settlement
PAY0000132,INV000092,BK000097,CU01542,2024-09-11,49022.0,Full,Bank Transfer,REF00000132,
PAY0000133,INV000093,BK000098,CU01332,2025-08-16,25311.0,Full,JazzCash,REF00000133,
PAY0000134,INV000094,BK000099,CU01027,2022-06-25,5835.0,Advance,Cash,REF00000134,Advance 20%
PAY0000135,INV000094,BK000099,CU01027,2022-07-02,23342.0,Final,Cash,REF00000135,Final settlement
PAY0000136,INV000095,BK000100,CU01538,2025-10-02,12679.0,Advance,Cash,REF00000136,Advance 50%
PAY0000137,INV000095,BK000100,CU01538,2025-10-09,12679.0,Final,Cash,REF00000137,Final settlement
PAY0000138,INV000096,BK000101,CU00316,2024-07-25,24522.0,Advance,EasyPaisa,REF00000138,Advance 20%
PAY0000139,INV000096,BK000101,CU00316,2024-08-01,98090.0,Final,EasyPaisa,REF00000139,Final settlement
PAY0000140,INV000097,BK000102,CU00990,2022-03-07,10095.0,Advance,Cash,REF00000140,Advance 50%
PAY0000141,INV000097,BK000102,CU00990,2022-03-14,10095.0,Final,Cash,REF00000141,Final settlement
PAY0000142,INV000098,BK000104,CU00627,2024-06-11,3879.0,Advance,EasyPaisa,REF00000142,Advance 20%
PAY0000143,INV000098,BK000104,CU00627,2024-06-18,9708.0,Final,EasyPaisa,REF00000143,Final settlement
PAY0000144,INV000099,BK000105,CU00633,2022-12-15,73505.0,Advance,JazzCash,REF00000144,Advance 50%
PAY0000145,INV000099,BK000105,CU00633,2022-12-22,73505.0,Final,JazzCash,REF00000145,Final settlement
PAY0000146,INV000100,BK000106,CU01232,2023-08-13,7271.0,Full,EasyPaisa,REF00000146,
PAY0000147,INV000101,BK000107,CU01921,2025-09-14,17029.0,Full,Cash,REF00000147,
PAY0000148,INV000102,BK000108,CU00497,2026-06-09,20318.0,Advance,Cash,REF00000148,Advance 50%
PAY0000149,INV000102,BK000108,CU00497,2026-06-16,20318.0,Final,Cash,REF00000149,Final settlement
PAY0000150,INV000103,BK000109,CU00910,2026-05-23,18154.0,Advance,EasyPaisa,REF00000150,Advance 50%
PAY0000151,INV000103,BK000109,CU00910,2026-05-30,18155.0,Final,EasyPaisa,REF00000151,Final settlement
PAY0000152,INV000104,BK000110,CU00775,2025-05-21,68090.0,Full,EasyPaisa,REF00000152,
PAY0000153,INV000105,BK000111,CU01449,2026-05-06,25621.0,Full,JazzCash,REF00000153,
PAY0000154,INV000106,BK000112,CU00124,2026-05-09,10720.0,Full,JazzCash,REF00000154,
PAY0000155,INV000107,BK000113,CU01923,2025-10-02,6691.0,Advance,JazzCash,REF00000155,Advance 50%
PAY0000156,INV000107,BK000113,CU01923,2025-10-09,6691.0,Final,JazzCash,REF00000156,Final settlement
PAY0000157,INV000108,BK000114,CU00774,2025-06-07,46924.0,Full,Cash,REF00000157,
PAY0000158,INV000109,BK000115,CU00195,2022-10-29,68548.0,Full,Cash,REF00000158,
PAY0000159,INV000110,BK000116,CU01626,2025-07-02,23816.0,Full,Cash,REF00000159,
PAY0000160,INV000111,BK000117,CU01745,2024-07-13,19994.0,Full,Bank Transfer,REF00000160,
PAY0000161,INV000112,BK000118,CU00888,2026-01-22,91428.0,Full,Bank Transfer,REF00000161,
PAY0000162,INV000113,BK000119,CU01619,2026-03-18,13315.0,Full,JazzCash,REF00000162,
PAY0000163,INV000114,BK000120,CU01862,2025-01-21,7215.0,Advance,Cash,REF00000163,Advance 50%
PAY0000164,INV000114,BK000120,CU01862,2025-01-28,7215.0,Final,Cash,REF00000164,Final settlement
PAY0000165,INV000115,BK000121,CU00768,2022-11-16,9070.0,Full,JazzCash,REF00000165,
PAY0000166,INV000116,BK000122,CU00524,2023-04-23,13002.0,Advance,JazzCash,REF00000166,Advance 20%
PAY0000167,INV000116,BK000122,CU00524,2023-04-30,52008.0,Final,JazzCash,REF00000167,Final settlement
PAY0000168,INV000117,BK000123,CU01977,2025-03-01,33316.0,Full,Cash,REF00000168,
PAY0000169,INV000118,BK000124,CU00805,2023-10-18,11201.0,Full,Cash,REF00000169,
PAY0000170,INV000119,BK000125,CU01354,2024-01-28,56677.0,Full,JazzCash,REF00000170,
PAY0000171,INV000120,BK000126,CU00907,2025-06-25,39656.0,Full,EasyPaisa,REF00000171,
PAY0000172,INV000121,BK000127,CU01281,2026-02-21,26706.0,Full,JazzCash,REF00000172,
PAY0000173,INV000122,BK000128,CU00203,2024-12-06,55720.0,Advance,EasyPaisa,REF00000173,Advance 50%
PAY0000174,INV000122,BK000128,CU00203,2024-12-13,55719.0,Final,EasyPaisa,REF00000174,Final settlement
PAY0000175,INV000123,BK000130,CU01408,2024-06-19,807.0,Advance,Cash,REF00000175,Advance 20%
PAY0000176,INV000123,BK000130,CU01408,2024-06-26,3228.0,Final,Cash,REF00000176,Final settlement
PAY0000177,INV000124,BK000131,CU01649,2025-09-11,2904.0,Advance,Cash,REF00000177,Advance 20%
PAY0000178,INV000124,BK000131,CU01649,2025-09-18,11617.0,Final,Cash,REF00000178,Final settlement
PAY0000179,INV000125,BK000132,CU00901,2023-07-10,28778.0,Full,EasyPaisa,REF00000179,
PAY0000180,INV000126,BK000133,CU01043,2026-02-28,4589.0,Advance,Cash,REF00000180,Advance 50%
PAY0000181,INV000126,BK000133,CU01043,2026-03-07,4589.0,Final,Cash,REF00000181,Final settlement
PAY0000182,INV000127,BK000134,CU00417,2026-03-12,627.0,Advance,EasyPaisa,REF00000182,Advance 20%
PAY0000183,INV000127,BK000134,CU00417,2026-03-19,2508.0,Final,EasyPaisa,REF00000183,Final settlement
PAY0000184,INV000128,BK000135,CU00489,2024-04-02,38354.0,Full,Bank Transfer,REF00000184,
PAY0000185,INV000129,BK000136,CU01521,2023-10-02,94694.0,Advance,Bank Transfer,REF00000185,Advance 50%
PAY0000186,INV000129,BK000136,CU01521,2023-10-09,94693.0,Final,Bank Transfer,REF00000186,Final settlement
PAY0000187,INV000130,BK000137,CU00126,2026-03-09,60786.0,Full,Bank Transfer,REF00000187,
PAY0000188,INV000131,BK000138,CU00940,2025-06-15,10766.0,Advance,Card (POS),REF00000188,Advance 50%
PAY0000189,INV000131,BK000138,CU00940,2025-06-22,10765.0,Final,Card (POS),REF00000189,Final settlement
PAY0000190,INV000132,BK000139,CU00719,2022-03-23,5576.0,Partial,EasyPaisa,REF00000190,
PAY0000191,INV000133,BK000140,CU01437,2023-04-10,49376.0,Advance,JazzCash,REF00000191,Advance 50%
PAY0000192,INV000133,BK000140,CU01437,2023-04-17,49376.0,Final,JazzCash,REF00000192,Final settlement
PAY0000193,INV000134,BK000141,CU01982,2024-07-11,28482.0,Advance,Cash,REF00000193,Advance 50%
PAY0000194,INV000135,BK000142,CU01787,2025-01-21,5169.0,Full,EasyPaisa,REF00000194,
PAY0000195,INV000136,BK000143,CU00230,2024-04-29,30720.0,Full,Cash,REF00000195,
PAY0000196,INV000137,BK000144,CU00195,2023-04-06,2340.0,Advance,EasyPaisa,REF00000196,Advance 20%
PAY0000197,INV000137,BK000144,CU00195,2023-04-13,9359.0,Final,EasyPaisa,REF00000197,Final settlement
PAY0000198,INV000138,BK000145,CU00086,2022-07-11,6952.0,Full,Card (POS),REF00000198,
PAY0000199,INV000139,BK000146,CU00200,2026-06-27,32038.0,Advance,Cash,REF00000199,Advance 50%
PAY0000200,INV000139,BK000146,CU00200,2026-07-04,32038.0,Final,Cash,REF00000200,Final settlement
PAY0000201,INV000140,BK000147,CU01605,2026-02-16,6101.0,Advance,EasyPaisa,REF00000201,Advance 20%
PAY0000202,INV000140,BK000147,CU01605,2026-02-23,24403.0,Final,EasyPaisa,REF00000202,Final settlement
PAY0000203,INV000141,BK000148,CU01555,2024-09-24,7540.0,Advance,Cash,REF00000203,Advance 50%
PAY0000204,INV000141,BK000148,CU01555,2024-10-01,7540.0,Final,Cash,REF00000204,Final settlement
PAY0000205,INV000142,BK000149,CU00721,2022-05-12,66501.0,Full,JazzCash,REF00000205,
PAY0000206,INV000143,BK000150,CU01087,2022-04-20,18898.0,Full,Bank Transfer,REF00000206,
PAY0000207,INV000144,BK000151,CU00963,2023-08-16,5106.0,Full,Cash,REF00000207,
PAY0000208,INV000145,BK000152,CU00037,2026-06-26,74937.0,Full,Cash,REF00000208,
PAY0000209,INV000146,BK000153,CU01083,2024-11-23,11819.0,Full,Cash,REF00000209,
PAY0000210,INV000147,BK000154,CU01044,2023-07-26,11691.0,Advance,Cash,REF00000210,Advance 50%
PAY0000211,INV000147,BK000154,CU01044,2023-08-02,5691.0,Final,Cash,REF00000211,Final settlement
PAY0000212,INV000148,BK000155,CU00466,2026-06-11,128697.0,Full,Cash,REF00000212,
PAY0000213,INV000149,BK000156,CU01581,2022-10-25,3660.0,Advance,Cash,REF00000213,Advance 50%
PAY0000214,INV000150,BK000157,CU00972,2022-04-06,94863.0,Full,JazzCash,REF00000214,
PAY0000215,INV000151,BK000158,CU01933,2023-09-14,20232.0,Advance,JazzCash,REF00000215,Advance 20%
PAY0000216,INV000151,BK000158,CU01933,2023-09-21,80930.0,Final,JazzCash,REF00000216,Final settlement
PAY0000217,INV000152,BK000159,CU01158,2024-06-04,12011.0,Advance,Cash,REF00000217,Advance 20%
PAY0000218,INV000152,BK000159,CU01158,2024-06-11,48045.0,Final,Cash,REF00000218,Final settlement
PAY0000219,INV000153,BK000160,CU00267,2025-12-14,23177.0,Full,JazzCash,REF00000219,
PAY0000220,INV000154,BK000161,CU01917,2025-08-28,29007.0,Full,Cash,REF00000220,
PAY0000221,INV000155,BK000162,CU01023,2025-06-17,58418.0,Advance,JazzCash,REF00000221,Advance 50%
PAY0000222,INV000155,BK000162,CU01023,2025-06-24,4163.0,Final,JazzCash,REF00000222,Final settlement
PAY0000223,INV000156,BK000163,CU01977,2022-06-27,8436.0,Advance,Cash,REF00000223,Advance 50%
PAY0000224,INV000156,BK000163,CU01977,2022-07-04,8437.0,Final,Cash,REF00000224,Final settlement
PAY0000225,INV000157,BK000164,CU01817,2025-11-26,3112.0,Advance,JazzCash,REF00000225,Advance 20%
PAY0000226,INV000157,BK000164,CU01817,2025-12-03,12447.0,Final,JazzCash,REF00000226,Final settlement
PAY0000227,INV000158,BK000165,CU01176,2022-10-12,20591.0,Partial,JazzCash,REF00000227,
PAY0000228,INV000159,BK000166,CU00747,2022-08-24,6257.0,Full,Card (POS),REF00000228,
PAY0000229,INV000160,BK000167,CU01634,2023-11-06,79824.0,Full,Cash,REF00000229,
PAY0000230,INV000161,BK000168,CU01487,2025-05-23,6717.0,Advance,EasyPaisa,REF00000230,Advance 20%
PAY0000231,INV000161,BK000168,CU01487,2025-05-30,26870.0,Final,EasyPaisa,REF00000231,Final settlement
PAY0000232,INV000162,BK000169,CU01139,2024-09-18,1492.0,Advance,Cash,REF00000232,Advance 20%
PAY0000233,INV000162,BK000169,CU01139,2024-09-25,5969.0,Final,Cash,REF00000233,Final settlement
PAY0000234,INV000163,BK000170,CU00103,2026-01-13,22093.0,Full,Bank Transfer,REF00000234,
PAY0000235,INV000164,BK000171,CU01091,2023-08-20,31894.0,Advance,Cash,REF00000235,Advance 20%
PAY0000236,INV000164,BK000171,CU01091,2023-08-27,127578.0,Final,Cash,REF00000236,Final settlement
PAY0000237,INV000165,BK000172,CU01787,2026-05-13,11485.0,Full,JazzCash,REF00000237,
PAY0000238,INV000166,BK000173,CU00149,2023-06-03,4325.0,Advance,JazzCash,REF00000238,Advance 20%
PAY0000239,INV000166,BK000173,CU00149,2023-06-10,17298.0,Final,JazzCash,REF00000239,Final settlement
PAY0000240,INV000167,BK000174,CU00595,2024-04-18,26131.0,Partial,Cash,REF00000240,
PAY0000241,INV000168,BK000175,CU00976,2026-04-28,10797.0,Partial,Card (POS),REF00000241,
PAY0000242,INV000169,BK000176,CU00288,2022-05-28,19842.0,Advance,JazzCash,REF00000242,Advance 50%
PAY0000243,INV000169,BK000176,CU00288,2022-06-04,19841.0,Final,JazzCash,REF00000243,Final settlement
PAY0000244,INV000170,BK000177,CU00411,2026-04-23,23184.0,Advance,Bank Transfer,REF00000244,Advance 50%
PAY0000245,INV000170,BK000177,CU00411,2026-04-30,5479.0,Final,Bank Transfer,REF00000245,Final settlement
PAY0000246,INV000171,BK000178,CU00373,2025-01-25,3004.0,Advance,Cash,REF00000246,Advance 20%
PAY0000247,INV000171,BK000178,CU00373,2025-02-01,12016.0,Final,Cash,REF00000247,Final settlement
PAY0000248,INV000172,BK000179,CU00212,2026-05-25,11149.0,Full,JazzCash,REF00000248,
PAY0000249,INV000173,BK000180,CU00689,2025-04-25,241130.0,Full,JazzCash,REF00000249,
PAY0000250,INV000174,BK000181,CU00268,2022-05-26,5656.0,Advance,JazzCash,REF00000250,Advance 50%
PAY0000251,INV000174,BK000181,CU00268,2022-06-02,5657.0,Final,JazzCash,REF00000251,Final settlement
PAY0000252,INV000175,BK000182,CU00306,2024-12-17,11362.0,Full,EasyPaisa,REF00000252,
PAY0000253,INV000176,BK000183,CU01290,2025-02-01,21044.0,Advance,Cash,REF00000253,Advance 50%
PAY0000254,INV000176,BK000183,CU01290,2025-02-08,21043.0,Final,Cash,REF00000254,Final settlement
PAY0000255,INV000177,BK000184,CU00624,2023-12-28,15128.0,Full,JazzCash,REF00000255,
PAY0000256,INV000178,BK000185,CU01016,2026-01-16,22184.0,Advance,JazzCash,REF00000256,Advance 20%
PAY0000257,INV000178,BK000185,CU01016,2026-01-23,88736.0,Final,JazzCash,REF00000257,Final settlement
PAY0000258,INV000179,BK000186,CU00112,2022-02-09,3295.0,Advance,JazzCash,REF00000258,Advance 20%
PAY0000259,INV000179,BK000186,CU00112,2022-02-16,13182.0,Final,JazzCash,REF00000259,Final settlement
