line_id,invoice_id,charge_type,description,qty,unit_price,amount_pkr
LI0000098,INV000046,Surcharge,Airport Pickup/Drop,1.0,4000.0,4000.0
LI0000099,INV000047,Base Rental Fare,City Ride – 0.33 day(s),0.33,12081.818181818182,3987.0
LI0000100,INV000047,Surcharge,Fuel Surcharge,1.0,1500.0,1500.0
LI0000101,INV000048,Base Rental Fare,Corporate – 5.56 day(s),5.56,20829.4964028777,115812.0
LI0000102,INV000048,Surcharge,Peak Season Premium,1.0,1500.0,1500.0
LI0000103,INV000049,Base Rental Fare,City Ride – 0.81 day(s),0.81,43295.061728395056,35069.0
LI0000104,INV000049,Surcharge,Night Surcharge,1.0,3507.0,3507.0
LI0000105,INV000049,Surcharge,Extra KM,1.0,4000.0,4000.0
LI0000106,INV000050,Base Rental Fare,Airport Transfer – 0.19 day(s),0.19,68900.0,13091.0
LI0000107,INV000050,Surcharge,Airport Pickup/Drop,1.0,4500.0,4500.0
LI0000108,INV000051,Base Rental Fare,Corporate – 2.19 day(s),2.19,16404.109589041098,35925.0
LI0000109,INV000051,Discount,Promotional / Loyalty Discount,1.0,-5579.0,-5579.0
LI0000110,INV000052,Base Rental Fare,Corporate – 6.43 day(s),6.43,11321.461897356143,72797.0
LI0000111,INV000052,Surcharge,Extra KM,1.0,3000.0,3000.0
LI0000112,INV000052,Discount,Promotional / Loyalty Discount,1.0,-9003.0,-9003.0
LI0000113,INV000053,Base Rental Fare,Event – 1.59 day(s),1.59,18156.603773584906,28869.0
LI0000114,INV000053,Surcharge,Night Surcharge,1.0,2000.0,2000.0
LI0000115,INV000053,Discount,Promotional / Loyalty Discount,1.0,-4327.0,-4327.0
LI0000116,INV000054,Base Rental Fare,Event – 1.41 day(s),1.41,20013.475177304965,28219.0
LI0000117,INV000054,Surcharge,Night Surcharge,1.0,2822.0,2822.0
LI0000118,INV000055,Base Rental Fare,City Ride – 0.98 day(s),0.98,10896.938775510203,10679.0
LI0000119,INV000055,Surcharge,Night Surcharge,1.0,1068.0,1068.0
LI0000120,INV000055,Surcharge,Airport Pickup/Drop,1.0,1000.0,1000.0
LI0000121,INV000055,Discount,Promotional / Loyalty Discount,1.0,-2088.0,-2088.0
LI0000122,INV000056,Base Rental Fare,City Ride – 0.89 day(s),0.89,20886.516853932582,18589.0
LI0000123,INV000057,Base Rental Fare,City Ride – 0.83 day(s),0.83,8701.204819277109,7222.0
LI0000124,INV000057,Surcharge,Airport Pickup/Drop,1.0,2000.0,2000.0
LI0000125,INV000058,Base Rental Fare,City Ride – 0.64 day(s),0.64,21004.6875,13443.0
LI0000126,INV000058,Discount,Promotional / Loyalty Discount,1.0,-1406.0,-1406.0
LI0000127,INV000059,Base Rental Fare,City Ride – 0.57 day(s),0.57,212636.84210526317,121203.0
LI0000128,INV000060,Base Rental Fare,Wedding – 1.2 day(s),1.2,13494.166666666668,16193.0
LI0000129,INV000060,Surcharge,Night Surcharge,1.0,1619.0,1619.0
LI0000130,INV000060,Surcharge,Extra KM,1.0,4000.0,4000.0
LI0000131,INV000061,Base Rental Fare,Airport Transfer – 0.37 day(s),0.37,8313.513513513513,3076.0
LI0000132,INV000061,Surcharge,Airport Pickup/Drop,1.0,3500.0,3500.0
LI0000133,INV000062,Base Rental Fare,Airport Transfer – 0.34 day(s),0.34,38305.882352941175,13024.0
LI0000134,INV000062,Surcharge,Airport Pickup/Drop,1.0,3500.0,3500.0
LI0000135,INV000062,Discount,Promotional / Loyalty Discount,1.0,-853.0,-853.0
LI0000136,INV000063,Base Rental Fare,Event – 0.86 day(s),0.86,23839.53488372093,20502.0
LI0000137,INV000063,Surcharge,Night Surcharge,1.0,500.0,500.0
LI0000138,INV000063,Surcharge,Night Surcharge,1.0,4000.0,4000.0
LI0000139,INV000064,Base Rental Fare,Wedding – 1.33 day(s),1.33,7981.203007518797,10615.0
LI0000140,INV000064,Surcharge,Night Surcharge,1.0,1062.0,1062.0
LI0000141,INV000064,Surcharge,Peak Season Premium,1.0,1500.0,1500.0
LI0000142,INV000065,Base Rental Fare,Airport Transfer – 0.42 day(s),0.42,48809.52380952381,20500.0
LI0000143,INV000065,Surcharge,Airport Pickup/Drop,1.0,4000.0,4000.0
LI0000144,INV000065,Surcharge,Night Surcharge,1.0,2050.0,2050.0
LI0000145,INV000066,Base Rental Fare,Intercity – 2.75 day(s),2.75,2123.6363636363635,5840.0
LI0000146,INV000066,Surcharge,Night Surcharge,1.0,584.0,584.0
LI0000147,INV000066,Surcharge,Airport Pickup/Drop,1.0,1000.0,1000.0
LI0000148,INV000067,Base Rental Fare,City Ride – 0.62 day(s),0.62,7777.419354838709,4822.0
LI0000149,INV000068,Base Rental Fare,Tourism / Northern Areas – 9.26 day(s),9.26,14638.876889848812,135556.0
LI0000150,INV000068,Surcharge,Toll Charges,1.0,2500.0,2500.0
LI0000151,INV000069,Base Rental Fare,Intercity – 1.53 day(s),1.53,10761.437908496731,16465.0
LI0000152,INV000069,Surcharge,Extra Hours,1.0,500.0,500.0
LI0000153,INV000069,Surcharge,Outstation Surcharge,1.0,1500.0,1500.0
LI0000154,INV000070,Base Rental Fare,City Ride – 0.56 day(s),0.56,7064.285714285714,3956.0
LI0000155,INV000071,Base Rental Fare,Event – 1.91 day(s),1.91,16051.832460732985,30659.0
LI0000156,INV000072,Base Rental Fare,City Ride – 0.84 day(s),0.84,9184.52380952381,7715.0
LI0000157,INV000072,Surcharge,Peak Season Premium,1.0,1000.0,1000.0
LI0000158,INV000073,Base Rental Fare,Intercity – 1.45 day(s),1.45,23301.37931034483,33787.0
LI0000159,INV000074,Base Rental Fare,Wedding – 2.69 day(s),2.69,16223.420074349442,43641.0
LI0000160,INV000074,Discount,Promotional / Loyalty Discount,1.0,-5342.0,-5342.0
LI0000161,INV000075,Base Rental Fare,Corporate – 4.85 day(s),4.85,20474.432989690722,99301.0
LI0000162,INV000076,Base Rental Fare,Airport Transfer – 0.11 day(s),0.11,89600.0,9856.0
LI0000163,INV000076,Surcharge,Airport Pickup/Drop,1.0,3500.0,3500.0
LI0000164,INV000077,Base Rental Fare,Monthly Contract – 30.32 day(s),30.32,15167.513192612138,459879.0
LI0000165,INV000077,Surcharge,Night Surcharge,1.0,4000.0,4000.0
LI0000166,INV000078,Base Rental Fare,Wedding – 2.7 day(s),2.7,116580.74074074073,314768.0
LI0000167,INV000078,Surcharge,Fuel Surcharge,1.0,500.0,500.0
LI0000168,INV000079,Base Rental Fare,Intercity – 2.52 day(s),2.52,23267.06349206349,58633.0
LI0000169,INV000079,Surcharge,Night Surcharge,1.0,2500.0,2500.0
LI0000170,INV000080,Base Rental Fare,City Ride – 0.57 day(s),0.57,28591.228070175443,16297.0
LI0000171,INV000081,Base Rental Fare,City Ride – 0.65 day(s),0.65,10901.538461538461,7086.0
LI0000172,INV000082,Base Rental Fare,Corporate – 1.65 day(s),1.65,4867.878787878788,8032.0
LI0000173,INV000083,Base Rental Fare,Airport Transfer – 0.25 day(s),0.25,302148.0,75537.0
LI0000174,INV000083,Surcharge,Airport Pickup/Drop,1.0,4500.0,4500.0
LI0000175,INV000083,Surcharge,Outstation Surcharge,1.0,3000.0,3000.0
LI0000176,INV000084,Base Rental Fare,Tourism / Northern Areas – 6.18 day(s),6.18,19907.928802589,123031.0
LI0000177,INV000085,Base Rental Fare,Wedding – 1.59 day(s),1.59,6247.169811320754,9933.0
LI0000178,INV000085,Surcharge,Security Deposit,1.0,5000.0,5000.0
LI0000179,INV000086,Base Rental Fare,Airport Transfer – 0.48 day(s),0.48,15750.0,7560.0
LI0000180,INV000086,Surcharge,Airport Pickup/Drop,1.0,4500.0,4500.0
LI0000181,INV000086,Surcharge,Night Surcharge,1.0,756.0,756.0
LI0000182,INV000087,Base Rental Fare,Airport Transfer – 0.44 day(s),0.44,6865.909090909091,3021.0
LI0000183,INV000087,Surcharge,Airport Pickup/Drop,1.0,4500.0,4500.0
LI0000184,INV000088,Base Rental Fare,Wedding – 1.4 day(s),1.4,25265.714285714286,35372.0
LI0000185,INV000088,Discount,Promotional / Loyalty Discount,1.0,-8212.0,-8212.0
LI0000186,INV000089,Base Rental Fare,Airport Transfer – 0.18 day(s),0.18,7127.777777777778,1283.0
LI0000187,INV000089,Surcharge,Airport Pickup/Drop,1.0,3500.0,3500.0
LI0000188,INV000089,Discount,Promotional / Loyalty Discount,1.0,-192.0,-192.0
LI0000189,INV000090,Base Rental Fare,Tourism / Northern Areas – 7.06 day(s),7.06,18565.58073654391,131073.0
LI0000190,INV000091,Base Rental Fare,Intercity – 2.0 day(s),2.0,4393.5,8787.0
LI0000191,INV000092,Base Rental Fare,Corporate – 6.03 day(s),6.03,7822.885572139303,47172.0
LI0000192,INV000093,Base Rental Fare,Wedding – 2.88 day(s),2.88,7677.430555555556,22111.0
LI0000193,INV000093,Surcharge,Waiting Charges,1.0,2000.0,2000.0
LI0000194,INV000094,Base Rental Fare,Corporate – 5.97 day(s),5.97,4444.221105527638,26532.0
LI0000195,INV000095,Base Rental Fare,Tourism / Northern Areas – 3.96 day(s),3.96,5862.878787878788,23217.0
LI0000196,INV000096,Base Rental Fare,Airport Transfer – 0.11 day(s),0.11,1068527.2727272727,117538.0
LI0000197,INV000096,Surcharge,Airport Pickup/Drop,1.0,4000.0,4000.0
LI0000198,INV000097,Base Rental Fare,Airport Transfer – 0.2 day(s),0.2,57710.0,11542.0
LI0000199,INV000097,Surcharge,Airport Pickup/Drop,1.0,4500.0,4500.0
LI0000200,INV000097,Surcharge,Airport Pickup/Drop,1.0,2000.0,2000.0
LI0000201,INV000098,Base Rental Fare,Intercity – 1.1 day(s),1.1,14650.90909090909,16116.0
LI0000202,INV000098,Surcharge,Night Surcharge,1.0,1612.0,1612.0
LI0000203,INV000099,Base Rental Fare,Monthly Contract – 29.8 day(s),29.8,4853.255033557047,144627.0
LI0000204,INV000100,Base Rental Fare,City Ride – 0.93 day(s),0.93,5727.956989247312,5327.0
LI0000205,INV000101,Base Rental Fare,Event – 1.08 day(s),1.08,14078.703703703703,15205.0
LI0000206,INV000101,Discount,Promotional / Loyalty Discount,1.0,-1048.0,-1048.0
LI0000207,INV000102,Base Rental Fare,Wedding – 1.9 day(s),1.9,17296.84210526316,32864.0
LI0000208,INV000102,Surcharge,Peak Season Premium,1.0,4000.0,4000.0
LI0000209,INV000102,Surcharge,Peak Season Premium,1.0,2500.0,2500.0
LI0000210,INV000103,Base Rental Fare,Tourism / Northern Areas – 3.41 day(s),3.41,11464.516129032258,39094.0
LI0000211,INV000103,Surcharge,Extra KM,1.0,3000.0,3000.0
LI0000212,INV000103,Surcharge,Outstation Surcharge,1.0,500.0,500.0
LI0000213,INV000103,Discount,Promotional / Loyalty Discount,1.0,-6285.0,-6285.0
LI0000214,INV000104,Base Rental Fare,Tourism / Northern Areas – 4.19 day(s),4.19,15889.737470167063,66578.0
LI0000215,INV000105,Base Rental Fare,City Ride – 0.59 day(s),0.59,39477.96610169492,23292.0
LI0000216,INV000105,Surcharge,Night Surcharge,1.0,2329.0,2329.0
LI0000217,INV000106,Base Rental Fare,Event – 1.79 day(s),1.79,3965.36312849162,7098.0
LI0000218,INV000106,Surcharge,Fuel Surcharge,1.0,2500.0,2500.0
LI0000219,INV000107,Base Rental Fare,Tourism / Northern Areas – 9.12 day(s),9.12,1138.3771929824563,10382.0
LI0000220,INV000107,Surcharge,Airport Pickup/Drop,1.0,3000.0,3000.0
LI0000221,INV000108,Base Rental Fare,Wedding – 2.55 day(s),2.55,16516.07843137255,42116.0
LI0000222,INV000108,Surcharge,Outstation Surcharge,1.0,2500.0,2500.0
LI0000223,INV000109,Base Rental Fare,Airport Transfer – 0.24 day(s),0.24,234620.83333333334,56309.0
LI0000224,INV000109,Surcharge,Airport Pickup/Drop,1.0,4000.0,4000.0
LI0000225,INV000109,Surcharge,Night Surcharge,1.0,5631.0,5631.0
LI0000226,INV000110,Base Rental Fare,Corporate – 4.93 day(s),4.93,4269.371196754564,21048.0
LI0000227,INV000111,Base Rental Fare,Wedding – 1.79 day(s),1.79,10451.95530726257,18709.0
LI0000228,INV000111,Surcharge,Extra KM,1.0,1500.0,1500.0
LI0000229,INV000111,Discount,Promotional / Loyalty Discount,1.0,-1700.0,-1700.0
LI0000230,INV000112,Base Rental Fare,Corporate – 5.0 day(s),5.0,17556.4,87782.0
LI0000231,INV000112,Surcharge,Night Surcharge,1.0,1000.0,1000.0
LI0000232,INV000113,Base Rental Fare,Airport Transfer – 0.49 day(s),0.49,10657.142857142857,5222.0
LI0000233,INV000113,Surcharge,Airport Pickup/Drop,1.0,3500.0,3500.0
LI0000234,INV000113,Surcharge,Peak Season Premium,1.0,2500.0,2500.0
LI0000235,INV000114,Base Rental Fare,Airport Transfer – 0.49 day(s),0.49,22306.122448979593,10930.0
LI0000236,INV000114,Surcharge,Airport Pickup/Drop,1.0,3500.0,3500.0
LI0000237,INV000115,Base Rental Fare,Wedding – 1.03 day(s),1.03,6769.902912621359,6973.0
LI0000238,INV000116,Base Rental Fare,Intercity – 1.16 day(s),1.16,52684.482758620696,61114.0
LI0000239,INV000116,Surcharge,Night Surcharge,1.0,1000.0,1000.0
LI0000240,INV000116,Surcharge,Outstation Surcharge,1.0,500.0,500.0
LI0000241,INV000117,Base Rental Fare,City Ride – 0.87 day(s),0.87,31435.632183908045,27349.0
LI0000242,INV000117,Surcharge,Toll Charges,1.0,3000.0,3000.0
LI0000243,INV000118,Base Rental Fare,Airport Transfer – 0.4 day(s),0.4,14490.0,5796.0
LI0000244,INV000118,Surcharge,Airport Pickup/Drop,1.0,3500.0,3500.0
LI0000245,INV000119,Base Rental Fare,Corporate – 2.63 day(s),2.63,21550.190114068442,56677.0
LI0000246,INV000120,Base Rental Fare,Corporate – 4.59 day(s),4.59,8349.67320261438,38325.0
LI0000247,INV000120,Surcharge,Peak Season Premium,1.0,500.0,500.0
LI0000248,INV000120,Surcharge,Night Surcharge,1.0,4000.0,4000.0
LI0000249,INV000120,Discount,Promotional / Loyalty Discount,1.0,-3169.0,-3169.0
LI0000250,INV000121,Base Rental Fare,Tourism / Northern Areas – 3.93 day(s),3.93,6413.740458015267,25206.0
LI0000251,INV000121,Surcharge,Waiting Charges,1.0,1500.0,1500.0
LI0000252,INV000122,Base Rental Fare,Airport Transfer – 0.22 day(s),0.22,469786.36363636365,103353.0
LI0000253,INV000122,Surcharge,Airport Pickup/Drop,1.0,4500.0,4500.0
LI0000254,INV000122,Surcharge,Extra KM,1.0,1000.0,1000.0
LI0000255,INV000123,Base Rental Fare,City Ride – 0.57 day(s),0.57,3826.3157894736846,2181.0
LI0000256,INV000124,Base Rental Fare,Airport Transfer – 0.19 day(s),0.19,31663.157894736843,6016.0
LI0000257,INV000124,Surcharge,Airport Pickup/Drop,1.0,4500.0,4500.0
LI0000258,INV000124,Surcharge,Airport Pickup/Drop,1.0,1500.0,1500.0
LI0000259,INV000125,Base Rental Fare,Corporate – 1.71 day(s),1.71,15367.251461988304,26278.0
LI0000260,INV000125,Surcharge,Waiting Charges,1.0,2500.0,2500.0
LI0000261,INV000126,Base Rental Fare,City Ride – 0.89 day(s),0.89,8553.932584269663,7613.0
LI0000262,INV000126,Discount,Promotional / Loyalty Discount,1.0,-391.0,-391.0
LI0000263,INV000127,Base Rental Fare,City Ride – 0.79 day(s),0.79,2129.1139240506327,1682.0
LI0000264,INV000127,Surcharge,Outstation Surcharge,1.0,500.0,500.0
LI0000265,INV000127,Surcharge,Extra Hours,1.0,500.0,500.0
LI0000266,INV000127,Discount,Promotional / Loyalty Discount,1.0,-101.0,-101.0
LI0000267,INV000128,Base Rental Fare,Corporate – 1.22 day(s),1.22,30672.131147540986,37420.0
LI0000268,INV000128,Surcharge,Night Surcharge,1.0,3742.0,3742.0
LI0000269,INV000128,Discount,Promotional / Loyalty Discount,1.0,-5730.0,-5730.0
LI0000270,INV000129,Base Rental Fare,Tourism / Northern Areas – 8.24 day(s),8.24,22445.14563106796,184948.0
LI0000271,INV000129,Surcharge,Peak Season Premium,1.0,2500.0,2500.0
LI0000272,INV000130,Base Rental Fare,Corporate – 1.64 day(s),1.64,36688.41463414634,60169.0
LI0000273,INV000131,Base Rental Fare,City Ride – 0.91 day(s),0.91,23740.65934065934,21604.0
LI0000274,INV000131,Surcharge,Fuel Surcharge,1.0,500.0,500.0
LI0000275,INV000131,Discount,Promotional / Loyalty Discount,1.0,-1600.0,-1600.0
LI0000276,INV000132,Base Rental Fare,City Ride – 0.79 day(s),0.79,11331.645569620252,8952.0
LI0000277,INV000132,Surcharge,Peak Season Premium,1.0,1000.0,1000.0
LI0000278,INV000133,Base Rental Fare,City Ride – 0.9 day(s),0.9,106631.11111111111,95968.0
LI0000279,INV000134,Base Rental Fare,City Ride – 0.95 day(s),0.95,59962.1052631579,56964.0
LI0000280,INV000135,Base Rental Fare,Airport Transfer – 0.25 day(s),0.25,2668.0,667.0
LI0000281,INV000135,Surcharge,Airport Pickup/Drop,1.0,3500.0,3500.0
LI0000282,INV000136,Base Rental Fare,Wedding – 2.34 day(s),2.34,11076.923076923078,25920.0
LI0000283,INV000136,Surcharge,Night Surcharge,1.0,2592.0,2592.0
LI0000284,INV000137,Base Rental Fare,Airport Transfer – 0.45 day(s),0.45,13953.333333333332,6279.0
LI0000285,INV000137,Surcharge,Airport Pickup/Drop,1.0,4500.0,4500.0
LI0000286,INV000138,Base Rental Fare,Intercity – 2.75 day(s),2.75,861.4545454545455,2369.0
LI0000287,INV000138,Surcharge,Outstation Surcharge,1.0,4000.0,4000.0
LI0000288,INV000139,Base Rental Fare,Corporate – 4.54 day(s),4.54,13927.973568281937,63233.0
LI0000289,INV000140,Base Rental Fare,Intercity – 2.62 day(s),2.62,10688.54961832061,28004.0
LI0000290,INV000140,Surcharge,Airport Pickup/Drop,1.0,2500.0,2500.0
LI0000291,INV000141,Base Rental Fare,Event – 1.03 day(s),1.03,14155.339805825242,14580.0
LI0000292,INV000141,Surcharge,Extra KM,1.0,500.0,500.0
LI0000293,INV000142,Base Rental Fare,Intercity – 2.51 day(s),2.51,25421.115537848607,63807.0
LI0000294,INV000143,Base Rental Fare,Wedding – 2.85 day(s),2.85,6442.105263157894,18360.0
LI0000295,INV000144,Base Rental Fare,City Ride – 0.59 day(s),0.59,8654.237288135593,5106.0
LI0000296,INV000145,Base Rental Fare,Tourism / Northern Areas – 8.48 day(s),8.48,7331.25,62169.0
LI0000297,INV000145,Surcharge,Night Surcharge,1.0,6217.0,6217.0
LI0000298,INV000145,Surcharge,Toll Charges,1.0,5000.0,5000.0
LI0000299,INV000146,Base Rental Fare,City Ride – 0.45 day(s),0.45,20857.777777777777,9386.0
LI0000300,INV000146,Surcharge,Peak Season Premium,1.0,500.0,500.0
LI0000301,INV000147,Base Rental Fare,City Ride – 0.76 day(s),0.76,27855.263157894737,21170.0
