leg_id,trip_id,leg_sequence,city,lat,lon,km_so_far,stop_type,stop_duration_min
LG0000099,TR000074,1,Waypoint-1,32.812079,71.507718,225.2,Waypoint,16
LG0000100,TR000074,2,Waypoint-2,31.897197,70.009834,450.4,Toll,18
LG0000101,TR000074,3,Waypoint-3,31.136667,68.452889,675.5,Waypoint,28
LG0000102,TR000074,4,Waypoint-4,30.12293,66.98098,900.7,Fuel Stop,28
LG0000103,TR000078,1,Waypoint-1,26.337927,68.372056,279.6,Waypoint,37
LG0000104,TR000078,2,Waypoint-2,27.729575,69.899629,559.2,Fuel Stop,9
LG0000105,TR000078,3,Waypoint-3,29.235756,71.308104,838.7,Toll,13
LG0000106,TR000078,4,Waypoint-4,30.761655,72.755433,1118.3,Waypoint,19
LG0000107,TR000078,5,Waypoint-5,32.196039,74.211185,1397.9,Waypoint,9
LG0000108,TR000081,1,Waypoint-1,32.667501,73.560915,196.6,Rest Stop,25
LG0000109,TR000081,2,Waypoint-2,33.682871,73.017196,393.1,Rest Stop,22
LG0000110,TR000082,1,Waypoint-1,26.954046,68.493279,367.2,Toll,9
LG0000111,TR000082,2,Waypoint-2,29.130491,70.066381,734.4,Toll,31
LG0000112,TR000082,3,Waypoint-3,31.494099,71.44827,1101.5,Fuel Stop,10
LG0000113,TR000082,4,Waypoint-4,33.582592,72.968266,1468.7,Rest Stop,15
LG0000114,TR000084,1,Waypoint-1,31.958208,73.765248,99.7,Rest Stop,44
LG0000115,TR000084,2,Waypoint-2,32.544933,73.221094,199.4,Rest Stop,32
LG0000116,TR000084,3,Waypoint-3,33.035872,72.658277,299.2,Fuel Stop,37
LG0000117,TR000084,4,Waypoint-4,33.505671,72.085178,398.9,Rest Stop,18
LG0000118,TR000084,5,Waypoint-5,34.023548,71.520578,498.6,Fuel Stop,38
LG0000119,TR000086,1,Waypoint-1,33.019827,73.297695,67.6,Waypoint,36
LG0000120,TR000086,2,Waypoint-2,32.828407,73.521205,135.1,Waypoint,20
LG0000121,TR000086,3,Waypoint-3,32.365937,73.785533,202.7,Waypoint,29
LG0000122,TR000086,4,Waypoint-4,31.911987,74.133258,270.2,Toll,44
LG0000123,TR000086,5,Waypoint-5,31.546104,74.336218,337.8,Fuel Stop,44
LG0000124,TR000089,1,Waypoint-1,32.625959,73.817352,182.3,Toll,43
LG0000125,TR000089,2,Waypoint-2,33.894748,73.406738,364.6,Toll,44
LG0000126,TR000093,1,Waypoint-1,26.190292,68.506817,257.3,Waypoint,31
LG0000127,TR000093,2,Waypoint-2,27.552802,69.989821,514.6,Toll,7
LG0000128,TR000093,3,Waypoint-3,28.88199,71.367808,771.9,Rest Stop,29
LG0000129,TR000093,4,Waypoint-4,30.167512,72.886783,1029.2,Toll,41
LG0000130,TR000093,5,Waypoint-5,31.591796,74.390801,1286.5,Waypoint,12
LG0000131,TR000095,1,Waypoint-1,29.360671,70.208438,767.4,Fuel Stop,12
LG0000132,TR000095,2,Waypoint-2,24.887754,67.031456,1534.7,Fuel Stop,12
LG0000133,TR000096,1,Waypoint-1,33.816929,73.158351,28.5,Fuel Stop,18
LG0000134,TR000096,2,Waypoint-2,33.849979,73.147877,57.0,Rest Stop,6
LG0000135,TR000096,3,Waypoint-3,34.007564,73.175964,85.6,Rest Stop,33
LG0000136,TR000096,4,Waypoint-4,34.171884,73.185787,114.1,Waypoint,18
LG0000137,TR000097,1,Waypoint-1,32.561902,73.069939,161.6,Rest Stop,37
LG0000138,TR000097,2,Waypoint-2,31.454661,73.079102,323.1,Fuel Stop,18
LG0000139,TR000098,1,Waypoint-1,32.577776,73.687758,191.6,Toll,26
LG0000140,TR000098,2,Waypoint-2,31.495858,74.412366,383.1,Toll,31
LG0000141,TR000099,1,Waypoint-1,32.333482,73.862992,121.9,Fuel Stop,25
LG0000142,TR000099,2,Waypoint-2,33.011315,73.530603,243.9,Waypoint,36
LG0000143,TR000099,3,Waypoint-3,33.628433,73.08164,365.8,Rest Stop,30
LG0000144,TR000100,1,Waypoint-1,32.096667,74.074829,72.9,Waypoint,30
LG0000145,TR000100,2,Waypoint-2,32.486613,74.062913,145.8,Waypoint,26
LG0000146,TR000100,3,Waypoint-3,33.000766,73.771413,218.8,Fuel Stop,42
LG0000147,TR000100,4,Waypoint-4,33.423866,73.629984,291.7,Toll,30
LG0000148,TR000100,5,Waypoint-5,33.845486,73.388639,364.6,Rest Stop,18
LG0000149,TR000101,1,Waypoint-1,29.30004,70.01431,697.8,Waypoint,30
LG0000150,TR000101,2,Waypoint-2,33.716143,73.005582,1395.5,Rest Stop,33
LG0000151,TR000105,1,Waypoint-1,27.748672,69.054439,489.6,Waypoint,36
LG0000152,TR000105,2,Waypoint-2,30.702054,71.04366,979.1,Fuel Stop,17
LG0000153,TR000105,3,Waypoint-3,33.579605,73.061795,1468.7,Rest Stop,39
LG0000154,TR000111,1,Waypoint-1,32.968684,73.440595,130.0,Toll,34
LG0000155,TR000111,2,Waypoint-2,32.229348,73.848409,260.0,Waypoint,7
LG0000156,TR000111,3,Waypoint-3,31.556152,74.348248,390.0,Waypoint,39
LG0000157,TR000114,1,Waypoint-1,27.092251,69.531277,409.2,Rest Stop,16
LG0000158,TR000114,2,Waypoint-2,29.25654,71.886093,818.5,Fuel Stop,16
LG0000159,TR000114,3,Waypoint-3,31.399074,74.429712,1227.7,Rest Stop,37
LG0000160,TR000115,1,Waypoint-1,31.280055,72.03087,181.0,Rest Stop,25
LG0000161,TR000115,2,Waypoint-2,32.458754,72.452247,362.0,Fuel Stop,24
LG0000162,TR000115,3,Waypoint-3,33.749883,73.041234,543.0,Waypoint,28
LG0000163,TR000118,1,Waypoint-1,33.874492,71.756687,34.7,Waypoint,16
LG0000164,TR000118,2,Waypoint-2,33.927724,72.266599,69.4,Toll,28
LG0000165,TR000118,3,Waypoint-3,33.80393,72.460936,104.1,Toll,5
LG0000166,TR000118,4,Waypoint-4,33.714041,72.69943,138.8,Waypoint,14
LG0000167,TR000118,5,Waypoint-5,33.67505,73.081953,173.5,Fuel Stop,11
LG0000168,TR000122,1,Waypoint-1,28.145374,70.736993,602.2,Fuel Stop,37
LG0000169,TR000122,2,Waypoint-2,31.355416,74.259004,1204.5,Toll,13
LG0000170,TR000125,1,Waypoint-1,31.918901,71.877086,273.1,Rest Stop,41
LG0000171,TR000125,2,Waypoint-2,30.169996,70.641215,546.3,Fuel Stop,36
LG0000172,TR000125,3,Waypoint-3,28.481317,69.383508,819.4,Fuel Stop,6
LG0000173,TR000125,4,Waypoint-4,26.637234,68.247077,1092.6,Waypoint,38
LG0000174,TR000125,5,Waypoint-5,24.835351,66.947578,1365.7,Toll,38
LG0000175,TR000128,1,Waypoint-1,32.01449,74.081944,91.7,Waypoint,7
LG0000176,TR000128,2,Waypoint-2,32.660662,73.641812,183.3,Toll,17
LG0000177,TR000128,3,Waypoint-3,33.134878,73.413709,275.0,Waypoint,20
LG0000178,TR000128,4,Waypoint-4,33.766509,73.022842,366.7,Fuel Stop,10
LG0000179,TR000136,1,Waypoint-1,32.882879,71.761047,177.7,Waypoint,40
LG0000180,TR000136,2,Waypoint-2,32.175923,70.486827,355.3,Rest Stop,35
LG0000181,TR000136,3,Waypoint-3,31.626541,69.332806,533.0,Toll,17
LG0000182,TR000136,4,Waypoint-4,30.938394,68.169898,710.6,Rest Stop,27
LG0000183,TR000136,5,Waypoint-5,30.139726,66.921585,888.3,Waypoint,36
LG0000184,TR000138,1,Waypoint-1,30.704092,71.012528,482.2,Toll,31
LG0000185,TR000138,2,Waypoint-2,27.793772,69.073507,964.4,Toll,31
LG0000186,TR000138,3,Waypoint-3,24.899125,67.01471,1446.6,Waypoint,37
LG0000187,TR000140,1,Waypoint-1,33.224627,73.108342,64.6,Toll,13
LG0000188,TR000140,2,Waypoint-2,32.754238,73.106344,129.2,Fuel Stop,33
LG0000189,TR000140,3,Waypoint-3,32.425296,73.105857,193.9,Toll,36
LG0000190,TR000140,4,Waypoint-4,32.025954,73.124381,258.5,Rest Stop,44
LG0000191,TR000140,5,Waypoint-5,31.463196,73.130508,323.1,Waypoint,39
LG0000192,TR000144,1,Waypoint-1,32.839592,73.659905,128.6,Fuel Stop,36
LG0000193,TR000144,2,Waypoint-2,33.585734,73.049637,257.2,Fuel Stop,5
LG0000194,TR000149,1,Waypoint-1,27.277272,69.367491,466.0,Toll,36
LG0000195,TR000149,2,Waypoint-2,29.688656,71.79619,931.9,Fuel Stop,37
LG0000196,TR000149,3,Waypoint-3,32.250366,74.192521,1397.9,Rest Stop,41
LG0000197,TR000154,1,Waypoint-1,30.723339,71.029082,489.6,Waypoint,35
LG0000198,TR000154,2,Waypoint-2,27.781692,68.976213,979.1,Waypoint,21
LG0000199,TR000154,3,Waypoint-3,24.870286,66.95259,1468.7,Fuel Stop,15
LG0000200,TR000157,1,Waypoint-1,27.132383,68.503712,353.3,Fuel Stop,12
LG0000201,TR000157,2,Waypoint-2,29.261957,69.980568,706.6,Waypoint,16
LG0000202,TR000157,3,Waypoint-3,31.487494,71.606375,1059.9,Fuel Stop,10
LG0000203,TR000157,4,Waypoint-4,33.643608,73.010181,1413.2,Waypoint,36
LG0000204,TR000159,1,Waypoint-1,26.556275,68.246505,288.7,Rest Stop,44
LG0000205,TR000159,2,Waypoint-2,28.372494,69.477425,577.3,Fuel Stop,27
LG0000206,TR000159,3,Waypoint-3,30.174247,70.646212,866.0,Waypoint,14
LG0000207,TR000159,4,Waypoint-4,31.918854,71.820381,1154.6,Rest Stop,21
LG0000208,TR000159,5,Waypoint-5,33.717305,73.162971,1443.3,Toll,19
LG0000209,TR000160,1,Waypoint-1,32.808131,74.006759,193.3,Fuel Stop,35
LG0000210,TR000160,2,Waypoint-2,34.006646,73.460285,386.7,Waypoint,31
LG0000211,TR000162,1,Waypoint-1,31.887449,71.895852,278.2,Waypoint,26
LG0000212,TR000162,2,Waypoint-2,30.269268,70.596025,556.5,Rest Stop,42
LG0000213,TR000162,3,Waypoint-3,28.416077,69.429217,834.7,Toll,9
LG0000214,TR000162,4,Waypoint-4,26.615111,68.145087,1113.0,Waypoint,30
LG0000215,TR000162,5,Waypoint-5,24.79148,67.002938,1391.2,Waypoint,17
LG0000216,TR000165,1,Waypoint-1,33.737114,72.565314,55.0,Toll,9
LG0000217,TR000165,2,Waypoint-2,33.868391,72.076824,110.1,Rest Stop,43
LG0000218,TR000165,3,Waypoint-3,34.076121,71.521379,165.1,Rest Stop,45
LG0000219,TR000169,1,Waypoint-1,34.084021,73.111573,25.1,Toll,29
LG0000220,TR000169,2,Waypoint-2,34.027295,73.14917,50.2,Rest Stop,19
LG0000221,TR000169,3,Waypoint-3,33.832039,73.096561,75.4,Toll,41
LG0000222,TR000169,4,Waypoint-4,33.828284,73.050416,100.5,Waypoint,41
LG0000223,TR000169,5,Waypoint-5,33.704016,73.070161,125.6,Waypoint,15
LG0000224,TR000173,1,Waypoint-1,33.92738,72.055604,57.0,Fuel Stop,45
LG0000225,TR000173,2,Waypoint-2,33.814885,72.430216,114.1,Toll,42
LG0000226,TR000173,3,Waypoint-3,33.725374,73.051072,171.1,Fuel Stop,33
LG0000227,TR000174,1,Waypoint-1,32.70271,73.546671,199.2,Rest Stop,37
LG0000228,TR000174,2,Waypoint-2,33.610309,73.078475,398.3,Waypoint,5
LG0000229,TR000176,1,Waypoint-1,27.072473,68.473705,371.8,Waypoint,36
LG0000230,TR000176,2,Waypoint-2,29.200678,70.064635,743.6,Toll,18
LG0000231,TR000176,3,Waypoint-3,31.516674,71.453495,1115.4,Waypoint,15
LG0000232,TR000176,4,Waypoint-4,33.63615,73.03545,1487.2,Fuel Stop,42
LG0000233,TR000183,1,Waypoint-1,32.646543,73.681451,193.9,Toll,44
LG0000234,TR000183,2,Waypoint-2,33.687095,73.101435,387.8,Toll,37
LG0000235,TR000184,1,Waypoint-1,32.853894,72.61341,135.8,Toll,22
LG0000236,TR000184,2,Waypoint-2,31.859778,72.205559,271.5,Waypoint,30
LG0000237,TR000184,3,Waypoint-3,31.017229,71.834393,407.2,Fuel Stop,7
LG0000238,TR000184,4,Waypoint-4,30.152549,71.486429,543.0,Rest Stop,42
LG0000239,TR000189,1,Waypoint-1,32.61433,73.733618,193.1,Rest Stop,25
LG0000240,TR000189,2,Waypoint-2,33.6546,73.087217,386.1,Rest Stop,14
LG0000241,TR000192,1,Waypoint-1,31.847179,71.869084,293.7,Waypoint,31
LG0000242,TR000192,2,Waypoint-2,30.167,70.532016,587.5,Fuel Stop,26
LG0000243,TR000192,3,Waypoint-3,28.340172,69.416531,881.2,Waypoint,37
LG0000244,TR000192,4,Waypoint-4,26.67337,68.212404,1175.0,Rest Stop,9
LG0000245,TR000192,5,Waypoint-5,24.891798,66.915203,1468.7,Rest Stop,11
LG0000246,TR000193,1,Waypoint-1,33.239308,73.305913,61.3,Toll,22
LG0000247,TR000193,2,Waypoint-2,32.887969,73.532341,122.5,Rest Stop,41
LG0000248,TR000193,3,Waypoint-3,32.423105,73.911073,183.8,Toll,36
LG0000249,TR000193,4,Waypoint-4,32.189947,74.28547,245.1,Toll,42
LG0000250,TR000195,1,Waypoint-1,32.781159,73.745825,186.7,Waypoint,27
LG0000251,TR000195,2,Waypoint-2,33.734801,73.162265,373.3,Waypoint,31
LG0000252,TR000197,1,Waypoint-1,27.109288,68.478758,354.4,Rest Stop,9
LG0000253,TR000197,2,Waypoint-2,29.279166,70.079766,708.8,Fuel Stop,26
LG0000254,TR000197,3,Waypoint-3,31.505187,71.525485,1063.1,Rest Stop,16
LG0000255,TR000197,4,Waypoint-4,33.720702,73.089172,1417.5,Rest Stop,25
LG0000256,TR000200,1,Waypoint-1,26.624318,68.184047,281.3,Waypoint,30
LG0000257,TR000200,2,Waypoint-2,28.408987,69.389294,562.6,Fuel Stop,29
LG0000258,TR000200,3,Waypoint-3,30.168529,70.638365,844.0,Rest Stop,17
LG0000259,TR000200,4,Waypoint-4,31.933978,71.849705,1125.3,Fuel Stop,33
LG0000260,TR000200,5,Waypoint-5,33.748772,73.109173,1406.6,Toll,25
LG0000261,TR000201,1,Waypoint-1,32.385942,74.022824,134.8,Waypoint,35
LG0000262,TR000201,2,Waypoint-2,33.145161,73.610734,269.5,Waypoint,25
LG0000263,TR000201,3,Waypoint-3,34.145696,73.211206,404.3,Toll,42
LG0000264,TR000203,1,Waypoint-1,32.059294,74.127553,84.5,Waypoint,33
LG0000265,TR000203,2,Waypoint-2,32.538816,73.710785,168.9,Rest Stop,33
LG0000266,TR000203,3,Waypoint-3,33.162623,73.425737,253.4,Toll,10
LG0000267,TR000203,4,Waypoint-4,33.602119,72.915735,337.8,Waypoint,30
LG0000268,TR000205,1,Waypoint-1,27.092395,69.43778,401.4,Waypoint,22
LG0000269,TR000205,2,Waypoint-2,29.32375,71.987673,802.9,Rest Stop,24
LG0000270,TR000205,3,Waypoint-3,31.59637,74.339395,1204.3,Fuel Stop,12
LG0000271,TR000206,1,Waypoint-1,31.531444,73.485762,31.8,Rest Stop,20
LG0000272,TR000206,2,Waypoint-2,31.471507,73.822043,63.6,Waypoint,25
LG0000273,TR000206,3,Waypoint-3,31.561229,74.129817,95.5,Waypoint,23
LG0000274,TR000206,4,Waypoint-4,31.480959,74.378894,127.3,Rest Stop,11
LG0000275,TR000207,1,Waypoint-1,33.974445,73.109143,62.6,Fuel Stop,45
LG0000276,TR000207,2,Waypoint-2,33.631814,73.053361,125.2,Toll,33
LG0000277,TR000208,1,Waypoint-1,30.8102,72.893324,160.7,Waypoint,25
LG0000278,TR000208,2,Waypoint-2,30.07463,71.661468,321.4,Rest Stop,35
LG0000279,TR000209,1,Waypoint-1,27.944329,69.077622,517.3,Waypoint,18
LG0000280,TR000209,2,Waypoint-2,31.033217,71.241979,1034.7,Rest Stop,23
LG0000281,TR000209,3,Waypoint-3,33.994835,73.473176,1552.0,Fuel Stop,10
LG0000282,TR000211,1,Waypoint-1,26.595936,68.230974,296.6,Fuel Stop,24
LG0000283,TR000211,2,Waypoint-2,28.366288,69.418488,593.2,Toll,16
LG0000284,TR000211,3,Waypoint-3,30.14731,70.694719,889.7,Waypoint,21
LG0000285,TR000211,4,Waypoint-4,31.934174,71.89376,1186.3,Waypoint,9
LG0000286,TR000211,5,Waypoint-5,33.731224,72.996736,1482.9,Rest Stop,26
LG0000287,TR000212,1,Waypoint-1,33.79079,71.963181,63.6,Rest Stop,36
LG0000288,TR000212,2,Waypoint-2,33.76068,72.535712,127.1,Waypoint,14
LG0000289,TR000212,3,Waypoint-3,33.629415,73.030635,190.7,Fuel Stop,32
LG0000290,TR000214,1,Waypoint-1,33.900724,72.078521,58.2,Fuel Stop,44
LG0000291,TR000214,2,Waypoint-2,33.850582,72.60753,116.3,Waypoint,9
LG0000292,TR000214,3,Waypoint-3,33.682503,72.999231,174.5,Fuel Stop,33
LG0000293,TR000215,1,Waypoint-1,32.551727,73.124288,161.6,Toll,25
LG0000294,TR000215,2,Waypoint-2,31.415415,73.08684,323.1,Rest Stop,18
LG0000295,TR000216,1,Waypoint-1,32.841545,73.074716,107.7,Fuel Stop,29
LG0000296,TR000216,2,Waypoint-2,32.14075,73.0419,215.4,Waypoint,8
LG0000297,TR000216,3,Waypoint-3,31.490515,73.089697,323.1,Waypoint,18
LG0000298,TR000218,1,Waypoint-1,32.204851,74.130617,96.7,Toll,13
LG0000299,TR000218,2,Waypoint-2,32.731008,73.832269,193.3,Toll,19
LG0000300,TR000218,3,Waypoint-3,33.344223,73.689492,290.0,Waypoint,44
LG0000301,TR000218,4,Waypoint-4,34.045685,73.348376,386.7,Waypoint,15
LG0000302,TR000222,1,Waypoint-1,32.924295,73.463661,123.6,Fuel Stop,17
LG0000303,TR000222,2,Waypoint-2,32.28962,73.845934,247.1,Toll,10
LG0000304,TR000222,3,Waypoint-3,31.505764,74.409083,370.7,Rest Stop,11
LG0000305,TR000226,1,Waypoint-1,33.536847,73.511054,66.8,Toll,30
LG0000306,TR000226,2,Waypoint-2,33.060549,73.924651,133.5,Rest Stop,23
LG0000307,TR000226,3,Waypoint-3,32.528343,73.957909,200.2,Waypoint,40
LG0000308,TR000226,4,Waypoint-4,32.312567,74.208909,267.0,Rest Stop,35
LG0000309,TR000227,1,Waypoint-1,25.964318,67.919582,192.1,Rest Stop,12
LG0000310,TR000227,2,Waypoint-2,26.957372,68.715844,384.1,Waypoint,5
LG0000311,TR000227,3,Waypoint-3,28.070682,69.669435,576.2,Waypoint,25
LG0000312,TR000227,4,Waypoint-4,29.089092,70.609888,768.2,Toll,32
LG0000313,TR000227,5,Waypoint-5,30.152263,71.521357,960.3,Waypoint,36
LG0000314,TR000236,1,Waypoint-1,31.144557,73.580708,84.9,Rest Stop,34
LG0000315,TR000236,2,Waypoint-2,30.915915,73.039219,169.8,Waypoint,36
LG0000316,TR000236,3,Waypoint-3,30.466803,72.213634,254.7,Toll,43
LG0000317,TR000236,4,Waypoint-4,30.184443,71.539549,339.6,Waypoint,33
LG0000318,TR000238,1,Waypoint-1,32.291735,74.039549,128.9,Fuel Stop,34
LG0000319,TR000238,2,Waypoint-2,33.210334,73.730471,257.8,Waypoint,28
LG0000320,TR000238,3,Waypoint-3,34.052792,73.37425,386.7,Waypoint,19
LG0000321,TR000244,1,Waypoint-1,32.086119,74.119287,96.7,Waypoint,45
