rate_id,fleet_id,vehicle_type_id,booking_type,daily_rate_pkr,hourly_rate_pkr,km_rate_pkr,outstation_mult,night_surcharge_pct,airport_surcharge_pkr,security_deposit_pkr,min_hours,cancellation_fee_pct,fuel_included,driver_included,effective_from,effective_to
RC000016,FL001,VT002,Event,6314.0,500,14,1.2,10,4000,15000,4,15,False,True,2022-01-01,2026-12-31
RC000017,FL001,VT003,City Ride,7148.0,700,18,1.2,10,4000,20000,4,15,False,False,2022-01-01,2026-12-31
RC000018,FL001,VT003,Airport Transfer,8441.0,700,18,1.2,10,4000,20000,4,15,False,True,2022-01-01,2026-12-31
RC000019,FL001,VT003,Intercity,8477.0,700,18,1.2,10,4000,20000,4,15,False,True,2022-01-01,2026-12-31
RC000020,FL001,VT003,Wedding,7855.0,700,18,1.2,10,4000,20000,4,15,False,True,2022-01-01,2026-12-31
RC000021,FL001,VT003,Corporate,6929.0,700,18,1.2,10,4000,20000,4,15,False,True,2022-01-01,2026-12-31
RC000022,FL001,VT003,Tourism / Northern Areas,9624.0,700,18,1.2,10,4000,20000,4,15,False,True,2022-01-01,2026-12-31
RC000023,FL001,VT003,Monthly Contract,6706.0,700,18,1.2,10,4000,20000,4,15,False,True,2022-01-01,2026-12-31
RC000024,FL001,VT003,Event,10376.0,700,18,1.2,10,4000,20000,4,15,False,True,2022-01-01,2026-12-31
RC000025,FL001,VT004,City Ride,6212.0,650,17,1.2,10,4000,20000,4,15,False,False,2022-01-01,2026-12-31
RC000026,FL001,VT004,Airport Transfer,8315.0,650,17,1.2,10,4000,20000,4,15,False,True,2022-01-01,2026-12-31
RC000027,FL001,VT004,Intercity,8728.0,650,17,1.2,10,4000,20000,4,15,False,True,2022-01-01,2026-12-31
RC000028,FL001,VT004,Wedding,9176.0,650,17,1.2,10,4000,20000,4,15,False,True,2022-01-01,2026-12-31
RC000029,FL001,VT004,Corporate,6914.0,650,17,1.2,10,4000,20000,4,15,False,True,2022-01-01,2026-12-31
RC000030,FL001,VT004,Tourism / Northern Areas,8930.0,650,17,1.2,10,4000,20000,4,15,False,True,2022-01-01,2026-12-31
RC000031,FL001,VT004,Monthly Contract,5604.0,650,17,1.2,10,4000,20000,4,15,False,True,2022-01-01,2026-12-31
RC000032,FL001,VT004,Event,9437.0,650,17,1.2,10,4000,20000,4,15,False,True,2022-01-01,2026-12-31
RC000033,FL001,VT005,City Ride,9067.0,1000,22,1.2,10,4000,30000,4,15,False,False,2022-01-01,2026-12-31
RC000034,FL001,VT005,Airport Transfer,12402.0,1000,22,1.2,10,4000,30000,4,15,False,True,2022-01-01,2026-12-31
RC000035,FL001,VT005,Intercity,12154.0,1000,22,1.2,10,4000,30000,4,15,False,True,2022-01-01,2026-12-31
RC000036,FL001,VT005,Wedding,14695.0,1000,22,1.2,10,4000,30000,4,15,False,True,2022-01-01,2026-12-31
RC000037,FL001,VT005,Corporate,11926.0,1000,22,1.2,10,4000,30000,4,15,False,True,2022-01-01,2026-12-31
RC000038,FL001,VT005,Tourism / Northern Areas,11560.0,1000,22,1.2,10,4000,30000,4,15,False,True,2022-01-01,2026-12-31
RC000039,FL001,VT005,Monthly Contract,8461.0,1000,22,1.2,10,4000,30000,4,15,False,True,2022-01-01,2026-12-31
RC000040,FL001,VT005,Event,14200.0,1000,22,1.2,10,4000,30000,4,15,False,True,2022-01-01,2026-12-31
RC000041,FL001,VT006,City Ride,6712.0,800,20,1.2,10,4000,25000,4,15,False,False,2022-01-01,2026-12-31
RC000042,FL001,VT006,Airport Transfer,8379.0,800,20,1.2,10,4000,25000,4,15,False,True,2022-01-01,2026-12-31
RC000043,FL001,VT006,Intercity,7065.0,800,20,1.2,10,4000,25000,4,15,False,True,2022-01-01,2026-12-31
RC000044,FL001,VT006,Wedding,10193.0,800,20,1.2,10,4000,25000,4,15,False,True,2022-01-01,2026-12-31
RC000045,FL001,VT006,Corporate,7104.0,800,20,1.2,10,4000,25000,4,15,False,True,2022-01-01,2026-12-31
RC000046,FL001,VT006,Tourism / Northern Areas,7460.0,800,20,1.2,10,4000,25000,4,15,False,True,2022-01-01,2026-12-31
RC000047,FL001,VT006,Monthly Contract,5500.0,800,20,1.2,10,4000,25000,4,15,False,True,2022-01-01,2026-12-31
RC000048,FL001,VT006,Event,8572.0,800,20,1.2,10,4000,25000,4,15,False,True,2022-01-01,2026-12-31
RC000049,FL001,VT007,City Ride,13380.0,1200,28,1.2,10,4000,40000,4,15,False,False,2022-01-01,2026-12-31
RC000050,FL001,VT007,Airport Transfer,15279.0,1200,28,1.2,10,4000,40000,4,15,False,True,2022-01-01,2026-12-31
RC000051,FL001,VT007,Intercity,17093.0,1200,28,1.2,10,4000,40000,4,15,False,True,2022-01-01,2026-12-31
RC000052,FL001,VT007,Wedding,15895.0,1200,28,1.2,10,4000,40000,4,15,False,True,2022-01-01,2026-12-31
RC000053,FL001,VT007,Corporate,15103.0,1200,28,1.2,10,4000,40000,4,15,False,True,2022-01-01,2026-12-31
RC000054,FL001,VT007,Tourism / Northern Areas,14964.0,1200,28,1.2,10,4000,40000,4,15,False,True,2022-01-01,2026-12-31
RC000055,FL001,VT007,Monthly Contract,11177.0,1200,28,1.2,10,4000,40000,4,15,False,True,2022-01-01,2026-12-31
RC000056,FL001,VT007,Event,16218.0,1200,28,1.2,10,4000,40000,4,15,False,True,2022-01-01,2026-12-31
RC000057,FL001,VT008,City Ride,15405.0,1200,28,1.2,10,4000,40000,4,15,False,False,2022-01-01,2026-12-31
RC000058,FL001,VT008,Airport Transfer,13225.0,1200,28,1.2,10,4000,40000,4,15,False,True,2022-01-01,2026-12-31
RC000059,FL001,VT008,Intercity,16308.0,1200,28,1.2,10,4000,40000,4,15,False,True,2022-01-01,2026-12-31
RC000060,FL001,VT008,Wedding,15600.0,1200,28,1.2,10,4000,40000,4,15,False,True,2022-01-01,2026-12-31
RC000061,FL001,VT008,Corporate,16282.0,1200,28,1.2,10,4000,40000,4,15,False,True,2022-01-01,2026-12-31
RC000062,FL001,VT008,Tourism / Northern Areas,17174.0,1200,28,1.2,10,4000,40000,4,15,False,True,2022-01-01,2026-12-31
RC000063,FL001,VT008,Monthly Contract,9272.0,1200,28,1.2,10,4000,40000,4,15,False,True,2022-01-01,2026-12-31
RC000064,FL001,VT008,Event,14700.0,1200,28,1.2,10,4000,40000,4,15,False,True,2022-01-01,2026-12-31
RC000065,FL001,VT009,City Ride,18482.0,1800,35,1.2,10,4000,50000,4,15,False,False,2022-01-01,2026-12-31
RC000066,FL001,VT009,Airport Transfer,21476.0,1800,35,1.2,10,4000,50000,4,15,False,True,2022-01-01,2026-12-31
RC000067,FL001,VT009,Intercity,19569.0,1800,35,1.2,10,4000,50000,4,15,False,True,2022-01-01,2026-12-31
RC000068,FL001,VT009,Wedding,22027.0,1800,35,1.2,10,4000,50000,4,15,False,True,2022-01-01,2026-12-31
RC000069,FL001,VT009,Corporate,18421.0,1800,35,1.2,10,4000,50000,4,15,False,True,2022-01-01,2026-12-31
RC000070,FL001,VT009,Tourism / Northern Areas,22133.0,1800,35,1.2,10,4000,50000,4,15,False,True,2022-01-01,2026-12-31
RC000071,FL001,VT009,Monthly Contract,14157.0,1800,35,1.2,10,4000,50000,4,15,False,True,2022-01-01,2026-12-31
RC000072,FL001,VT009,Event,20640.0,1800,35,1.2,10,4000,50000,4,15,False,True,2022-01-01,2026-12-31
RC000073,FL001,VT010,City Ride,18662.0,2000,38,1.2,10,4000,55000,4,15,False,False,2022-01-01,2026-12-31
RC000074,FL001,VT010,Airport Transfer,23388.0,2000,38,1.2,10,4000,55000,4,15,False,True,2022-01-01,2026-12-31
RC000075,FL001,VT010,Intercity,23693.0,2000,38,1.2,10,4000,55000,4,15,False,True,2022-01-01,2026-12-31
RC000076,FL001,VT010,Wedding,24061.0,2000,38,1.2,10,4000,55000,4,15,False,True,2022-01-01,2026-12-31
RC000077,FL001,VT010,Corporate,20629.0,2000,38,1.2,10,4000,55000,4,15,False,True,2022-01-01,2026-12-31
RC000078,FL001,VT010,Tourism / Northern Areas,24220.0,2000,38,1.2,10,4000,55000,4,15,False,True,2022-01-01,2026-12-31
RC000079,FL001,VT010,Monthly Contract,15003.0,2000,38,1.2,10,4000,55000,4,15,False,True,2022-01-01,2026-12-31
RC000080,FL001,VT010,Event,24877.0,2000,38,1.2,10,4000,55000,4,15,False,True,2022-01-01,2026-12-31
RC000081,FL001,VT011,City Ride,23992.0,2500,50,1.2,10,4000,80000,4,15,False,False,2022-01-01,2026-12-31
RC000082,FL001,VT011,Airport Transfer,27792.0,2500,50,1.2,10,4000,80000,4,15,False,True,2022-01-01,2026-12-31
RC000083,FL001,VT011,Intercity,30092.0,2500,50,1.2,10,4000,80000,4,15,False,True,2022-01-01,2026-12-31
RC000084,FL001,VT011,Wedding,31443.0,2500,50,1.2,10,4000,80000,4,15,False,True,2022-01-01,2026-12-31
RC000085,FL001,VT011,Corporate,25718.0,2500,50,1.2,10,4000,80000,4,15,False,True,2022-01-01,2026-12-31
RC000086,FL001,VT011,Tourism / Northern Areas,28476.0,2500,50,1.2,10,4000,80000,4,15,False,True,2022-01-01,2026-12-31
RC000087,FL001,VT011,Monthly Contract,19232.0,2500,50,1.2,10,4000,80000,4,15,False,True,2022-01-01,2026-12-31
RC000088,FL001,VT011,Event,33085.0,2500,50,1.2,10,4000,80000,4,15,False,True,2022-01-01,2026-12-31
RC000089,FL001,VT012,City Ride,30996.0,3500,70,1.2,10,4000,100000,4,15,False,False,2022-01-01,2026-12-31
RC000090,FL001,VT012,Airport Transfer,39999.0,3500,70,1.2,10,4000,100000,4,15,False,True,2022-01-01,2026-12-31
RC000091,FL001,VT012,Intercity,30094.0,3500,70,1.2,10,4000,100000,4,15,False,True,2022-01-01,2026-12-31
RC000092,FL001,VT012,Wedding,32323.0,3500,70,1.2,10,4000,100000,4,15,False,True,2022-01-01,2026-12-31
RC000093,FL001,VT012,Corporate,30528.0,3500,70,1.2,10,4000,100000,4,15,False,True,2022-01-01,2026-12-31
RC000094,FL001,VT012,Tourism / Northern Areas,39209.0,3500,70,1.2,10,4000,100000,4,15,False,True,2022-01-01,2026-12-31
RC000095,FL001,VT012,Monthly Contract,27322.0,3500,70,1.2,10,4000,100000,4,15,False,True,2022-01-01,2026-12-31
RC000096,FL001,VT012,Event,42914.0,3500,70,1.2,10,4000,100000,4,15,False,True,2022-01-01,2026-12-31
RC000097,FL001,VT013,City Ride,29935.0,3000,60,1.2,10,4000,100000,4,15,False,False,2022-01-01,2026-12-31
RC000098,FL001,VT013,Airport Transfer,36558.0,3000,60,1.2,10,4000,100000,4,15,False,True,2022-01-01,2026-12-31
RC000099,FL001,VT013,Intercity,34773.0,3000,60,1.2,10,4000,100000,4,15,False,True,2022-01-01,2026-12-31
RC000100,FL001,VT013,Wedding,36055.0,3000,60,1.2,10,4000,100000,4,15,False,True,2022-01-01,2026-12-31
RC000101,FL001,VT013,Corporate,32566.0,3000,60,1.2,10,4000,100000,4,15,False,True,2022-01-01,2026-12-31
RC000102,FL001,VT013,Tourism / Northern Areas,37513.0,3000,60,1.2,10,4000,100000,4,15,False,True,2022-01-01,2026-12-31
RC000103,FL001,VT013,Monthly Contract,21603.0,3000,60,1.2,10,4000,100000,4,15,False,True,2022-01-01,2026-12-31
RC000104,FL001,VT013,Event,40211.0,3000,60,1.2,10,4000,100000,4,15,False,True,2022-01-01,2026-12-31
RC000105,FL001,VT014,City Ride,78780.0,5000,80,1.2,10,4000,150000,4,15,False,False,2022-01-01,2026-12-31
RC000106,FL001,VT014,Airport Transfer,81929.0,5000,80,1.2,10,4000,150000,4,15,False,True,2022-01-01,2026-12-31
RC000107,FL001,VT014,Intercity,82561.0,5000,80,1.2,10,4000,150000,4,15,False,True,2022-01-01,2026-12-31
RC000108,FL001,VT014,Wedding,50358.0,5000,80,1.2,10,4000,150000,4,15,False,True,2022-01-01,2026-12-31
RC000109,FL001,VT014,Corporate,36896.0,5000,80,1.2,10,4000,150000,4,15,False,True,2022-01-01,2026-12-31
RC000110,FL001,VT014,Tourism / Northern Areas,80266.0,5000,80,1.2,10,4000,150000,4,15,False,True,2022-01-01,2026-12-31
RC000111,FL001,VT014,Monthly Contract,44869.0,5000,80,1.2,10,4000,150000,4,15,False,True,2022-01-01,2026-12-31
RC000112,FL001,VT014,Event,85899.0,5000,80,1.2,10,4000,150000,4,15,False,True,2022-01-01,2026-12-31
RC000113,FL001,VT015,City Ride,143463.0,12000,200,1.2,10,4000,300000,4,15,False,False,2022-01-01,2026-12-31
RC000114,FL001,VT015,Airport Transfer,155888.0,12000,200,1.2,10,4000,300000,4,15,False,True,2022-01-01,2026-12-31
RC000115,FL001,VT015,Intercity,116060.0,12000,200,1.2,10,4000,300000,4,15,False,True,2022-01-01,2026-12-31
RC000116,FL001,VT015,Wedding,196753.0,12000,200,1.2,10,4000,300000,4,15,False,True,2022-01-01,2026-12-31
RC000117,FL001,VT015,Corporate,128936.0,12000,200,1.2,10,4000,300000,4,15,False,True,2022-01-01,2026-12-31
RC000118,FL001,VT015,Tourism / Northern Areas,122572.0,12000,200,1.2,10,4000,300000,4,15,False,True,2022-01-01,2026-12-31
RC000119,FL001,VT015,Monthly Contract,94452.0,12000,200,1.2,10,4000,300000,4,15,False,True,2022-01-01,2026-12-31
RC000120,FL001,VT015,Event,145111.0,12000,200,1.2,10,4000,300000,4,15,False,True,2022-01-01,2026-12-31
RC000121,FL001,VT016,City Ride,6939.0,600,15,1.2,10,4000,20000,4,15,False,False,2022-01-01,2026-12-31
RC000122,FL001,VT016,Airport Transfer,7080.0,600,15,1.2,10,4000,20000,4,15,False,True,2022-01-01,2026-12-31
RC000123,FL001,VT016,Intercity,7174.0,600,15,1.2,10,4000,20000,4,15,False,True,2022-01-01,2026-12-31
RC000124,FL001,VT016,Wedding,8288.0,600,15,1.2,10,4000,20000,4,15,False,True,2022-01-01,2026-12-31
RC000125,FL001,VT016,Corporate,5308.0,600,15,1.2,10,4000,20000,4,15,False,True,2022-01-01,2026-12-31
RC000126,FL001,VT016,Tourism / Northern Areas,8362.0,600,15,1.2,10,4000,20000,4,15,False,True,2022-01-01,2026-12-31
RC000127,FL001,VT016,Monthly Contract,4962.0,600,15,1.2,10,4000,20000,4,15,False,True,2022-01-01,2026-12-31
RC000128,FL001,VT016,Event,7286.0,600,15,1.2,10,4000,20000,4,15,False,True,2022-01-01,2026-12-31
RC000129,FL001,VT017,City Ride,12495.0,1100,25,1.2,10,4000,40000,4,15,False,False,2022-01-01,2026-12-31
RC000130,FL001,VT017,Airport Transfer,16216.0,1100,25,1.2,10,4000,40000,4,15,False,True,2022-01-01,2026-12-31
RC000131,FL001,VT017,Intercity,12444.0,1100,25,1.2,10,4000,40000,4,15,False,True,2022-01-01,2026-12-31
RC000132,FL001,VT017,Wedding,13035.0,1100,25,1.2,10,4000,40000,4,15,False,True,2022-01-01,2026-12-31
RC000133,FL001,VT017,Corporate,11338.0,1100,25,1.2,10,4000,40000,4,15,False,True,2022-01-01,2026-12-31
RC000134,FL001,VT017,Tourism / Northern Areas,16029.0,1100,25,1.2,10,4000,40000,4,15,False,True,2022-01-01,2026-12-31
RC000135,FL001,VT017,Monthly Contract,9094.0,1100,25,1.2,10,4000,40000,4,15,False,True,2022-01-01,2026-12-31
RC000136,FL001,VT017,Event,18108.0,1100,25,1.2,10,4000,40000,4,15,False,True,2022-01-01,2026-12-31
RC000137,FL001,VT018,City Ride,18077.0,1800,35,1.2,10,4000,50000,4,15,False,False,2022-01-01,2026-12-31
RC000138,FL001,VT018,Airport Transfer,17890.0,1800,35,1.2,10,4000,50000,4,15,False,True,2022-01-01,2026-12-31
RC000139,FL001,VT018,Intercity,18260.0,1800,35,1.2,10,4000,50000,4,15,False,True,2022-01-01,2026-12-31
RC000140,FL001,VT018,Wedding,23701.0,1800,35,1.2,10,4000,50000,4,15,False,True,2022-01-01,2026-12-31
RC000141,FL001,VT018,Corporate,16377.0,1800,35,1.2,10,4000,50000,4,15,False,True,2022-01-01,2026-12-31
RC000142,FL001,VT018,Tourism / Northern Areas,21613.0,1800,35,1.2,10,4000,50000,4,15,False,True,2022-01-01,2026-12-31
RC000143,FL001,VT018,Monthly Contract,12357.0,1800,35,1.2,10,4000,50000,4,15,False,True,2022-01-01,2026-12-31
RC000144,FL001,VT018,Event,21814.0,1800,35,1.2,10,4000,50000,4,15,False,True,2022-01-01,2026-12-31
RC000145,FL002,VT001,City Ride,3732.0,400,12,1.2,10,4000,10000,4,15,False,False,2022-01-01,2026-12-31
RC000146,FL002,VT001,Airport Transfer,5001.0,400,12,1.2,10,4000,10000,4,15,False,True,2022-01-01,2026-12-31
RC000147,FL002,VT001,Intercity,4244.0,400,12,1.2,10,4000,10000,4,15,False,True,2022-01-01,2026-12-31
RC000148,FL002,VT001,Wedding,4715.0,400,12,1.2,10,4000,10000,4,15,False,True,2022-01-01,2026-12-31
RC000149,FL002,VT001,Corporate,4867.0,400,12,1.2,10,4000,10000,4,15,False,True,2022-01-01,2026-12-31
RC000150,FL002,VT001,Tourism / Northern Areas,5991.0,400,12,1.2,10,4000,10000,4,15,False,True,2022-01-01,2026-12-31
RC000151,FL002,VT001,Monthly Contract,3093.0,400,12,1.2,10,4000,10000,4,15,False,True,2022-01-01,2026-12-31
RC000152,FL002,VT001,Event,5590.0,400,12,1.2,10,4000,10000,4,15,False,True,2022-01-01,2026-12-31
RC000153,FL002,VT002,City Ride,4940.0,500,14,1.2,10,4000,15000,4,15,False,False,2022-01-01,2026-12-31
RC000154,FL002,VT002,Airport Transfer,6397.0,500,14,1.2,10,4000,15000,4,15,False,True,2022-01-01,2026-12-31
RC000155,FL002,VT002,Intercity,5438.0,500,14,1.2,10,4000,15000,4,15,False,True,2022-01-01,2026-12-31
RC000156,FL002,VT002,Wedding,6564.0,500,14,1.2,10,4000,15000,4,15,False,True,2022-01-01,2026-12-31
RC000157,FL002,VT002,Corporate,4988.0,500,14,1.2,10,4000,15000,4,15,False,True,2022-01-01,2026-12-31
RC000158,FL002,VT002,Tourism / Northern Areas,7174.0,500,14,1.2,10,4000,15000,4,15,False,True,2022-01-01,2026-12-31
RC000159,FL002,VT002,Monthly Contract,3508.0,500,14,1.2,10,4000,15000,4,15,False,True,2022-01-01,2026-12-31
RC000160,FL002,VT002,Event,6674.0,500,14,1.2,10,4000,15000,4,15,False,True,2022-01-01,2026-12-31
RC000161,FL002,VT003,City Ride,6905.0,700,18,1.2,10,4000,20000,4,15,False,False,2022-01-01,2026-12-31
RC000162,FL002,VT003,Airport Transfer,9590.0,700,18,1.2,10,4000,20000,4,15,False,True,2022-01-01,2026-12-31
RC000163,FL002,VT003,Intercity,7345.0,700,18,1.2,10,4000,20000,4,15,False,True,2022-01-01,2026-12-31
RC000164,FL002,VT003,Wedding,7641.0,700,18,1.2,10,4000,20000,4,15,False,True,2022-01-01,2026-12-31
RC000165,FL002,VT003,Corporate,7762.0,700,18,1.2,10,4000,20000,4,15,False,True,2022-01-01,2026-12-31
RC000166,FL002,VT003,Tourism / Northern Areas,10367.0,700,18,1.2,10,4000,20000,4,15,False,True,2022-01-01,2026-12-31
RC000167,FL002,VT003,Monthly Contract,4321.0,700,18,1.2,10,4000,20000,4,15,False,True,2022-01-01,2026-12-31
RC000168,FL002,VT003,Event,6581.0,700,18,1.2,10,4000,20000,4,15,False,True,2022-01-01,2026-12-31
RC000169,FL002,VT004,City Ride,6469.0,650,17,1.2,10,4000,20000,4,15,False,False,2022-01-01,2026-12-31
RC000170,FL002,VT004,Airport Transfer,7580.0,650,17,1.2,10,4000,20000,4,15,False,True,2022-01-01,2026-12-31
RC000171,FL002,VT004,Intercity,8425.0,650,17,1.2,10,4000,20000,4,15,False,True,2022-01-01,2026-12-31
RC000172,FL002,VT004,Wedding,8107.0,650,17,1.2,10,4000,20000,4,15,False,True,2022-01-01,2026-12-31
RC000173,FL002,VT004,Corporate,6605.0,650,17,1.2,10,4000,20000,4,15,False,True,2022-01-01,2026-12-31
RC000174,FL002,VT004,Tourism / Northern Areas,9075.0,650,17,1.2,10,4000,20000,4,15,False,True,2022-01-01,2026-12-31
RC000175,FL002,VT004,Monthly Contract,4736.0,650,17,1.2,10,4000,20000,4,15,False,True,2022-01-01,2026-12-31
RC000176,FL002,VT004,Event,7467.0,650,17,1.2,10,4000,20000,4,15,False,True,2022-01-01,2026-12-31
RC000177,FL002,VT005,City Ride,10973.0,1000,22,1.2,10,4000,30000,4,15,False,False,2022-01-01,2026-12-31
RC000178,FL002,VT005,Airport Transfer,12942.0,1000,22,1.2,10,4000,30000,4,15,False,True,2022-01-01,2026-12-31
RC000179,FL002,VT005,Intercity,11481.0,1000,22,1.2,10,4000,30000,4,15,False,True,2022-01-01,2026-12-31
RC000180,FL002,VT005,Wedding,11474.0,1000,22,1.2,10,4000,30000,4,15,False,True,2022-01-01,2026-12-31
RC000181,FL002,VT005,Corporate,12223.0,1000,22,1.2,10,4000,30000,4,15,False,True,2022-01-01,2026-12-31
RC000182,FL002,VT005,Tourism / Northern Areas,13311.0,1000,22,1.2,10,4000,30000,4,15,False,True,2022-01-01,2026-12-31
RC000183,FL002,VT005,Monthly Contract,6769.0,1000,22,1.2,10,4000,30000,4,15,False,True,2022-01-01,2026-12-31
RC000184,FL002,VT005,Event,13573.0,1000,22,1.2,10,4000,30000,4,15,False,True,2022-01-01,2026-12-31
RC000185,FL002,VT006,City Ride,6599.0,800,20,1.2,10,4000,25000,4,15,False,False,2022-01-01,2026-12-31
RC000186,FL002,VT006,Airport Transfer,7784.0,800,20,1.2,10,4000,25000,4,15,False,True,2022-01-01,2026-12-31
RC000187,FL002,VT006,Intercity,7835.0,800,20,1.2,10,4000,25000,4,15,False,True,2022-01-01,2026-12-31
RC000188,FL002,VT006,Wedding,10295.0,800,20,1.2,10,4000,25000,4,15,False,True,2022-01-01,2026-12-31
RC000189,FL002,VT006,Corporate,7252.0,800,20,1.2,10,4000,25000,4,15,False,True,2022-01-01,2026-12-31
RC000190,FL002,VT006,Tourism / Northern Areas,8387.0,800,20,1.2,10,4000,25000,4,15,False,True,2022-01-01,2026-12-31
RC000191,FL002,VT006,Monthly Contract,5584.0,800,20,1.2,10,4000,25000,4,15,False,True,2022-01-01,2026-12-31
RC000192,FL002,VT006,Event,9317.0,800,20,1.2,10,4000,25000,4,15,False,True,2022-01-01,2026-12-31
RC000193,FL002,VT007,City Ride,12689.0,1200,28,1.2,10,4000,40000,4,15,False,False,2022-01-01,2026-12-31
RC000194,FL002,VT007,Airport Transfer,15149.0,1200,28,1.2,10,4000,40000,4,15,False,True,2022-01-01,2026-12-31
RC000195,FL002,VT007,Intercity,13829.0,1200,28,1.2,10,4000,40000,4,15,False,True,2022-01-01,2026-12-31
RC000196,FL002,VT007,Wedding,18543.0,1200,28,1.2,10,4000,40000,4,15,False,True,2022-01-01,2026-12-31
RC000197,FL002,VT007,Corporate,14100.0,1200,28,1.2,10,4000,40000,4,15,False,True,2022-01-01,2026-12-31
RC000198,FL002,VT007,Tourism / Northern Areas,15749.0,1200,28,1.2,10,4000,40000,4,15,False,True,2022-01-01,2026-12-31
RC000199,FL002,VT007,Monthly Contract,9807.0,1200,28,1.2,10,4000,40000,4,15,False,True,2022-01-01,2026-12-31
RC000200,FL002,VT007,Event,16848.0,1200,28,1.2,10,4000,40000,4,15,False,True,2022-01-01,2026-12-31
RC000201,FL002,VT008,City Ride,14257.0,1200,28,1.2,10,4000,40000,4,15,False,False,2022-01-01,2026-12-31
RC000202,FL002,VT008,Airport Transfer,15496.0,1200,28,1.2,10,4000,40000,4,15,False,True,2022-01-01,2026-12-31
RC000203,FL002,VT008,Intercity,17788.0,1200,28,1.2,10,4000,40000,4,15,False,True,2022-01-01,2026-12-31
RC000204,FL002,VT008,Wedding,17642.0,1200,28,1.2,10,4000,40000,4,15,False,True,2022-01-01,2026-12-31
RC000205,FL002,VT008,Corporate,14133.0,1200,28,1.2,10,4000,40000,4,15,False,True,2022-01-01,2026-12-31
RC000206,FL002,VT008,Tourism / Northern Areas,18738.0,1200,28,1.2,10,4000,40000,4,15,False,True,2022-01-01,2026-12-31
RC000207,FL002,VT008,Monthly Contract,11043.0,1200,28,1.2,10,4000,40000,4,15,False,True,2022-01-01,2026-12-31
RC000208,FL002,VT008,Event,15127.0,1200,28,1.2,10,4000,40000,4,15,False,True,2022-01-01,2026-12-31
RC000209,FL002,VT009,City Ride,16557.0,1800,35,1.2,10,4000,50000,4,15,False,False,2022-01-01,2026-12-31
RC000210,FL002,VT009,Airport Transfer,21009.0,1800,35,1.2,10,4000,50000,4,15,False,True,2022-01-01,2026-12-31
RC000211,FL002,VT009,Intercity,21046.0,1800,35,1.2,10,4000,50000,4,15,False,True,2022-01-01,2026-12-31
RC000212,FL002,VT009,Wedding,23951.0,1800,35,1.2,10,4000,50000,4,15,False,True,2022-01-01,2026-12-31
RC000213,FL002,VT009,Corporate,17920.0,1800,35,1.2,10,4000,50000,4,15,False,True,2022-01-01,2026-12-31
RC000214,FL002,VT009,Tourism / Northern Areas,22078.0,1800,35,1.2,10,4000,50000,4,15,False,True,2022-01-01,2026-12-31
RC000215,FL002,VT009,Monthly Contract,12634.0,1800,35,1.2,10,4000,50000,4,15,False,True,2022-01-01,2026-12-31
RC000216,FL002,VT009,Event,20707.0,1800,35,1.2,10,4000,50000,4,15,False,True,2022-01-01,2026-12-31
RC000217,FL002,VT010,City Ride,19470.0,2000,38,1.2,10,4000,55000,4,15,False,False,2022-01-01,2026-12-31
RC000218,FL002,VT010,Airport Transfer,23840.0,2000,38,1.2,10,4000,55000,4,15,False,True,2022-01-01,2026-12-31
