telem_id,trip_id,driver_id,vehicle_id,trip_date,distance_km,duration_hours,avg_speed_kmh,max_speed_kmh,harsh_brake_events,harsh_accel_events,idle_time_minutes,speeding_km,safety_score,accident_occurred,customer_rating,complaint_filed
TL000039,TR000039,DR0054,VH00054,2024-01-14,65.1,8.64,8.2,129,0,0,68,5.6,94.9,False,3.5,False
TL000041,TR000041,DR0018,VH00062,2026-03-23,123.6,52.56,2.6,91,1,0,169,5.7,88.3,False,5.0,False
TL000046,TR000046,DR0025,VH00005,2023-10-27,386.8,9.12,46.3,148,6,5,61,43.0,70.0,False,4.8,False
TL000047,TR000047,DR0002,VH00019,2026-01-28,1415.5,61.92,24.9,96,47,45,1237,509.1,0.0,False,3.9,False
TL000048,TR000048,DR0034,VH00081,2024-06-22,14.1,107.04,0.1,135,0,0,1313,2.3,33.7,False,4.3,False
TL000052,TR000052,DR0032,VH00119,2023-12-18,70.2,7.92,9.7,95,0,0,42,5.2,96.3,False,4.0,False
TL000054,TR000054,DR0028,VH00053,2022-12-28,1218.7,19.44,68.4,170,14,13,148,121.9,22.0,False,4.2,False
TL000056,TR000056,DR0017,VH00073,2025-06-22,42.1,52.56,0.9,130,1,0,460,5.7,73.8,False,3.6,False
TL000057,TR000057,DR0042,VH00071,2025-03-17,43.4,154.32,0.3,121,0,0,1210,3.9,38.3,False,4.0,False
TL000058,TR000058,DR0056,VH00062,2026-06-20,71.4,38.16,2.0,175,0,0,333,5.5,81.7,False,5.0,False
TL000059,TR000059,DR0019,VH00117,2026-04-20,557.6,33.84,18.0,109,28,21,468,181.2,0.0,False,3.9,False
TL000060,TR000060,DR0044,VH00104,2023-08-21,164.2,23.52,7.6,80,2,2,321,16.8,73.9,False,4.5,False
TL000068,TR000068,DR0041,VH00019,2025-11-06,1367.5,20.64,72.3,105,10,16,93,88.8,37.7,False,4.0,False
TL000070,TR000070,DR0007,VH00062,2024-02-27,386.7,10.08,41.9,141,21,17,195,128.6,3.2,False,4.3,False
TL000073,TR000073,DR0009,VH00084,2024-07-28,365.4,222.24,1.8,123,1,1,503,13.0,68.4,False,5.0,False
TL000074,TR000074,DR0041,VH00036,2024-04-05,900.7,36.72,26.8,94,7,9,176,46.5,57.8,False,4.0,False
TL000075,TR000075,DR0018,VH00011,2022-04-02,58.1,13.44,4.7,105,0,0,54,3.4,96.3,False,3.4,True
TL000076,TR000076,DR0059,VH00028,2025-12-18,39.8,45.84,0.9,132,0,0,648,6.5,65.6,False,4.1,False
TL000080,TR000080,DR0003,VH00052,2025-05-16,51.1,116.4,0.5,109,3,2,3108,26.9,0.0,False,4.6,False
TL000081,TR000081,DR0023,VH00056,2026-06-14,393.1,2.64,162.4,128,2,3,14,32.0,83.7,False,4.8,False
TL000086,TR000086,DR0038,VH00040,2023-12-27,337.8,15.6,23.6,140,7,7,238,29.8,61.7,False,3.8,False
TL000087,TR000087,DR0017,VH00019,2024-05-07,15.1,39.6,0.4,126,0,0,618,1.3,68.7,False,3.9,False
TL000089,TR000089,DR0005,VH00024,2023-04-15,364.6,148.32,2.7,159,2,4,1134,22.0,29.7,False,4.1,False
TL000090,TR000090,DR0024,VH00058,2026-03-11,15.1,38.16,0.4,143,0,0,309,1.1,84.2,False,4.1,False
TL000095,TR000095,DR0041,VH00041,2024-09-18,1534.7,169.44,9.9,86,14,12,861,106.9,0.0,False,3.8,False
TL000096,TR000096,DR0049,VH00034,2023-07-04,114.1,48.0,2.6,174,0,0,264,5.6,85.1,False,3.4,False
TL000097,TR000097,DR0051,VH00016,2024-09-05,323.1,144.72,2.4,144,6,7,1881,52.5,0.0,False,5.0,False
TL000098,TR000098,DR0007,VH00064,2025-08-13,383.1,69.12,6.0,165,21,25,1612,186.5,0.0,False,5.0,False
TL000099,TR000099,DR0029,VH00034,2022-06-19,365.8,143.28,2.8,157,5,8,1737,71.1,0.0,False,4.9,False
TL000100,TR000100,DR0058,VH00019,2025-09-28,364.6,95.04,4.2,152,7,8,1426,79.7,0.0,False,3.8,False
TL000101,TR000101,DR0008,VH00078,2024-07-25,1395.5,2.64,576.7,80,28,28,42,196.4,0.0,False,3.5,True
TL000102,TR000102,DR0031,VH00118,2022-03-07,34.3,4.8,7.8,142,0,0,69,5.6,94.9,False,3.7,False
TL000106,TR000106,DR0026,VH00007,2023-08-12,21.6,22.32,1.1,155,0,0,420,6.7,77.0,False,4.1,False
TL000107,TR000107,DR0041,VH00111,2025-09-13,24.1,25.92,1.0,107,0,0,204,1.6,89.3,False,3.8,False
TL000108,TR000108,DR0028,VH00025,2026-06-07,34.4,45.6,0.8,140,0,0,362,1.5,81.5,False,4.6,False
TL000110,TR000110,DR0015,VH00080,2025-05-17,23.3,100.56,0.3,175,0,0,1301,2.1,34.3,False,4.0,False
TL000112,TR000112,DR0051,VH00036,2026-05-07,40.0,42.96,1.0,106,0,0,406,7.1,77.6,False,4.0,False
TL000114,TR000114,DR0046,VH00092,2025-06-04,1227.7,61.2,21.9,151,105,60,1245,348.2,0.0,False,3.2,False
TL000115,TR000115,DR0053,VH00078,2022-10-29,543.0,5.76,102.8,90,4,6,47,53.8,69.5,False,3.8,True
TL000116,TR000116,DR0054,VH00026,2025-06-27,47.8,118.32,0.4,167,0,0,566,3.0,70.8,False,4.5,False
TL000119,TR000119,DR0048,VH00099,2026-03-17,51.4,11.76,4.8,93,0,0,35,1.7,97.7,False,4.9,False
TL000123,TR000123,DR0025,VH00081,2025-02-28,61.6,20.88,3.2,110,1,1,164,10.2,86.2,False,4.1,False
TL000124,TR000124,DR0047,VH00111,2023-10-18,15.5,9.6,1.8,161,0,0,154,2.4,91.6,False,4.3,False
TL000128,TR000128,DR0054,VH00008,2024-12-05,366.7,5.28,75.8,158,3,3,28,19.7,85.2,False,4.3,False
TL000136,TR000136,DR0017,VH00021,2023-09-24,888.3,197.76,4.9,156,13,21,1313,180.2,0.0,False,4.7,False
TL000137,TR000137,DR0020,VH00031,2026-03-07,65.5,39.36,1.8,125,1,1,381,9.8,75.5,False,4.5,False
TL000138,TR000138,DR0051,VH00040,2025-06-14,1446.6,21.84,72.3,101,21,35,213,194.8,0.0,False,4.2,False
TL000139,TR000139,DR0051,VH00043,2022-03-22,14.5,18.96,0.8,178,0,0,121,1.4,93.5,False,4.1,False
TL000140,TR000140,DR0018,VH00038,2023-04-09,323.1,21.6,16.3,146,3,2,180,16.7,79.5,False,4.3,False
TL000144,TR000144,DR0037,VH00007,2023-04-05,257.2,10.8,26.0,151,3,5,90,49.2,71.2,False,4.2,False
TL000146,TR000146,DR0007,VH00015,2026-06-27,11.5,108.96,0.1,137,0,0,1809,4.3,8.3,False,5.0,False
TL000149,TR000149,DR0021,VH00087,2022-05-10,1397.9,60.24,25.3,98,34,32,876,109.7,0.0,False,5.0,False
TL000152,TR000152,DR0037,VH00112,2026-06-26,78.1,203.52,0.4,177,1,1,1392,10.4,24.8,False,4.0,False
TL000154,TR000154,DR0018,VH00040,2023-07-25,1468.7,18.24,87.8,159,11,15,106,100.3,33.1,False,4.7,False
TL000157,TR000157,DR0047,VH00095,2022-04-06,1413.2,6.24,247.1,133,36,29,86,151.6,0.0,False,3.9,False
TL000158,TR000158,DR0041,VH00040,2023-08-13,16.0,769.92,0.0,171,0,0,2934,0.6,0.0,False,5.0,True
TL000159,TR000159,DR0004,VH00102,2024-06-03,1443.3,29.28,53.8,114,31,26,377,303.1,0.0,False,3.5,False
TL000160,TR000160,DR0059,VH00119,2025-12-12,386.7,45.36,9.3,112,5,8,534,63.8,38.7,False,5.0,False
TL000161,TR000161,DR0055,VH00013,2025-08-27,39.6,21.36,2.0,129,0,0,150,7.5,90.2,False,2.5,False
TL000162,TR000162,DR0048,VH00013,2025-06-16,1391.2,23.52,64.5,103,7,5,83,60.1,62.3,False,3.5,False
TL000164,TR000164,DR0046,VH00022,2025-11-24,62.5,53.04,1.3,171,4,3,889,27.3,38.4,False,5.0,False
TL000167,TR000167,DR0018,VH00024,2023-11-01,40.7,102.72,0.4,132,0,0,802,3.1,59.0,False,3.5,False
TL000172,TR000172,DR0047,VH00091,2026-05-12,15.1,9.6,1.7,111,0,0,92,3.2,94.4,False,4.6,False
TL000174,TR000174,DR0015,VH00031,2024-04-18,398.3,7.92,54.9,123,9,9,109,75.5,49.4,False,4.5,False
TL000175,TR000175,DR0057,VH00020,2026-04-25,15.1,55.2,0.3,129,0,0,123,0.4,93.7,False,5.0,False
TL000176,TR000176,DR0052,VH00088,2022-05-26,1487.2,37.92,42.8,170,4,4,162,49.6,67.0,False,3.9,False
TL000183,TR000183,DR0027,VH00013,2025-02-01,387.8,8.88,47.6,118,2,2,70,22.7,84.7,False,3.4,False
TL000185,TR000185,DR0031,VH00073,2026-01-09,10.7,164.4,0.1,89,0,0,1779,1.5,10.6,False,2.9,True
TL000186,TR000186,DR0027,VH00025,2022-02-08,79.7,8.16,10.7,131,0,0,45,3.5,96.7,False,3.9,False
TL000187,TR000187,DR0046,VH00005,2025-08-26,42.6,754.08,0.1,115,3,2,9407,15.8,0.0,False,4.4,False
TL000188,TR000188,DR0054,VH00091,2024-01-09,51.7,11.52,4.9,108,0,0,74,5.0,94.8,False,4.5,False
TL000190,TR000190,DR0026,VH00114,2025-10-24,75.1,11.52,7.1,149,3,3,162,16.3,79.5,False,4.9,False
TL000193,TR000193,DR0009,VH00031,2026-01-11,245.1,765.12,0.3,111,0,0,2388,3.8,0.0,False,5.0,False
TL000198,TR000198,DR0027,VH00065,2022-04-10,65.1,50.4,1.4,153,0,0,397,6.1,78.3,False,4.2,False
TL000200,TR000200,DR0049,VH00107,2024-04-19,1406.6,4.32,355.2,135,11,17,18,67.5,45.3,False,4.0,False
TL000201,TR000201,DR0043,VH00004,2024-06-02,404.3,54.48,8.1,126,3,3,425,42.4,58.5,False,4.3,False
TL000204,TR000204,DR0010,VH00026,2024-08-11,67.1,9.6,7.6,107,0,0,34,2.9,97.4,False,3.6,False
TL000208,TR000208,DR0024,VH00015,2022-09-04,321.4,71.28,4.9,135,4,3,580,21.8,55.5,False,4.7,False
TL000210,TR000210,DR0036,VH00051,2024-08-02,78.4,153.36,0.6,99,1,1,1161,14.8,35.0,False,4.9,False
TL000211,TR000211,DR0059,VH00019,2023-03-07,1482.9,13.68,118.3,91,23,28,91,325.9,0.0,False,3.3,False
TL000213,TR000213,DR0019,VH00117,2022-12-05,23.1,8.88,2.8,147,0,0,219,4.5,87.7,False,5.0,False
TL000214,TR000214,DR0052,VH00071,2023-09-08,174.5,15.36,12.4,125,0,0,45,7.8,95.4,False,3.5,False
TL000215,TR000215,DR0033,VH00073,2024-11-09,323.1,61.2,5.8,101,5,4,495,37.2,52.6,False,4.8,False
TL000216,TR000216,DR0054,VH00024,2026-06-04,323.1,56.16,6.3,174,4,3,492,23.0,59.5,False,4.8,False
TL000218,TR000218,DR0058,VH00004,2026-01-15,386.7,54.24,7.8,168,6,5,399,44.7,52.6,False,4.4,False
TL000222,TR000222,DR0005,VH00069,2026-01-27,370.7,6.48,62.4,136,3,4,30,38.1,78.6,False,5.0,False
TL000224,TR000224,DR0059,VH00118,2025-10-07,43.0,114.24,0.4,128,0,0,930,5.1,52.0,False,3.6,False
TL000227,TR000227,DR0019,VH00071,2025-06-14,960.3,68.4,15.3,135,39,33,1081,313.7,0.0,False,4.2,False
TL000228,TR000228,DR0058,VH00037,2024-01-28,78.7,47.04,1.8,161,1,1,384,9.2,75.5,False,3.8,False
TL000230,TR000230,DR0052,VH00018,2023-11-25,57.1,22.8,2.7,100,0,0,101,2.3,94.3,False,3.7,False
TL000232,TR000232,DR0022,VH00065,2025-05-16,76.1,36.24,2.3,102,1,1,509,9.6,69.2,False,4.4,False
TL000235,TR000235,DR0058,VH00087,2026-01-09,75.8,28.56,2.9,117,1,1,201,12.2,83.8,False,4.4,False
TL000236,TR000236,DR0005,VH00084,2026-03-13,339.6,38.64,9.6,85,3,2,133,15.7,82.1,False,3.9,False
TL000237,TR000237,DR0033,VH00008,2025-03-16,73.2,68.16,1.2,165,1,1,601,7.9,65.1,False,4.1,False
TL000238,TR000238,DR0038,VH00057,2024-02-08,386.7,71.52,5.9,94,7,9,897,30.8,26.4,False,3.5,False
TL000244,TR000244,DR0040,VH00051,2025-07-04,386.7,63.6,6.6,121,6,7,720,78.3,24.5,False,4.2,False
TL000247,TR000247,DR0016,VH00065,2026-02-04,133.7,797.28,0.2,154,1,1,6076,7.9,0.0,False,4.1,False
TL000250,TR000250,DR0009,VH00114,2025-01-18,588.3,142.32,4.5,149,1,1,215,15.7,82.0,False,5.0,False
TL000251,TR000251,DR0035,VH00112,2026-06-29,71.9,136.56,0.6,140,3,2,3031,10.0,0.0,False,3.7,False
TL000253,TR000253,DR0033,VH00044,2024-01-06,15.7,7.2,2.4,139,0,0,53,1.5,96.9,False,3.6,False
TL000254,TR000254,DR0059,VH00048,2026-06-23,67.7,28.32,2.6,134,0,1,451,5.8,74.7,False,4.2,False
TL000256,TR000256,DR0016,VH00078,2024-02-19,1440.2,66.96,23.5,115,16,12,590,148.7,0.0,False,4.2,False
TL000257,TR000257,DR0020,VH00021,2025-08-01,15.1,19.44,0.8,129,0,0,275,2.6,85.5,False,3.4,False
TL000259,TR000259,DR0057,VH00088,2022-06-17,42.2,7.2,6.4,153,0,0,29,1.3,98.2,False,4.4,True
TL000261,TR000261,DR0009,VH00052,2024-06-18,404.3,59.28,7.4,161,1,2,196,13.1,82.8,False,3.8,False
TL000263,TR000263,DR0011,VH00064,2026-02-15,364.6,18.0,22.1,136,4,3,55,15.7,83.5,False,4.0,False
TL000264,TR000264,DR0033,VH00032,2022-08-14,543.0,9.84,60.2,147,8,8,110,101.9,43.9,False,5.0,False
TL000267,TR000267,DR0049,VH00018,2023-11-26,75.1,32.64,2.5,179,0,0,178,4.7,89.7,False,5.0,False
TL000268,TR000268,DR0003,VH00020,2022-01-27,39.4,36.24,1.2,97,2,2,961,14.4,42.6,False,3.3,False
TL000269,TR000269,DR0041,VH00068,2025-07-22,1468.7,14.16,113.2,120,14,13,96,109.1,28.5,False,5.0,False
TL000272,TR000272,DR0007,VH00078,2026-05-15,18.9,34.08,0.6,178,1,1,393,10.7,74.6,False,3.0,False
TL000276,TR000276,DR0057,VH00064,2022-06-25,70.1,19.68,3.9,104,0,0,66,2.4,96.0,False,4.4,False
TL000277,TR000277,DR0043,VH00107,2026-03-16,71.6,49.2,1.6,143,0,0,308,6.2,82.7,False,3.5,False
TL000278,TR000278,DR0007,VH00118,2026-02-03,1534.7,63.12,26.5,101,84,108,1725,789.4,0.0,False,3.7,False
TL000281,TR000281,DR0032,VH00013,2026-02-12,17.4,7.68,2.5,131,0,0,26,1.1,98.4,False,5.0,False
TL000282,TR000282,DR0051,VH00046,2024-04-01,63.9,26.16,2.7,141,1,0,180,11.0,86.2,False,4.2,False
TL000285,TR000285,DR0049,VH00111,2025-06-02,398.2,3.6,120.7,158,4,3,11,26.8,82.4,False,4.6,False
TL000289,TR000289,DR0037,VH00008,2022-08-21,900.7,10.56,93.0,161,22,15,155,125.5,6.6,False,4.8,False
TL000291,TR000291,DR0060,VH00037,2024-05-21,75.7,11.52,7.2,159,0,0,50,4.0,96.3,False,4.6,False
TL000292,TR000292,DR0027,VH00099,2026-03-28,370.2,35.28,11.4,179,3,4,206,28.6,72.6,False,4.4,False
TL000294,TR000294,DR0022,VH00069,2024-11-25,36.5,22.32,1.8,137,0,0,166,6.7,89.7,False,4.3,False
TL000295,TR000295,DR0055,VH00019,2023-06-13,325.8,7.68,46.3,179,5,5,119,61.0,63.2,False,5.0,False
TL000297,TR000297,DR0005,VH00017,2024-10-22,120.8,56.88,2.3,147,1,1,183,7.5,86.1,False,3.3,False
TL000300,TR000300,DR0010,VH00104,2026-04-20,66.8,735.12,0.1,109,0,0,5351,5.6,0.0,False,3.6,False
TL000301,TR000301,DR0011,VH00024,2023-03-03,386.7,9.6,43.9,128,3,3,30,20.6,84.8,False,4.5,False
TL000304,TR000304,DR0024,VH00025,2023-11-09,14.7,23.28,0.7,123,0,0,162,1.3,91.5,False,4.8,False
TL000305,TR000305,DR0049,VH00046,2023-12-10,375.6,8.64,47.4,155,4,3,36,29.1,80.5,False,3.6,False
TL000308,TR000308,DR0057,VH00110,2022-01-09,30.7,14.88,2.3,154,0,0,55,0.6,97.1,False,4.1,False
TL000309,TR000309,DR0016,VH00047,2022-12-05,66.8,14.4,5.1,83,0,0,46,6.0,95.9,False,5.0,False
TL000310,TR000310,DR0057,VH00016,2024-06-15,32.6,7.2,4.9,103,0,0,12,0.9,99.1,False,3.4,False
TL000311,TR000311,DR0044,VH00016,2025-12-20,768.9,50.64,16.6,154,19,17,794,76.5,0.0,False,4.3,False
TL000312,TR000312,DR0025,VH00069,2022-06-19,76.4,29.76,2.8,123,1,1,393,14.5,73.5,False,4.2,False
TL000314,TR000314,DR0054,VH00114,2025-08-26,66.9,65.76,1.1,124,0,0,580,5.9,69.2,False,4.3,False
TL000315,TR000315,DR0046,VH00102,2026-04-26,1552.0,38.64,43.8,171,86,86,1003,451.1,0.0,False,4.2,False
TL000317,TR000317,DR0022,VH00010,2025-05-23,24.3,44.64,0.6,121,0,0,406,2.3,79.0,False,4.2,False
TL000318,TR000318,DR0053,VH00032,2022-01-25,25.7,4.08,6.9,93,0,0,24,2.7,98.0,False,4.9,False
TL000319,TR000319,DR0038,VH00095,2026-01-26,12.4,11.52,1.2,152,0,0,166,1.1,91.4,False,3.8,False
TL000320,TR000320,DR0018,VH00071,2026-06-01,44.3,24.24,2.0,92,0,0,214,3.3,88.3,False,4.1,False
TL000322,TR000322,DR0038,VH00092,2023-06-17,51.1,29.04,1.9,108,0,1,233,8.5,84.8,False,4.3,False
TL000328,TR000328,DR0002,VH00037,2023-11-07,14.4,13.44,1.2,149,0,0,291,3.9,84.3,False,4.3,False
TL000329,TR000329,DR0020,VH00041,2022-08-08,1236.0,38.16,35.3,93,22,30,212,169.3,0.0,False,4.7,False
TL000330,TR000330,DR0012,VH00051,2022-11-13,62.4,6.96,9.8,146,1,2,174,15.3,83.2,False,4.4,False
TL000335,TR000335,DR0038,VH00047,2026-04-05,77.5,4.32,19.6,157,1,1,67,17.4,88.9,False,4.7,False
TL000338,TR000338,DR0035,VH00046,2025-04-09,936.4,41.28,24.7,111,46,32,1026,321.2,0.0,False,4.1,False
TL000340,TR000340,DR0038,VH00059,2025-04-25,375.9,6.24,65.7,118,5,6,83,51.3,67.0,False,3.7,False
TL000341,TR000341,DR0037,VH00118,2026-06-02,332.9,16.08,22.6,147,8,5,136,42.7,63.4,False,5.0,False
TL000347,TR000347,DR0009,VH00084,2025-10-23,51.4,17.52,3.2,114,0,0,38,1.3,97.7,False,3.3,False
TL000349,TR000349,DR0053,VH00094,2025-03-05,44.8,60.96,0.8,109,0,0,263,4.7,85.4,False,4.3,False
TL000353,TR000353,DR0021,VH00056,2024-08-05,25.4,39.84,0.7,93,0,0,519,4.0,72.8,False,4.2,False
TL000355,TR000355,DR0010,VH00023,2025-01-21,1420.5,49.44,31.3,92,17,14,162,60.1,34.4,False,4.3,False
TL000356,TR000356,DR0029,VH00073,2026-05-27,30.2,93.6,0.4,83,0,0,1123,4.7,42.4,False,3.5,False
TL000358,TR000358,DR0054,VH00008,2023-02-14,525.5,7.68,74.6,90,5,5,55,50.8,69.5,False,3.7,False
TL000364,TR000364,DR0009,VH00062,2024-12-16,53.2,28.56,2.0,118,0,0,76,1.2,95.8,False,3.5,True
TL000366,TR000366,DR0052,VH00062,2024-04-26,52.8,38.64,1.5,89,0,0,78,1.5,95.6,False,4.1,False
TL000369,TR000369,DR0047,VH00087,2024-10-14,190.7,18.0,11.6,163,4,4,258,28.8,68.5,False,4.6,False
TL000371,TR000371,DR0013,VH00018,2025-04-09,13.1,5.52,2.6,178,0,0,45,1.2,97.4,False,4.2,True
TL000374,TR000374,DR0052,VH00042,2023-08-22,381.5,9.84,42.3,179,1,1,16,7.3,94.5,False,4.0,False
TL000376,TR000376,DR0025,VH00092,2022-03-06,337.8,775.44,0.5,146,5,7,8486,42.4,0.0,False,4.1,False
TL000380,TR000380,DR0037,VH00087,2024-07-15,60.9,167.04,0.4,83,1,1,1595,9.5,14.9,False,4.3,False
TL000381,TR000381,DR0020,VH00024,2024-08-28,30.0,7.92,4.1,138,0,0,126,3.5,92.7,False,4.0,False
TL000384,TR000384,DR0043,VH00037,2023-05-15,58.8,14.16,4.5,169,0,0,75,5.1,94.7,False,4.0,False
TL000387,TR000387,DR0060,VH00039,2023-09-06,543.0,70.32,8.4,132,4,6,462,38.6,53.3,False,4.6,False
TL000388,TR000388,DR0029,VH00034,2025-04-01,66.3,163.68,0.4,91,1,1,1051,12.1,41.3,False,4.7,False
TL000396,TR000396,DR0016,VH00018,2022-08-20,68.8,111.84,0.7,98,0,0,468,3.3,75.6,False,3.8,False
TL000398,TR000398,DR0053,VH00112,2023-01-16,386.7,57.84,7.3,83,4,3,301,25.5,68.3,False,5.0,False
TL000401,TR000401,DR0056,VH00007,2024-08-18,69.1,736.08,0.1,161,0,0,2783,5.7,0.0,False,3.4,False
TL000406,TR000406,DR0060,VH00015,2022-08-15,52.4,8.4,6.8,82,0,0,40,4.0,96.8,False,4.9,False
TL000407,TR000407,DR0043,VH00004,2023-06-23,72.2,156.24,0.5,89,0,0,726,7.4,61.5,False,4.3,False
TL000408,TR000408,DR0026,VH00036,2022-06-25,60.4,3.6,18.3,94,2,1,77,15.7,87.4,False,4.3,False
TL000409,TR000409,DR0031,VH00053,2022-06-09,1285.0,36.72,38.2,98,28,25,396,110.7,0.0,False,4.1,False
TL000412,TR000412,DR0054,VH00037,2023-01-19,56.4,46.56,1.3,86,0,0,332,2.5,82.7,False,3.8,False
TL000414,TR000414,DR0008,VH00057,2025-08-02,26.8,742.32,0.0,141,0,0,12020,3.6,0.0,False,4.3,False
TL000416,TR000416,DR0041,VH00106,2026-05-27,24.8,228.0,0.1,158,0,0,1553,2.5,21.6,False,3.9,False
TL000418,TR000418,DR0016,VH00053,2023-08-06,48.9,59.76,0.9,121,0,0,485,4.4,74.4,False,4.2,False
TL000419,TR000419,DR0008,VH00028,2026-01-06,66.2,21.12,3.4,156,1,1,299,9.0,79.8,False,5.0,True
TL000422,TR000422,DR0018,VH00102,2024-02-10,1440.2,56.4,27.9,136,13,12,418,111.2,14.2,False,3.8,False
TL000423,TR000423,DR0028,VH00007,2025-10-16,53.5,158.16,0.4,96,0,0,1278,3.2,35.1,False,4.9,False
TL000424,TR000424,DR0016,VH00026,2024-08-21,245.1,16.8,15.9,85,1,2,111,15.3,86.4,False,4.7,False
TL000425,TR000425,DR0047,VH00071,2023-07-08,24.6,34.08,0.8,98,0,0,461,4.5,75.6,False,4.3,True
TL000427,TR000427,DR0026,VH00063,2025-04-07,20.5,10.32,2.2,168,0,0,239,6.6,86.1,False,3.8,False
TL000429,TR000429,DR0028,VH00063,2026-06-14,337.8,54.0,6.8,148,2,2,446,30.3,63.6,False,2.9,False
TL000430,TR000430,DR0042,VH00091,2026-03-11,376.1,11.52,35.6,81,3,4,87,35.7,76.4,False,3.9,False
TL000433,TR000433,DR0053,VH00088,2025-06-28,396.1,5.28,81.8,160,3,3,30,40.9,78.7,False,3.7,False
TL000434,TR000434,DR0003,VH00080,2024-08-15,64.4,23.28,3.0,92,3,3,651,34.0,49.8,False,3.5,False
TL000435,TR000435,DR0048,VH00063,2025-05-03,364.6,25.2,15.8,81,1,1,49,9.0,92.3,False,3.8,False
TL000437,TR000437,DR0028,VH00019,2023-08-25,79.5,199.92,0.4,114,0,0,707,7.4,62.4,False,3.5,False
TL000441,TR000441,DR0017,VH00041,2024-08-23,342.9,210.96,1.8,164,6,5,1326,71.7,0.0,False,4.7,False
TL000445,TR000445,DR0002,VH00036,2025-07-17,900.7,12.0,81.9,105,42,38,166,228.3,0.0,False,3.8,False
TL000450,TR000450,DR0019,VH00087,2025-02-19,1488.8,34.56,47.0,144,52,47,518,249.3,0.0,False,5.0,False
TL000452,TR000452,DR0026,VH00074,2026-05-24,245.1,12.96,20.6,98,7,6,152,64.4,56.6,False,5.0,False
TL000453,TR000453,DR0055,VH00015,2024-03-21,15.6,29.28,0.6,118,0,0,224,1.8,88.3,False,4.5,False
TL000454,TR000454,DR0048,VH00063,2024-09-11,38.0,9.36,4.4,124,0,0,40,1.4,97.6,False,3.9,False
TL000458,TR000458,DR0022,VH00068,2023-06-07,14.8,67.44,0.2,162,0,0,742,1.2,62.5,False,4.2,False
TL000459,TR000459,DR0021,VH00081,2024-08-02,404.3,36.48,12.1,94,7,9,506,74.9,32.7,False,3.6,False
TL000460,TR000460,DR0058,VH00080,2024-10-09,43.3,40.56,1.2,82,0,0,366,4.6,80.3,False,4.5,False
TL000461,TR000461,DR0005,VH00092,2023-05-04,77.6,41.04,2.1,131,0,0,202,7.7,87.6,False,4.5,False
TL000462,TR000462,DR0028,VH00007,2023-01-02,60.7,11.04,6.0,84,0,0,48,2.8,96.8,False,3.2,False
TL000464,TR000464,DR0041,VH00023,2024-04-03,76.3,7.68,10.8,139,0,0,28,7.8,96.3,False,3.2,False
TL000469,TR000469,DR0044,VH00114,2022-04-19,10.7,52.56,0.2,176,0,0,539,1.1,72.7,False,2.8,False
TL000471,TR000471,DR0027,VH00013,2024-04-03,74.0,92.88,0.9,81,0,0,767,4.8,60.2,False,4.3,False
TL000472,TR000472,DR0028,VH00056,2025-07-28,51.2,168.72,0.3,81,0,0,651,5.4,65.8,False,3.8,False
TL000473,TR000473,DR0035,VH00016,2022-03-08,369.7,62.16,6.5,153,13,14,1047,71.9,0.0,False,4.6,False
