expense_id,fleet_id,expense_month,category,amount_pkr,description,approved_by
EX0000038,FL004,2022-01-01,Miscellaneous,55768.0,Miscellaneous for January 2022,Fleet Manager
EX0000039,FL004,2022-01-01,Communication,27803.0,Communication for January 2022,Fleet Manager
EX0000040,FL004,2022-01-01,Parking / Garage,86914.0,Parking / Garage for January 2022,Fleet Manager
EX0000041,FL001,2022-02-01,Staff Salaries,622473.0,Staff Salaries for February 2022,Fleet Manager
EX0000042,FL001,2022-02-01,Driver Salaries,521279.0,Driver Salaries for February 2022,Fleet Manager
EX0000043,FL001,2022-02-01,Office Rent,100699.0,Office Rent for February 2022,Fleet Manager
EX0000044,FL001,2022-02-01,Utilities,19517.0,Utilities for February 2022,Fleet Manager
EX0000045,FL001,2022-02-01,Marketing,49177.0,Marketing for February 2022,Fleet Manager
EX0000046,FL001,2022-02-01,Insurance Premium,78542.0,Insurance Premium for February 2022,Fleet Manager
EX0000047,FL001,2022-02-01,Depreciation,84091.0,Depreciation for February 2022,Fleet Manager
EX0000048,FL001,2022-02-01,Miscellaneous,55065.0,Miscellaneous for February 2022,Fleet Manager
EX0000049,FL001,2022-02-01,Communication,27350.0,Communication for February 2022,Fleet Manager
EX0000050,FL001,2022-02-01,Parking / Garage,61459.0,Parking / Garage for February 2022,Fleet Manager
EX0000051,FL002,2022-02-01,Staff Salaries,504132.0,Staff Salaries for February 2022,Fleet Manager
EX0000052,FL002,2022-02-01,Driver Salaries,833528.0,Driver Salaries for February 2022,Fleet Manager
EX0000053,FL002,2022-02-01,Office Rent,124992.0,Office Rent for February 2022,Fleet Manager
EX0000054,FL002,2022-02-01,Utilities,31474.0,Utilities for February 2022,Fleet Manager
EX0000055,FL002,2022-02-01,Marketing,48741.0,Marketing for February 2022,Fleet Manager
EX0000056,FL002,2022-02-01,Insurance Premium,87434.0,Insurance Premium for February 2022,Fleet Manager
EX0000057,FL002,2022-02-01,Depreciation,91417.0,Depreciation for February 2022,Fleet Manager
EX0000058,FL002,2022-02-01,Miscellaneous,54569.0,Miscellaneous for February 2022,Fleet Manager
EX0000059,FL002,2022-02-01,Communication,29274.0,Communication for February 2022,Fleet Manager
EX0000060,FL002,2022-02-01,Parking / Garage,82368.0,Parking / Garage for February 2022,Fleet Manager
EX0000061,FL003,2022-02-01,Staff Salaries,598204.0,Staff Salaries for February 2022,Fleet Manager
EX0000062,FL003,2022-02-01,Driver Salaries,883147.0,Driver Salaries for February 2022,Fleet Manager
EX0000063,FL003,2022-02-01,Office Rent,111625.0,Office Rent for February 2022,Fleet Manager
EX0000064,FL003,2022-02-01,Utilities,31163.0,Utilities for February 2022,Fleet Manager
EX0000065,FL003,2022-02-01,Marketing,62793.0,Marketing for February 2022,Fleet Manager
EX0000066,FL003,2022-02-01,Insurance Premium,96923.0,Insurance Premium for February 2022,Fleet Manager
EX0000067,FL003,2022-02-01,Depreciation,107284.0,Depreciation for February 2022,Fleet Manager
EX0000068,FL003,2022-02-01,Miscellaneous,59311.0,Miscellaneous for February 2022,Fleet Manager
EX0000069,FL003,2022-02-01,Communication,31030.0,Communication for February 2022,Fleet Manager
EX0000070,FL003,2022-02-01,Parking / Garage,92159.0,Parking / Garage for February 2022,Fleet Manager
EX0000071,FL004,2022-02-01,Staff Salaries,438069.0,Staff Salaries for February 2022,Fleet Manager
EX0000072,FL004,2022-02-01,Driver Salaries,908325.0,Driver Salaries for February 2022,Fleet Manager
EX0000073,FL004,2022-02-01,Office Rent,91077.0,Office Rent for February 2022,Fleet Manager
EX0000074,FL004,2022-02-01,Utilities,31473.0,Utilities for February 2022,Fleet Manager
EX0000075,FL004,2022-02-01,Marketing,62469.0,Marketing for February 2022,Fleet Manager
EX0000076,FL004,2022-02-01,Insurance Premium,71545.0,Insurance Premium for February 2022,Fleet Manager
EX0000077,FL004,2022-02-01,Depreciation,100340.0,Depreciation for February 2022,Fleet Manager
EX0000078,FL004,2022-02-01,Miscellaneous,53636.0,Miscellaneous for February 2022,Fleet Manager
EX0000079,FL004,2022-02-01,Communication,27592.0,Communication for February 2022,Fleet Manager
EX0000080,FL004,2022-02-01,Parking / Garage,98460.0,Parking / Garage for February 2022,Fleet Manager
EX0000081,FL001,2022-03-01,Staff Salaries,602511.0,Staff Salaries for March 2022,Fleet Manager
EX0000082,FL001,2022-03-01,Driver Salaries,549337.0,Driver Salaries for March 2022,Fleet Manager
EX0000083,FL001,2022-03-01,Office Rent,98982.0,Office Rent for March 2022,Fleet Manager
EX0000084,FL001,2022-03-01,Utilities,24795.0,Utilities for March 2022,Fleet Manager
EX0000085,FL001,2022-03-01,Marketing,43125.0,Marketing for March 2022,Fleet Manager
EX0000086,FL001,2022-03-01,Insurance Premium,62471.0,Insurance Premium for March 2022,Fleet Manager
EX0000087,FL001,2022-03-01,Depreciation,81659.0,Depreciation for March 2022,Fleet Manager
EX0000088,FL001,2022-03-01,Miscellaneous,43407.0,Miscellaneous for March 2022,Fleet Manager
EX0000089,FL001,2022-03-01,Communication,25827.0,Communication for March 2022,Fleet Manager
EX0000090,FL001,2022-03-01,Parking / Garage,59516.0,Parking / Garage for March 2022,Fleet Manager
EX0000091,FL002,2022-03-01,Staff Salaries,481924.0,Staff Salaries for March 2022,Fleet Manager
EX0000092,FL002,2022-03-01,Driver Salaries,831276.0,Driver Salaries for March 2022,Fleet Manager
EX0000093,FL002,2022-03-01,Office Rent,88622.0,Office Rent for March 2022,Fleet Manager
EX0000094,FL002,2022-03-01,Utilities,30522.0,Utilities for March 2022,Fleet Manager
EX0000095,FL002,2022-03-01,Marketing,60930.0,Marketing for March 2022,Fleet Manager
EX0000096,FL002,2022-03-01,Insurance Premium,85793.0,Insurance Premium for March 2022,Fleet Manager
EX0000097,FL002,2022-03-01,Depreciation,93085.0,Depreciation for March 2022,Fleet Manager
EX0000098,FL002,2022-03-01,Miscellaneous,62492.0,Miscellaneous for March 2022,Fleet Manager
EX0000099,FL002,2022-03-01,Communication,28665.0,Communication for March 2022,Fleet Manager
EX0000100,FL002,2022-03-01,Parking / Garage,77562.0,Parking / Garage for March 2022,Fleet Manager
EX0000101,FL003,2022-03-01,Staff Salaries,650142.0,Staff Salaries for March 2022,Fleet Manager
EX0000102,FL003,2022-03-01,Driver Salaries,885837.0,Driver Salaries for March 2022,Fleet Manager
EX0000103,FL003,2022-03-01,Office Rent,130854.0,Office Rent for March 2022,Fleet Manager
EX0000104,FL003,2022-03-01,Utilities,27463.0,Utilities for March 2022,Fleet Manager
EX0000105,FL003,2022-03-01,Marketing,52511.0,Marketing for March 2022,Fleet Manager
EX0000106,FL003,2022-03-01,Insurance Premium,76071.0,Insurance Premium for March 2022,Fleet Manager
EX0000107,FL003,2022-03-01,Depreciation,116603.0,Depreciation for March 2022,Fleet Manager
EX0000108,FL003,2022-03-01,Miscellaneous,50716.0,Miscellaneous for March 2022,Fleet Manager
EX0000109,FL003,2022-03-01,Communication,32440.0,Communication for March 2022,Fleet Manager
EX0000110,FL003,2022-03-01,Parking / Garage,75053.0,Parking / Garage for March 2022,Fleet Manager
EX0000111,FL004,2022-03-01,Staff Salaries,431620.0,Staff Salaries for March 2022,Fleet Manager
EX0000112,FL004,2022-03-01,Driver Salaries,944446.0,Driver Salaries for March 2022,Fleet Manager
EX0000113,FL004,2022-03-01,Office Rent,133104.0,Office Rent for March 2022,Fleet Manager
EX0000114,FL004,2022-03-01,Utilities,24612.0,Utilities for March 2022,Fleet Manager
EX0000115,FL004,2022-03-01,Marketing,51628.0,Marketing for March 2022,Fleet Manager
EX0000116,FL004,2022-03-01,Insurance Premium,94966.0,Insurance Premium for March 2022,Fleet Manager
EX0000117,FL004,2022-03-01,Depreciation,125140.0,Depreciation for March 2022,Fleet Manager
EX0000118,FL004,2022-03-01,Miscellaneous,52995.0,Miscellaneous for March 2022,Fleet Manager
EX0000119,FL004,2022-03-01,Communication,28729.0,Communication for March 2022,Fleet Manager
EX0000120,FL004,2022-03-01,Parking / Garage,71429.0,Parking / Garage for March 2022,Fleet Manager
EX0000121,FL001,2022-04-01,Staff Salaries,614984.0,Staff Salaries for April 2022,Fleet Manager
EX0000122,FL001,2022-04-01,Driver Salaries,556241.0,Driver Salaries for April 2022,Fleet Manager
EX0000123,FL001,2022-04-01,Office Rent,78032.0,Office Rent for April 2022,Fleet Manager
EX0000124,FL001,2022-04-01,Utilities,18558.0,Utilities for April 2022,Fleet Manager
EX0000125,FL001,2022-04-01,Marketing,48260.0,Marketing for April 2022,Fleet Manager
EX0000126,FL001,2022-04-01,Insurance Premium,66940.0,Insurance Premium for April 2022,Fleet Manager
EX0000127,FL001,2022-04-01,Depreciation,108961.0,Depreciation for April 2022,Fleet Manager
EX0000128,FL001,2022-04-01,Miscellaneous,42896.0,Miscellaneous for April 2022,Fleet Manager
EX0000129,FL001,2022-04-01,Communication,18408.0,Communication for April 2022,Fleet Manager
EX0000130,FL001,2022-04-01,Parking / Garage,56957.0,Parking / Garage for April 2022,Fleet Manager
EX0000131,FL002,2022-04-01,Staff Salaries,504740.0,Staff Salaries for April 2022,Fleet Manager
EX0000132,FL002,2022-04-01,Driver Salaries,844182.0,Driver Salaries for April 2022,Fleet Manager
EX0000133,FL002,2022-04-01,Office Rent,111238.0,Office Rent for April 2022,Fleet Manager
EX0000134,FL002,2022-04-01,Utilities,23325.0,Utilities for April 2022,Fleet Manager
EX0000135,FL002,2022-04-01,Marketing,49183.0,Marketing for April 2022,Fleet Manager
EX0000136,FL002,2022-04-01,Insurance Premium,82029.0,Insurance Premium for April 2022,Fleet Manager
EX0000137,FL002,2022-04-01,Depreciation,98424.0,Depreciation for April 2022,Fleet Manager
EX0000138,FL002,2022-04-01,Miscellaneous,49068.0,Miscellaneous for April 2022,Fleet Manager
EX0000139,FL002,2022-04-01,Communication,31382.0,Communication for April 2022,Fleet Manager
EX0000140,FL002,2022-04-01,Parking / Garage,78181.0,Parking / Garage for April 2022,Fleet Manager
EX0000141,FL003,2022-04-01,Staff Salaries,636792.0,Staff Salaries for April 2022,Fleet Manager
EX0000142,FL003,2022-04-01,Driver Salaries,850667.0,Driver Salaries for April 2022,Fleet Manager
EX0000143,FL003,2022-04-01,Office Rent,138412.0,Office Rent for April 2022,Fleet Manager
EX0000144,FL003,2022-04-01,Utilities,29089.0,Utilities for April 2022,Fleet Manager
EX0000145,FL003,2022-04-01,Marketing,57462.0,Marketing for April 2022,Fleet Manager
EX0000146,FL003,2022-04-01,Insurance Premium,96358.0,Insurance Premium for April 2022,Fleet Manager
EX0000147,FL003,2022-04-01,Depreciation,107059.0,Depreciation for April 2022,Fleet Manager
EX0000148,FL003,2022-04-01,Miscellaneous,52104.0,Miscellaneous for April 2022,Fleet Manager
EX0000149,FL003,2022-04-01,Communication,24090.0,Communication for April 2022,Fleet Manager
EX0000150,FL003,2022-04-01,Parking / Garage,88331.0,Parking / Garage for April 2022,Fleet Manager
EX0000151,FL004,2022-04-01,Staff Salaries,458608.0,Staff Salaries for April 2022,Fleet Manager
EX0000152,FL004,2022-04-01,Driver Salaries,930550.0,Driver Salaries for April 2022,Fleet Manager
EX0000153,FL004,2022-04-01,Office Rent,133999.0,Office Rent for April 2022,Fleet Manager
EX0000154,FL004,2022-04-01,Utilities,29604.0,Utilities for April 2022,Fleet Manager
EX0000155,FL004,2022-04-01,Marketing,56081.0,Marketing for April 2022,Fleet Manager
EX0000156,FL004,2022-04-01,Insurance Premium,97528.0,Insurance Premium for April 2022,Fleet Manager
EX0000157,FL004,2022-04-01,Depreciation,98423.0,Depreciation for April 2022,Fleet Manager
EX0000158,FL004,2022-04-01,Miscellaneous,61577.0,Miscellaneous for April 2022,Fleet Manager
EX0000159,FL004,2022-04-01,Communication,28752.0,Communication for April 2022,Fleet Manager
EX0000160,FL004,2022-04-01,Parking / Garage,97655.0,Parking / Garage for April 2022,Fleet Manager
EX0000161,FL001,2022-05-01,Staff Salaries,621408.0,Staff Salaries for May 2022,Fleet Manager
EX0000162,FL001,2022-05-01,Driver Salaries,549781.0,Driver Salaries for May 2022,Fleet Manager
EX0000163,FL001,2022-05-01,Office Rent,78057.0,Office Rent for May 2022,Fleet Manager
EX0000164,FL001,2022-05-01,Utilities,20006.0,Utilities for May 2022,Fleet Manager
EX0000165,FL001,2022-05-01,Marketing,39260.0,Marketing for May 2022,Fleet Manager
EX0000166,FL001,2022-05-01,Insurance Premium,69013.0,Insurance Premium for May 2022,Fleet Manager
EX0000167,FL001,2022-05-01,Depreciation,82144.0,Depreciation for May 2022,Fleet Manager
EX0000168,FL001,2022-05-01,Miscellaneous,39192.0,Miscellaneous for May 2022,Fleet Manager
EX0000169,FL001,2022-05-01,Communication,23931.0,Communication for May 2022,Fleet Manager
EX0000170,FL001,2022-05-01,Parking / Garage,59630.0,Parking / Garage for May 2022,Fleet Manager
EX0000171,FL002,2022-05-01,Staff Salaries,492744.0,Staff Salaries for May 2022,Fleet Manager
EX0000172,FL002,2022-05-01,Driver Salaries,806028.0,Driver Salaries for May 2022,Fleet Manager
EX0000173,FL002,2022-05-01,Office Rent,123249.0,Office Rent for May 2022,Fleet Manager
EX0000174,FL002,2022-05-01,Utilities,21725.0,Utilities for May 2022,Fleet Manager
EX0000175,FL002,2022-05-01,Marketing,46359.0,Marketing for May 2022,Fleet Manager
EX0000176,FL002,2022-05-01,Insurance Premium,81739.0,Insurance Premium for May 2022,Fleet Manager
EX0000177,FL002,2022-05-01,Depreciation,119838.0,Depreciation for May 2022,Fleet Manager
EX0000178,FL002,2022-05-01,Miscellaneous,58882.0,Miscellaneous for May 2022,Fleet Manager
EX0000179,FL002,2022-05-01,Communication,29758.0,Communication for May 2022,Fleet Manager
EX0000180,FL002,2022-05-01,Parking / Garage,68302.0,Parking / Garage for May 2022,Fleet Manager
EX0000181,FL003,2022-05-01,Staff Salaries,602440.0,Staff Salaries for May 2022,Fleet Manager
EX0000182,FL003,2022-05-01,Driver Salaries,853335.0,Driver Salaries for May 2022,Fleet Manager
EX0000183,FL003,2022-05-01,Office Rent,111536.0,Office Rent for May 2022,Fleet Manager
EX0000184,FL003,2022-05-01,Utilities,29477.0,Utilities for May 2022,Fleet Manager
EX0000185,FL003,2022-05-01,Marketing,55800.0,Marketing for May 2022,Fleet Manager
EX0000186,FL003,2022-05-01,Insurance Premium,105289.0,Insurance Premium for May 2022,Fleet Manager
EX0000187,FL003,2022-05-01,Depreciation,108368.0,Depreciation for May 2022,Fleet Manager
EX0000188,FL003,2022-05-01,Miscellaneous,68381.0,Miscellaneous for May 2022,Fleet Manager
EX0000189,FL003,2022-05-01,Communication,23603.0,Communication for May 2022,Fleet Manager
EX0000190,FL003,2022-05-01,Parking / Garage,96912.0,Parking / Garage for May 2022,Fleet Manager
EX0000191,FL004,2022-05-01,Staff Salaries,449911.0,Staff Salaries for May 2022,Fleet Manager
EX0000192,FL004,2022-05-01,Driver Salaries,975666.0,Driver Salaries for May 2022,Fleet Manager
EX0000193,FL004,2022-05-01,Office Rent,94480.0,Office Rent for May 2022,Fleet Manager
EX0000194,FL004,2022-05-01,Utilities,29309.0,Utilities for May 2022,Fleet Manager
EX0000195,FL004,2022-05-01,Marketing,53512.0,Marketing for May 2022,Fleet Manager
EX0000196,FL004,2022-05-01,Insurance Premium,69438.0,Insurance Premium for May 2022,Fleet Manager
EX0000197,FL004,2022-05-01,Depreciation,118256.0,Depreciation for May 2022,Fleet Manager
EX0000198,FL004,2022-05-01,Miscellaneous,51818.0,Miscellaneous for May 2022,Fleet Manager
EX0000199,FL004,2022-05-01,Communication,32772.0,Communication for May 2022,Fleet Manager
EX0000200,FL004,2022-05-01,Parking / Garage,76390.0,Parking / Garage for May 2022,Fleet Manager
EX0000201,FL001,2022-06-01,Staff Salaries,606083.0,Staff Salaries for June 2022,Fleet Manager
EX0000202,FL001,2022-06-01,Driver Salaries,555187.0,Driver Salaries for June 2022,Fleet Manager
EX0000203,FL001,2022-06-01,Office Rent,108944.0,Office Rent for June 2022,Fleet Manager
EX0000204,FL001,2022-06-01,Utilities,24616.0,Utilities for June 2022,Fleet Manager
EX0000205,FL001,2022-06-01,Marketing,40295.0,Marketing for June 2022,Fleet Manager
EX0000206,FL001,2022-06-01,Insurance Premium,57984.0,Insurance Premium for June 2022,Fleet Manager
EX0000207,FL001,2022-06-01,Depreciation,87913.0,Depreciation for June 2022,Fleet Manager
EX0000208,FL001,2022-06-01,Miscellaneous,40816.0,Miscellaneous for June 2022,Fleet Manager
EX0000209,FL001,2022-06-01,Communication,23459.0,Communication for June 2022,Fleet Manager
EX0000210,FL001,2022-06-01,Parking / Garage,68737.0,Parking / Garage for June 2022,Fleet Manager
EX0000211,FL002,2022-06-01,Staff Salaries,495464.0,Staff Salaries for June 2022,Fleet Manager
EX0000212,FL002,2022-06-01,Driver Salaries,812160.0,Driver Salaries for June 2022,Fleet Manager
EX0000213,FL002,2022-06-01,Office Rent,127365.0,Office Rent for June 2022,Fleet Manager
EX0000214,FL002,2022-06-01,Utilities,28632.0,Utilities for June 2022,Fleet Manager
EX0000215,FL002,2022-06-01,Marketing,57046.0,Marketing for June 2022,Fleet Manager
EX0000216,FL002,2022-06-01,Insurance Premium,88101.0,Insurance Premium for June 2022,Fleet Manager
EX0000217,FL002,2022-06-01,Depreciation,89254.0,Depreciation for June 2022,Fleet Manager
EX0000218,FL002,2022-06-01,Miscellaneous,53919.0,Miscellaneous for June 2022,Fleet Manager
EX0000219,FL002,2022-06-01,Communication,22034.0,Communication for June 2022,Fleet Manager
EX0000220,FL002,2022-06-01,Parking / Garage,77047.0,Parking / Garage for June 2022,Fleet Manager
EX0000221,FL003,2022-06-01,Staff Salaries,635923.0,Staff Salaries for June 2022,Fleet Manager
EX0000222,FL003,2022-06-01,Driver Salaries,873792.0,Driver Salaries for June 2022,Fleet Manager
EX0000223,FL003,2022-06-01,Office Rent,138914.0,Office Rent for June 2022,Fleet Manager
EX0000224,FL003,2022-06-01,Utilities,27280.0,Utilities for June 2022,Fleet Manager
EX0000225,FL003,2022-06-01,Marketing,55216.0,Marketing for June 2022,Fleet Manager
EX0000226,FL003,2022-06-01,Insurance Premium,85006.0,Insurance Premium for June 2022,Fleet Manager
EX0000227,FL003,2022-06-01,Depreciation,135442.0,Depreciation for June 2022,Fleet Manager
EX0000228,FL003,2022-06-01,Miscellaneous,47882.0,Miscellaneous for June 2022,Fleet Manager
EX0000229,FL003,2022-06-01,Communication,25167.0,Communication for June 2022,Fleet Manager
EX0000230,FL003,2022-06-01,Parking / Garage,84540.0,Parking / Garage for June 2022,Fleet Manager
EX0000231,FL004,2022-06-01,Staff Salaries,434670.0,Staff Salaries for June 2022,Fleet Manager
EX0000232,FL004,2022-06-01,Driver Salaries,907055.0,Driver Salaries for June 2022,Fleet Manager
EX0000233,FL004,2022-06-01,Office Rent,122528.0,Office Rent for June 2022,Fleet Manager
EX0000234,FL004,2022-06-01,Utilities,22951.0,Utilities for June 2022,Fleet Manager
EX0000235,FL004,2022-06-01,Marketing,54668.0,Marketing for June 2022,Fleet Manager
EX0000236,FL004,2022-06-01,Insurance Premium,74007.0,Insurance Premium for June 2022,Fleet Manager
EX0000237,FL004,2022-06-01,Depreciation,114389.0,Depreciation for June 2022,Fleet Manager
EX0000238,FL004,2022-06-01,Miscellaneous,56908.0,Miscellaneous for June 2022,Fleet Manager
EX0000239,FL004,2022-06-01,Communication,32138.0,Communication for June 2022,Fleet Manager
EX0000240,FL004,2022-06-01,Parking / Garage,87383.0,Parking / Garage for June 2022,Fleet Manager
EX0000241,FL001,2022-07-01,Staff Salaries,582709.0,Staff Salaries for July 2022,Fleet Manager
EX0000242,FL001,2022-07-01,Driver Salaries,551262.0,Driver Salaries for July 2022,Fleet Manager
EX0000243,FL001,2022-07-01,Office Rent,97233.0,Office Rent for July 2022,Fleet Manager
EX0000244,FL001,2022-07-01,Utilities,20027.0,Utilities for July 2022,Fleet Manager
EX0000245,FL001,2022-07-01,Marketing,52284.0,Marketing for July 2022,Fleet Manager
EX0000246,FL001,2022-07-01,Insurance Premium,60771.0,Insurance Premium for July 2022,Fleet Manager
EX0000247,FL001,2022-07-01,Depreciation,90331.0,Depreciation for July 2022,Fleet Manager
EX0000248,FL001,2022-07-01,Miscellaneous,52207.0,Miscellaneous for July 2022,Fleet Manager
EX0000249,FL001,2022-07-01,Communication,22806.0,Communication for July 2022,Fleet Manager
EX0000250,FL001,2022-07-01,Parking / Garage,66759.0,Parking / Garage for July 2022,Fleet Manager
EX0000251,FL002,2022-07-01,Staff Salaries,497360.0,Staff Salaries for July 2022,Fleet Manager
EX0000252,FL002,2022-07-01,Driver Salaries,857566.0,Driver Salaries for July 2022,Fleet Manager
EX0000253,FL002,2022-07-01,Office Rent,118972.0,Office Rent for July 2022,Fleet Manager
EX0000254,FL002,2022-07-01,Utilities,27519.0,Utilities for July 2022,Fleet Manager
EX0000255,FL002,2022-07-01,Marketing,55851.0,Marketing for July 2022,Fleet Manager
EX0000256,FL002,2022-07-01,Insurance Premium,83578.0,Insurance Premium for July 2022,Fleet Manager
EX0000257,FL002,2022-07-01,Depreciation,126087.0,Depreciation for July 2022,Fleet Manager
EX0000258,FL002,2022-07-01,Miscellaneous,54816.0,Miscellaneous for July 2022,Fleet Manager
EX0000259,FL002,2022-07-01,Communication,22451.0,Communication for July 2022,Fleet Manager
EX0000260,FL002,2022-07-01,Parking / Garage,89190.0,Parking / Garage for July 2022,Fleet Manager
EX0000261,FL003,2022-07-01,Staff Salaries,596843.0,Staff Salaries for July 2022,Fleet Manager
EX0000262,FL003,2022-07-01,Driver Salaries,831914.0,Driver Salaries for July 2022,Fleet Manager
EX0000263,FL003,2022-07-01,Office Rent,119008.0,Office Rent for July 2022,Fleet Manager
EX0000264,FL003,2022-07-01,Utilities,29082.0,Utilities for July 2022,Fleet Manager
EX0000265,FL003,2022-07-01,Marketing,68361.0,Marketing for July 2022,Fleet Manager
EX0000266,FL003,2022-07-01,Insurance Premium,79134.0,Insurance Premium for July 2022,Fleet Manager
EX0000267,FL003,2022-07-01,Depreciation,128338.0,Depreciation for July 2022,Fleet Manager
EX0000268,FL003,2022-07-01,Miscellaneous,59692.0,Miscellaneous for July 2022,Fleet Manager
EX0000269,FL003,2022-07-01,Communication,28734.0,Communication for July 2022,Fleet Manager
EX0000270,FL003,2022-07-01,Parking / Garage,79987.0,Parking / Garage for July 2022,Fleet Manager
EX0000271,FL004,2022-07-01,Staff Salaries,445423.0,Staff Salaries for July 2022,Fleet Manager
EX0000272,FL004,2022-07-01,Driver Salaries,971467.0,Driver Salaries for July 2022,Fleet Manager
EX0000273,FL004,2022-07-01,Office Rent,90091.0,Office Rent for July 2022,Fleet Manager
EX0000274,FL004,2022-07-01,Utilities,30562.0,Utilities for July 2022,Fleet Manager
EX0000275,FL004,2022-07-01,Marketing,59806.0,Marketing for July 2022,Fleet Manager
EX0000276,FL004,2022-07-01,Insurance Premium,77510.0,Insurance Premium for July 2022,Fleet Manager
EX0000277,FL004,2022-07-01,Depreciation,117578.0,Depreciation for July 2022,Fleet Manager
EX0000278,FL004,2022-07-01,Miscellaneous,63349.0,Miscellaneous for July 2022,Fleet Manager
EX0000279,FL004,2022-07-01,Communication,26225.0,Communication for July 2022,Fleet Manager
EX0000280,FL004,2022-07-01,Parking / Garage,95577.0,Parking / Garage for July 2022,Fleet Manager
EX0000281,FL001,2022-08-01,Staff Salaries,618180.0,Staff Salaries for August 2022,Fleet Manager
EX0000282,FL001,2022-08-01,Driver Salaries,543080.0,Driver Salaries for August 2022,Fleet Manager
EX0000283,FL001,2022-08-01,Office Rent,98183.0,Office Rent for August 2022,Fleet Manager
EX0000284,FL001,2022-08-01,Utilities,20435.0,Utilities for August 2022,Fleet Manager
EX0000285,FL001,2022-08-01,Marketing,53823.0,Marketing for August 2022,Fleet Manager
EX0000286,FL001,2022-08-01,Insurance Premium,77968.0,Insurance Premium for August 2022,Fleet Manager
EX0000287,FL001,2022-08-01,Depreciation,108091.0,Depreciation for August 2022,Fleet Manager
EX0000288,FL001,2022-08-01,Miscellaneous,41049.0,Miscellaneous for August 2022,Fleet Manager
EX0000289,FL001,2022-08-01,Communication,21090.0,Communication for August 2022,Fleet Manager
