trip_id,fleet_id,vehicle_id,driver_id,customer_id,booking_type,booking_datetime,pickup_datetime,dropoff_datetime,duration_days,pickup_city,dropoff_city,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,distance_km,trip_fare_pkr,driver_allowance_pkr,with_driver,self_drive,status,cancellation_reason
TR000027,FL001,VH00025,DR0017,CU00652,Airport Transfer,2023-12-15 17:57:00,2023-12-15 19:36:00,2023-12-16 02:33:36,0.29,Karachi,Lahore,24.852504,67.006368,31.52179,74.369485,1290.9,50014.0,1642.0,True,False,Completed,
TR000028,FL003,VH00075,DR0003,CU01363,Intercity,2022-07-01 10:00:00,2022-07-01 10:46:00,2022-07-03 13:38:48,2.12,Karachi,Peshawar,24.872161,67.01384,33.997563,71.529064,1440.2,40761.0,2603.0,True,False,Completed,
TR000029,FL002,VH00100,DR0042,CU01732,Wedding,2025-08-05 08:35:00,2025-08-05 09:45:00,2025-08-07 08:47:24,1.96,Peshawar,Peshawar,34.025211,71.522524,34.016535,71.525283,51.7,11880.0,2108.0,True,False,Completed,
TR000030,FL003,VH00083,DR0013,CU00403,City Ride,2026-05-17 17:22:00,2026-05-17 21:14:00,2026-05-18 10:26:00,0.55,Islamabad,Islamabad,33.688341,73.029215,33.669905,73.046397,14.0,7300.0,1585.0,True,False,Completed,
TR000031,FL001,VH00073,DR0047,CU00716,City Ride,2024-12-04 21:59:00,2024-12-05 01:09:00,2024-12-05 15:47:24,0.61,Lahore,Lahore,31.520737,74.347554,31.51355,74.366111,57.8,11297.0,1345.0,True,False,No Show,
TR000032,FL003,VH00018,DR0037,CU00880,Airport Transfer,2025-04-06 19:25:00,2025-04-06 21:35:00,2025-04-07 02:51:48,0.22,Faisalabad,Islamabad,31.457832,73.132812,33.680546,73.05065,323.1,12496.0,2224.0,True,False,Completed,
TR000033,FL003,VH00058,DR0012,CU00879,City Ride,2024-05-20 06:48:00,2024-05-20 10:45:00,2024-05-21 00:40:12,0.58,Rawalpindi,Rawalpindi,33.556259,73.015396,33.580034,72.987641,26.5,4043.0,1948.0,True,False,Completed,
TR000034,FL003,VH00040,DR0046,CU01207,Intercity,2024-12-08 22:28:00,2024-12-08 22:58:00,2024-12-10 11:55:36,1.54,Lahore,Nathiagali,31.526972,74.356121,34.078771,73.365092,386.7,11824.0,1485.0,True,False,Completed,
TR000035,FL003,VH00104,DR0002,CU01793,Airport Transfer,2024-04-06 10:24:00,2024-04-06 13:12:00,2024-04-06 15:36:00,0.1,Abbottabad,Islamabad,34.167445,73.215847,33.682229,73.066326,121.8,2980.0,615.0,True,False,In Progress,
TR000036,FL003,VH00072,DR0049,CU01234,Intercity,2025-12-11 16:08:00,2025-12-11 19:45:00,2025-12-13 11:21:00,1.65,Lahore,Islamabad,31.528277,74.359942,33.67086,73.06105,389.0,34213.0,2503.0,True,False,Completed,
TR000037,FL003,VH00048,,CU01450,Intercity,2025-06-08 13:44:00,2025-06-08 14:34:00,2025-06-09 23:26:48,1.37,Lahore,Murree,31.525761,74.349416,33.911897,73.394542,364.6,36954.0,0.0,False,True,No Show,
TR000038,FL001,VH00084,DR0009,CU01487,Intercity,2025-10-10 06:10:00,2025-10-10 07:39:00,2025-10-12 00:55:48,1.72,Lahore,Peshawar,31.517502,74.363157,34.012588,71.522875,498.6,37239.0,2272.0,True,False,Completed,
TR000039,FL003,VH00054,DR0054,CU00636,City Ride,2024-01-14 14:53:00,2024-01-14 15:48:00,2024-01-15 00:26:24,0.36,Lahore,Lahore,31.523453,74.35817,31.519617,74.359739,65.1,68239.0,2168.0,True,False,Completed,
TR000040,FL001,VH00025,DR0027,CU00128,Airport Transfer,2024-09-28 16:37:00,2024-09-28 18:29:00,2024-09-29 00:00:12,0.23,Rawalpindi,Islamabad,33.556839,73.018583,33.683423,73.053858,15.1,4361.0,1753.0,True,False,No Show,
TR000041,FL001,VH00062,DR0018,CU01322,Intercity,2026-03-23 05:56:00,2026-03-23 08:43:00,2026-03-25 13:16:36,2.19,Islamabad,Abbottabad,33.692587,73.066442,34.14628,73.212973,123.6,40647.0,849.0,True,False,Completed,
TR000042,FL001,VH00046,DR0016,CU00844,Airport Transfer,2024-07-12 07:18:00,2024-07-12 08:14:00,2024-07-12 16:09:12,0.33,Karachi,Lahore,24.865156,67.020956,31.514988,74.362367,1232.9,53853.0,1293.0,True,False,In Progress,
TR000043,FL003,VH00058,,CU00507,Event,2022-09-22 08:22:00,2022-09-22 11:30:00,2022-09-24 09:49:12,1.93,Karachi,Islamabad,24.871918,66.997051,33.668383,73.040889,1450.1,40692.0,0.0,False,True,Completed,
TR000044,FL002,VH00097,,CU01816,Intercity,2024-06-27 07:37:00,2024-06-27 10:31:00,2024-06-29 07:23:48,1.87,Islamabad,Quetta,33.701361,73.052656,30.169132,66.98993,900.7,115574.0,0.0,False,True,No Show,
TR000045,FL001,VH00073,,CU00931,Tourism / Northern Areas,2026-03-28 17:43:00,2026-03-28 19:01:00,2026-04-06 15:39:24,8.86,Islamabad,Islamabad,33.692254,73.050491,33.685725,73.0465,70.2,142538.0,0.0,False,True,Completed,
TR000046,FL003,VH00005,DR0025,CU00871,Airport Transfer,2023-10-27 09:46:00,2023-10-27 10:54:00,2023-10-27 20:01:12,0.38,Lahore,Islamabad,31.52175,74.372993,33.675008,73.070029,386.8,20186.0,591.0,True,False,Completed,
TR000047,FL001,VH00019,DR0002,CU00620,Intercity,2026-01-28 15:56:00,2026-01-28 16:32:00,2026-01-31 06:27:12,2.58,Karachi,Islamabad,24.855565,66.992659,33.68798,73.044488,1415.5,29262.0,740.0,True,False,Completed,
TR000048,FL001,VH00081,DR0034,CU01450,Corporate,2024-06-22 08:13:00,2024-06-22 09:15:00,2024-06-26 20:17:24,4.46,Islamabad,Islamabad,33.682861,73.021144,33.678866,73.040854,14.1,119083.0,2104.0,True,False,Completed,
TR000049,FL002,VH00010,,CU01235,City Ride,2024-03-26 12:12:00,2024-03-26 15:06:00,2024-03-27 13:10:48,0.92,Nathiagali,Nathiagali,34.085631,73.386837,34.058748,73.37432,74.3,7073.0,0.0,False,True,Completed,
TR000050,FL001,VH00012,DR0008,CU00864,City Ride,2024-09-11 12:58:00,2024-09-11 14:14:00,2024-09-12 02:14:00,0.5,Faisalabad,Faisalabad,31.448437,73.138841,31.458436,73.135195,0.0,1112.0,2265.0,True,False,Cancelled,Driver Unavailable
TR000051,FL004,VH00103,DR0057,CU00857,Airport Transfer,2024-03-07 11:18:00,2024-03-07 14:59:00,2024-03-08 01:18:12,0.43,Karachi,Lahore,24.856566,66.996739,31.528681,74.351778,1282.1,73894.0,519.0,True,False,Completed,
TR000052,FL003,VH00119,DR0032,CU00434,City Ride,2023-12-18 17:13:00,2023-12-18 17:54:00,2023-12-19 01:49:12,0.33,Karachi,Karachi,24.871085,67.009239,24.862137,67.005794,70.2,3987.0,2113.0,True,False,Completed,
TR000053,FL004,VH00113,,CU00584,Corporate,2024-04-27 11:41:00,2024-04-27 13:56:00,2024-05-03 03:22:24,5.56,Multan,Multan,30.144045,71.51933,30.167209,71.516229,62.4,115812.0,0.0,False,True,Completed,
TR000054,FL002,VH00053,DR0028,CU00736,City Ride,2022-12-27 23:23:00,2022-12-28 02:00:00,2022-12-28 21:26:24,0.81,Karachi,Lahore,24.868101,67.011764,31.514098,74.363578,1218.7,35069.0,2473.0,True,False,Completed,
TR000055,FL003,VH00083,,CU00095,Airport Transfer,2024-06-03 09:59:00,2024-06-03 11:16:00,2024-06-03 15:49:36,0.19,Lahore,Islamabad,31.515524,74.354125,33.68074,73.043567,382.3,13091.0,0.0,False,True,Completed,
TR000056,FL001,VH00073,DR0017,CU01351,Corporate,2025-06-22 16:37:00,2025-06-22 17:20:00,2025-06-24 21:53:36,2.19,Quetta,Quetta,30.175764,66.974603,30.178895,66.988884,42.1,35925.0,2059.0,True,False,Completed,
TR000057,FL002,VH00071,DR0042,CU00371,Corporate,2025-03-17 07:43:00,2025-03-17 08:17:00,2025-03-23 18:36:12,6.43,Rawalpindi,Rawalpindi,33.551001,73.017979,33.558837,73.034584,43.4,72797.0,961.0,True,False,Completed,
TR000058,FL001,VH00062,DR0056,CU01377,Event,2026-06-20 17:30:00,2026-06-20 19:09:00,2026-06-22 09:18:36,1.59,Karachi,Karachi,24.858208,66.991729,24.867889,66.985049,71.4,28869.0,1576.0,True,False,Completed,
TR000059,FL001,VH00117,DR0019,CU01394,Event,2026-04-20 21:17:00,2026-04-20 22:52:00,2026-04-22 08:42:24,1.41,Multan,Peshawar,30.17348,71.502933,34.017125,71.539363,557.6,28219.0,2057.0,True,False,Completed,
TR000060,FL003,VH00104,DR0044,CU01129,City Ride,2023-08-21 18:58:00,2023-08-21 22:02:00,2023-08-22 21:33:12,0.98,Peshawar,Islamabad,34.018457,71.5308,33.687322,73.051805,164.2,10679.0,2826.0,True,False,Completed,
TR000061,FL004,VH00014,DR0034,CU00996,City Ride,2022-03-06 15:38:00,2022-03-06 17:10:00,2022-03-07 14:31:36,0.89,Karachi,Karachi,24.865367,67.011524,24.868807,67.017718,58.2,18589.0,520.0,True,False,Completed,
TR000062,FL001,VH00112,DR0019,CU00527,City Ride,2025-12-28 10:56:00,2025-12-28 12:41:00,2025-12-29 08:36:12,0.83,Quetta,Quetta,30.179558,66.968894,30.194512,66.970341,64.5,7222.0,784.0,True,False,In Progress,
TR000063,FL001,VH00025,,CU01729,City Ride,2022-02-23 16:28:00,2022-02-23 19:14:00,2022-02-24 10:35:36,0.64,Rawalpindi,Rawalpindi,33.578184,73.037047,33.566326,73.023035,79.4,13443.0,0.0,False,True,Completed,
TR000064,FL002,VH00002,DR0043,CU01783,City Ride,2026-06-04 08:13:00,2026-06-04 11:37:00,2026-06-05 01:17:48,0.57,Karachi,Islamabad,24.857958,66.991809,33.697137,73.040826,1426.6,121203.0,847.0,True,False,Completed,
TR000065,FL001,VH00012,DR0037,CU00227,Wedding,2023-07-06 19:31:00,2023-07-06 23:14:00,2023-07-08 04:02:00,1.2,Islamabad,Lahore,33.689394,73.056781,31.530563,74.360624,391.2,16193.0,2355.0,True,False,Completed,
TR000066,FL003,VH00105,DR0043,CU01069,Airport Transfer,2024-09-07 16:01:00,2024-09-07 18:03:00,2024-09-08 02:55:48,0.37,Rawalpindi,Islamabad,33.568409,73.010919,33.684332,73.042009,14.7,3076.0,1299.0,True,False,Completed,
TR000067,FL002,VH00097,DR0047,CU01488,Airport Transfer,2023-06-26 13:16:00,2023-06-26 13:58:00,2023-06-26 22:07:36,0.34,Islamabad,Islamabad,33.706639,73.048889,33.693256,73.051227,30.6,13024.0,601.0,True,False,In Progress,
TR000068,FL001,VH00019,DR0041,CU00053,Event,2025-11-06 12:38:00,2025-11-06 16:13:00,2025-11-07 12:51:24,0.86,Islamabad,Karachi,33.696839,73.054042,24.863071,67.001701,1367.5,20502.0,1403.0,True,False,Completed,
TR000069,FL003,VH00105,DR0005,CU00918,Wedding,2026-05-13 21:40:00,2026-05-14 01:31:00,2026-05-15 09:26:12,1.33,Karachi,Karachi,24.846575,66.997245,24.86331,67.003566,30.8,10615.0,2212.0,True,False,In Progress,
TR000070,FL001,VH00062,DR0007,CU01197,Airport Transfer,2024-02-27 20:44:00,2024-02-27 22:56:00,2024-02-28 09:00:48,0.42,Nathiagali,Lahore,34.057988,73.372099,31.525953,74.374298,386.7,20500.0,741.0,True,False,Completed,
TR000071,FL004,VH00029,DR0025,CU01435,Intercity,2026-04-06 22:10:00,2026-04-06 23:28:00,2026-04-09 17:28:00,2.75,Karachi,Murree,24.873505,66.986294,33.907518,73.39519,0.0,5840.0,575.0,True,False,Cancelled,No Show
TR000072,FL003,VH00075,DR0053,CU01555,City Ride,2025-05-10 14:17:00,2025-05-10 17:16:00,2025-05-11 08:08:48,0.62,Lahore,Lahore,31.533262,74.349185,31.525922,74.372112,26.8,4822.0,694.0,True,False,Completed,
TR000073,FL001,VH00084,DR0009,CU00842,Tourism / Northern Areas,2024-07-28 08:15:00,2024-07-28 10:24:00,2024-08-06 16:38:24,9.26,Lahore,Islamabad,31.521858,74.364655,33.693057,73.038534,365.4,135556.0,2228.0,True,False,Completed,
TR000074,FL001,VH00036,DR0041,CU00681,Intercity,2024-04-05 06:06:00,2024-04-05 09:03:00,2024-04-06 21:46:12,1.53,Islamabad,Quetta,33.680799,73.05464,30.175514,66.96129,900.7,16465.0,1886.0,True,False,Completed,
TR000075,FL001,VH00011,DR0018,CU01755,City Ride,2022-04-02 12:51:00,2022-04-02 16:07:00,2022-04-03 05:33:24,0.56,Rawalpindi,Rawalpindi,33.559602,73.01679,33.558131,73.021668,58.1,3956.0,1087.0,True,False,Completed,
TR000076,FL003,VH00028,DR0059,CU01302,Event,2025-12-18 16:52:00,2025-12-18 18:40:00,2025-12-20 16:30:24,1.91,Islamabad,Islamabad,33.688728,73.054708,33.667831,73.051333,39.8,30659.0,2341.0,True,False,Completed,
TR000077,FL001,VH00012,DR0002,CU00210,City Ride,2022-07-13 10:27:00,2022-07-13 12:49:00,2022-07-14 08:58:36,0.84,Islamabad,Islamabad,33.672801,73.055561,33.684479,73.06867,60.9,7715.0,978.0,True,False,Completed,
TR000078,FL001,VH00016,,CU00124,Intercity,2026-05-18 11:55:00,2026-05-18 12:59:00,2026-05-19 23:47:00,1.45,Karachi,Gujranwala,24.867841,67.002829,32.189818,74.184757,1397.9,33787.0,0.0,False,True,Completed,
TR000079,FL002,VH00080,DR0043,CU00560,Wedding,2024-09-19 10:33:00,2024-09-19 14:12:00,2024-09-22 06:45:36,2.69,Lahore,Lahore,31.515298,74.354657,31.507309,74.362162,40.6,43641.0,2738.0,True,False,In Progress,
TR000080,FL001,VH00052,DR0003,CU00961,Corporate,2025-05-16 15:42:00,2025-05-16 17:05:00,2025-05-21 13:29:00,4.85,Rawalpindi,Rawalpindi,33.555262,73.032189,33.564086,72.996549,51.1,99301.0,2013.0,True,False,Completed,
TR000081,FL002,VH00056,DR0023,CU01386,Airport Transfer,2026-06-14 15:24:00,2026-06-14 18:32:00,2026-06-14 21:10:24,0.11,Lahore,Islamabad,31.514168,74.362476,33.680692,73.045634,393.1,9856.0,2493.0,True,False,Completed,
TR000082,FL003,VH00060,DR0031,CU01887,Monthly Contract,2025-08-25 12:46:00,2025-08-25 16:46:00,2025-09-25 00:26:48,30.32,Karachi,Rawalpindi,24.864857,67.006505,33.559728,73.023746,1468.7,459879.0,1647.0,True,False,Completed,
TR000083,FL002,VH00044,,CU00429,Wedding,2026-06-06 15:36:00,2026-06-06 17:55:00,2026-06-09 10:43:00,2.7,Peshawar,Peshawar,33.999843,71.521869,34.013817,71.531519,71.1,314768.0,0.0,False,True,In Progress,
TR000084,FL001,VH00077,DR0011,CU00580,Intercity,2024-07-02 12:03:00,2024-07-02 14:00:00,2024-07-05 02:28:48,2.52,Lahore,Peshawar,31.523031,74.387351,34.028405,71.518739,498.6,58633.0,2593.0,True,False,Completed,
TR000085,FL001,VH00081,,CU00387,City Ride,2026-04-07 12:33:00,2026-04-07 14:32:00,2026-04-08 04:12:48,0.57,Karachi,Karachi,24.870897,67.004959,24.862398,67.008463,17.2,16297.0,0.0,False,True,In Progress,
TR000086,FL003,VH00040,DR0038,CU01332,City Ride,2023-12-27 17:43:00,2023-12-27 19:48:00,2023-12-28 11:24:00,0.65,Rawalpindi,Lahore,33.563307,73.001824,31.532434,74.364071,337.8,7086.0,1575.0,True,False,Completed,
TR000087,FL001,VH00019,DR0017,CU01176,Corporate,2024-05-07 10:47:00,2024-05-07 11:29:00,2024-05-09 03:05:00,1.65,Rawalpindi,Islamabad,33.578616,73.010328,33.699614,73.050015,15.1,8032.0,2329.0,True,False,Completed,
TR000088,FL004,VH00095,DR0046,CU00253,Airport Transfer,2022-05-14 07:50:00,2022-05-14 09:32:00,2022-05-14 15:32:00,0.25,Karachi,Islamabad,24.861083,66.993911,33.688348,73.06411,1371.3,75537.0,2831.0,True,False,In Progress,
TR000089,FL001,VH00024,DR0005,CU00895,Tourism / Northern Areas,2023-04-15 16:53:00,2023-04-15 17:36:00,2023-04-21 21:55:12,6.18,Lahore,Murree,31.527796,74.364949,33.911104,73.397707,364.6,123031.0,1362.0,True,False,Completed,
TR000090,FL003,VH00058,DR0024,CU00296,Wedding,2026-03-11 18:25:00,2026-03-11 20:11:00,2026-03-13 10:20:36,1.59,Islamabad,Islamabad,33.684454,73.059979,33.690003,73.048926,15.1,9933.0,1426.0,True,False,Completed,
TR000091,FL001,VH00082,DR0018,CU00868,Airport Transfer,2022-05-04 19:19:00,2022-05-04 23:00:00,2022-05-05 10:31:12,0.48,Lahore,Lahore,31.506918,74.373047,31.5258,74.353099,62.0,7560.0,2769.0,True,False,Completed,
TR000092,FL003,VH00090,DR0031,CU00201,Airport Transfer,2022-11-27 16:15:00,2022-11-27 16:55:00,2022-11-28 03:28:36,0.44,Islamabad,Islamabad,33.674788,73.054873,33.678272,73.045111,18.9,3021.0,2213.0,True,False,Completed,
TR000093,FL004,VH00101,DR0029,CU01004,Wedding,2023-05-23 13:58:00,2023-05-23 15:00:00,2023-05-25 00:36:00,1.4,Karachi,Lahore,24.866294,67.010177,31.512348,74.349471,1286.5,35372.0,2200.0,True,False,Completed,
TR000094,FL001,VH00036,,CU01907,Airport Transfer,2022-11-08 08:21:00,2022-11-08 09:24:00,2022-11-08 13:43:12,0.18,Islamabad,Islamabad,33.678566,73.057505,33.696835,73.056901,51.5,1283.0,0.0,False,True,Completed,
TR000095,FL001,VH00041,DR0041,CU01544,Tourism / Northern Areas,2024-09-18 18:44:00,2024-09-18 21:35:00,2024-09-25 23:01:24,7.06,Murree,Karachi,33.89078,73.382499,24.867604,67.016572,1534.7,131073.0,2349.0,True,False,Completed,
TR000096,FL001,VH00034,DR0049,CU01335,Intercity,2023-07-04 17:05:00,2023-07-04 19:23:00,2023-07-06 19:23:00,2.0,Islamabad,Abbottabad,33.69461,73.054777,34.158132,73.210365,114.1,8787.0,2470.0,True,False,Completed,
TR000097,FL001,VH00016,DR0051,CU01542,Corporate,2024-09-05 16:14:00,2024-09-05 17:04:00,2024-09-11 17:47:12,6.03,Islamabad,Faisalabad,33.686799,73.050753,31.439021,73.154285,323.1,47172.0,1850.0,True,False,Completed,
TR000098,FL001,VH00064,DR0007,CU01332,Wedding,2025-08-13 11:25:00,2025-08-13 13:12:00,2025-08-16 10:19:12,2.88,Islamabad,Lahore,33.683589,73.040887,31.520816,74.354244,383.1,22111.0,1200.0,True,False,Completed,
TR000099,FL001,VH00034,DR0029,CU01027,Corporate,2022-06-19 16:03:00,2022-06-19 19:40:00,2022-06-25 18:56:48,5.97,Lahore,Islamabad,31.524525,74.345818,33.672502,73.047501,365.8,26532.0,2645.0,True,False,Completed,
TR000100,FL001,VH00019,DR0058,CU01538,Tourism / Northern Areas,2025-09-28 10:26:00,2025-09-28 11:38:00,2025-10-02 10:40:24,3.96,Lahore,Murree,31.516341,74.350822,33.893275,73.389852,364.6,23217.0,2141.0,True,False,Completed,
TR000101,FL002,VH00078,DR0008,CU00316,Airport Transfer,2024-07-25 15:12:00,2024-07-25 16:11:00,2024-07-25 18:49:24,0.11,Karachi,Islamabad,24.865162,66.995561,33.679766,73.042718,1395.5,117538.0,1074.0,True,False,Completed,
TR000102,FL003,VH00118,DR0031,CU00990,Airport Transfer,2022-03-07 16:14:00,2022-03-07 17:41:00,2022-03-07 22:29:00,0.2,Islamabad,Islamabad,33.691318,73.044701,33.682044,73.047793,34.3,11542.0,2148.0,True,False,Completed,
TR000103,FL001,VH00033,DR0005,CU01547,Intercity,2024-08-09 23:57:00,2024-08-10 03:38:00,2024-08-12 05:18:48,2.07,Islamabad,Rawalpindi,33.697881,73.056627,33.575202,73.025461,15.5,39916.0,1326.0,True,False,No Show,
TR000104,FL001,VH00076,DR0005,CU00627,Intercity,2024-06-09 22:49:00,2024-06-09 23:27:00,2024-06-11 01:51:00,1.1,Islamabad,Nathiagali,33.701492,73.051594,34.06397,73.365235,75.8,16116.0,1667.0,True,False,Completed,
TR000105,FL004,VH00101,DR0046,CU00633,Monthly Contract,2022-11-15 08:32:00,2022-11-15 10:54:00,2022-12-15 06:06:00,29.8,Karachi,Rawalpindi,24.859072,66.977475,33.553297,73.009324,1468.7,144627.0,2383.0,True,False,Completed,
TR000106,FL001,VH00007,DR0026,CU01232,City Ride,2023-08-12 15:06:00,2023-08-12 18:23:00,2023-08-13 16:42:12,0.93,Rawalpindi,Rawalpindi,33.565456,73.011429,33.550398,73.011311,21.6,5327.0,1944.0,True,False,Completed,
TR000107,FL003,VH00111,DR0041,CU01921,Event,2025-09-13 18:02:00,2025-09-13 19:14:00,2025-09-14 21:09:12,1.08,Rawalpindi,Rawalpindi,33.552398,73.021447,33.565714,73.019335,24.1,15205.0,2872.0,True,False,Completed,
