booking_id,trip_id,customer_id,fleet_id,vehicle_id,driver_id,booking_type_id,booking_datetime,pickup_city,dropoff_city,pickup_datetime_requested,duration_days_requested,with_driver,estimated_fare_pkr,advance_paid_pkr,payment_method,status,cancellation_reason,notes,created_at
BK000011,TR000011,CU01924,FL001,VH00112,DR0055,BT008,2024-05-24 10:14:00,Multan,Karachi,2024-05-24 13:58:00,1.53,True,30141.0,6028.0,Card (POS),Completed,,,2024-05-24 10:14:00
BK000012,TR000012,CU00032,FL001,VH00089,DR0051,BT001,2022-10-04 17:18:00,Abbottabad,Islamabad,2022-10-04 19:21:00,0.38,True,10825.0,2165.0,EasyPaisa,Completed,,,2022-10-04 17:18:00
BK000013,TR000013,CU00771,FL001,VH00034,DR0060,BT002,2022-06-23 09:18:00,Karachi,Karachi,2022-06-23 11:46:00,0.83,True,3713.0,743.0,JazzCash,In Progress,,,2022-06-23 09:18:00
BK000014,TR000014,CU01025,FL003,VH00083,DR0054,BT004,2024-10-26 21:32:00,Multan,Multan,2024-10-26 23:55:00,1.7,True,23281.0,4656.0,EasyPaisa,Completed,,,2024-10-26 21:32:00
BK000015,TR000015,CU01412,FL001,VH00036,,BT002,2022-03-17 12:18:00,Lahore,Lahore,2022-03-17 16:16:00,0.47,False,1962.0,392.0,JazzCash,Completed,,,2022-03-17 12:18:00
BK000016,TR000016,CU01992,FL001,VH00091,DR0003,BT002,2025-04-09 08:53:00,Murree,Faisalabad,2025-04-09 12:49:00,0.92,True,12894.0,2579.0,JazzCash,Completed,,,2025-04-09 08:53:00
BK000017,TR000017,CU01340,FL003,VH00104,,BT001,2023-11-03 22:19:00,Gujranwala,Lahore,2023-11-04 00:37:00,0.36,False,4104.0,821.0,Cash,Completed,,,2023-11-03 22:19:00
BK000018,TR000018,CU00175,FL003,VH00020,DR0051,BT003,2024-12-22 17:36:00,Lahore,Lahore,2024-12-22 21:14:00,2.87,True,18778.0,0.0,Cash,No Show,,,2024-12-22 17:36:00
BK000019,TR000019,CU00375,FL002,VH00042,,BT007,2024-08-02 14:17:00,Peshawar,Peshawar,2024-08-02 17:35:00,7.06,False,174073.0,34815.0,Bank Transfer,Completed,,,2024-08-02 14:17:00
BK000020,TR000020,CU01467,FL002,VH00066,DR0036,BT002,2024-12-21 08:33:00,Karachi,Islamabad,2024-12-21 12:29:00,0.32,True,4370.0,437.0,JazzCash,Cancelled,Driver Unavailable,,2024-12-21 08:33:00
BK000021,TR000021,CU00503,FL001,VH00052,DR0042,BT001,2025-09-16 13:16:00,Islamabad,Islamabad,2025-09-16 16:10:00,0.46,True,2671.0,267.0,Cash,Cancelled,Weather,,2025-09-16 13:16:00
BK000022,TR000022,CU01773,FL003,VH00075,DR0047,BT005,2024-05-26 08:29:00,Islamabad,Karachi,2024-05-26 12:27:00,2.57,True,42579.0,8516.0,Cash,Completed,,,2024-05-26 08:29:00
BK000023,TR000023,CU00255,FL002,VH00094,DR0016,BT008,2023-06-13 21:23:00,Karachi,Karachi,2023-06-13 22:19:00,2.79,True,23227.0,4645.0,Cash,Completed,,,2023-06-13 21:23:00
BK000024,TR000024,CU00628,FL001,VH00036,DR0058,BT006,2022-04-26 18:37:00,Karachi,Karachi,2022-04-26 22:12:00,31.99,True,77637.0,15527.0,Bank Transfer,Completed,,,2022-04-26 18:37:00
BK000025,TR000025,CU00808,FL002,VH00080,,BT001,2023-07-28 07:43:00,Nathiagali,Islamabad,2023-07-28 09:07:00,0.11,False,922.0,0.0,JazzCash,Cancelled,Weather,,2023-07-28 07:43:00
BK000026,TR000026,CU01449,FL001,VH00003,DR0011,BT001,2024-05-04 06:35:00,Nathiagali,Islamabad,2024-05-04 07:36:00,0.3,True,6706.0,1341.0,EasyPaisa,Completed,,,2024-05-04 06:35:00
BK000027,TR000027,CU00652,FL001,VH00025,DR0017,BT001,2023-12-15 17:57:00,Karachi,Lahore,2023-12-15 19:36:00,0.29,True,50014.0,10003.0,Cash,Completed,,,2023-12-15 17:57:00
BK000028,TR000028,CU01363,FL003,VH00075,DR0003,BT005,2022-07-01 10:00:00,Karachi,Peshawar,2022-07-01 10:46:00,2.12,True,40761.0,8152.0,Cash,Completed,,,2022-07-01 10:00:00
BK000029,TR000029,CU01732,FL002,VH00100,DR0042,BT008,2025-08-05 08:35:00,Peshawar,Peshawar,2025-08-05 09:45:00,1.96,True,11880.0,2376.0,Cash,Completed,,,2025-08-05 08:35:00
BK000030,TR000030,CU00403,FL003,VH00083,DR0013,BT002,2026-05-17 17:22:00,Islamabad,Islamabad,2026-05-17 21:14:00,0.55,True,7300.0,1460.0,JazzCash,Completed,,,2026-05-17 17:22:00
BK000031,TR000031,CU00716,FL001,VH00073,DR0047,BT002,2024-12-04 21:59:00,Lahore,Lahore,2024-12-05 01:09:00,0.61,True,11297.0,0.0,JazzCash,No Show,,,2024-12-04 21:59:00
BK000032,TR000032,CU00880,FL003,VH00018,DR0037,BT001,2025-04-06 19:25:00,Faisalabad,Islamabad,2025-04-06 21:35:00,0.22,True,12496.0,2499.0,Bank Transfer,Completed,,,2025-04-06 19:25:00
BK000033,TR000033,CU00879,FL003,VH00058,DR0012,BT002,2024-05-20 06:48:00,Rawalpindi,Rawalpindi,2024-05-20 10:45:00,0.58,True,4043.0,809.0,EasyPaisa,Completed,,,2024-05-20 06:48:00
BK000034,TR000034,CU01207,FL003,VH00040,DR0046,BT005,2024-12-08 22:28:00,Lahore,Nathiagali,2024-12-08 22:58:00,1.54,True,11824.0,2365.0,Card (POS),Completed,,,2024-12-08 22:28:00
BK000035,TR000035,CU01793,FL003,VH00104,DR0002,BT001,2024-04-06 10:24:00,Abbottabad,Islamabad,2024-04-06 13:12:00,0.1,True,2980.0,596.0,Bank Transfer,In Progress,,,2024-04-06 10:24:00
BK000036,TR000036,CU01234,FL003,VH00072,DR0049,BT005,2025-12-11 16:08:00,Lahore,Islamabad,2025-12-11 19:45:00,1.65,True,34213.0,6843.0,JazzCash,Completed,,,2025-12-11 16:08:00
BK000037,TR000037,CU01450,FL003,VH00048,,BT005,2025-06-08 13:44:00,Lahore,Murree,2025-06-08 14:34:00,1.37,False,36954.0,0.0,Cash,No Show,,,2025-06-08 13:44:00
BK000038,TR000038,CU01487,FL001,VH00084,DR0009,BT005,2025-10-10 06:10:00,Lahore,Peshawar,2025-10-10 07:39:00,1.72,True,37239.0,7448.0,Bank Transfer,Completed,,,2025-10-10 06:10:00
BK000039,TR000039,CU00636,FL003,VH00054,DR0054,BT002,2024-01-14 14:53:00,Lahore,Lahore,2024-01-14 15:48:00,0.36,True,68239.0,13648.0,EasyPaisa,Completed,,,2024-01-14 14:53:00
BK000040,TR000040,CU00128,FL001,VH00025,DR0027,BT001,2024-09-28 16:37:00,Rawalpindi,Islamabad,2024-09-28 18:29:00,0.23,True,4361.0,0.0,Cash,No Show,,,2024-09-28 16:37:00
BK000041,TR000041,CU01322,FL001,VH00062,DR0018,BT005,2026-03-23 05:56:00,Islamabad,Abbottabad,2026-03-23 08:43:00,2.19,True,40647.0,8129.0,EasyPaisa,Completed,,,2026-03-23 05:56:00
BK000042,TR000042,CU00844,FL001,VH00046,DR0016,BT001,2024-07-12 07:18:00,Karachi,Lahore,2024-07-12 08:14:00,0.33,True,53853.0,10771.0,Cash,In Progress,,,2024-07-12 07:18:00
BK000043,TR000043,CU00507,FL003,VH00058,,BT004,2022-09-22 08:22:00,Karachi,Islamabad,2022-09-22 11:30:00,1.93,False,40692.0,8138.0,JazzCash,Completed,,,2022-09-22 08:22:00
BK000044,TR000044,CU01816,FL002,VH00097,,BT005,2024-06-27 07:37:00,Islamabad,Quetta,2024-06-27 10:31:00,1.87,False,115574.0,0.0,Bank Transfer,No Show,,,2024-06-27 07:37:00
BK000045,TR000045,CU00931,FL001,VH00073,,BT007,2026-03-28 17:43:00,Islamabad,Islamabad,2026-03-28 19:01:00,8.86,False,142538.0,28508.0,JazzCash,Completed,,,2026-03-28 17:43:00
BK000046,TR000046,CU00871,FL003,VH00005,DR0025,BT001,2023-10-27 09:46:00,Lahore,Islamabad,2023-10-27 10:54:00,0.38,True,20186.0,4037.0,JazzCash,Completed,,,2023-10-27 09:46:00
BK000047,TR000047,CU00620,FL001,VH00019,DR0002,BT005,2026-01-28 15:56:00,Karachi,Islamabad,2026-01-28 16:32:00,2.58,True,29262.0,5852.0,EasyPaisa,Completed,,,2026-01-28 15:56:00
BK000048,TR000048,CU01450,FL001,VH00081,DR0034,BT003,2024-06-22 08:13:00,Islamabad,Islamabad,2024-06-22 09:15:00,4.46,True,119083.0,23817.0,Bank Transfer,Completed,,,2024-06-22 08:13:00
BK000049,TR000049,CU01235,FL002,VH00010,,BT002,2024-03-26 12:12:00,Nathiagali,Nathiagali,2024-03-26 15:06:00,0.92,False,7073.0,1415.0,EasyPaisa,Completed,,,2024-03-26 12:12:00
BK000050,TR000050,CU00864,FL001,VH00012,DR0008,BT002,2024-09-11 12:58:00,Faisalabad,Faisalabad,2024-09-11 14:14:00,0.5,True,1112.0,111.0,JazzCash,Cancelled,Driver Unavailable,,2024-09-11 12:58:00
BK000051,TR000051,CU00857,FL004,VH00103,DR0057,BT001,2024-03-07 11:18:00,Karachi,Lahore,2024-03-07 14:59:00,0.43,True,73894.0,14779.0,JazzCash,Completed,,,2024-03-07 11:18:00
BK000052,TR000052,CU00434,FL003,VH00119,DR0032,BT002,2023-12-18 17:13:00,Karachi,Karachi,2023-12-18 17:54:00,0.33,True,3987.0,797.0,Card (POS),Completed,,,2023-12-18 17:13:00
BK000053,TR000053,CU00584,FL004,VH00113,,BT003,2024-04-27 11:41:00,Multan,Multan,2024-04-27 13:56:00,5.56,False,115812.0,23162.0,Bank Transfer,Completed,,,2024-04-27 11:41:00
BK000054,TR000054,CU00736,FL002,VH00053,DR0028,BT002,2022-12-27 23:23:00,Karachi,Lahore,2022-12-28 02:00:00,0.81,True,35069.0,7014.0,Card (POS),Completed,,,2022-12-27 23:23:00
BK000055,TR000055,CU00095,FL003,VH00083,,BT001,2024-06-03 09:59:00,Lahore,Islamabad,2024-06-03 11:16:00,0.19,False,13091.0,2618.0,Bank Transfer,Completed,,,2024-06-03 09:59:00
BK000056,TR000056,CU01351,FL001,VH00073,DR0017,BT003,2025-06-22 16:37:00,Quetta,Quetta,2025-06-22 17:20:00,2.19,True,35925.0,7185.0,Card (POS),Completed,,,2025-06-22 16:37:00
BK000057,TR000057,CU00371,FL002,VH00071,DR0042,BT003,2025-03-17 07:43:00,Rawalpindi,Rawalpindi,2025-03-17 08:17:00,6.43,True,72797.0,14559.0,Card (POS),Completed,,,2025-03-17 07:43:00
BK000058,TR000058,CU01377,FL001,VH00062,DR0056,BT004,2026-06-20 17:30:00,Karachi,Karachi,2026-06-20 19:09:00,1.59,True,28869.0,5774.0,Bank Transfer,Completed,,,2026-06-20 17:30:00
BK000059,TR000059,CU01394,FL001,VH00117,DR0019,BT004,2026-04-20 21:17:00,Multan,Peshawar,2026-04-20 22:52:00,1.41,True,28219.0,5644.0,Card (POS),Completed,,,2026-04-20 21:17:00
BK000060,TR000060,CU01129,FL003,VH00104,DR0044,BT002,2023-08-21 18:58:00,Peshawar,Islamabad,2023-08-21 22:02:00,0.98,True,10679.0,2136.0,Card (POS),Completed,,,2023-08-21 18:58:00
BK000061,TR000061,CU00996,FL004,VH00014,DR0034,BT002,2022-03-06 15:38:00,Karachi,Karachi,2022-03-06 17:10:00,0.89,True,18589.0,3718.0,JazzCash,Completed,,,2022-03-06 15:38:00
BK000062,TR000062,CU00527,FL001,VH00112,DR0019,BT002,2025-12-28 10:56:00,Quetta,Quetta,2025-12-28 12:41:00,0.83,True,7222.0,1444.0,EasyPaisa,In Progress,,,2025-12-28 10:56:00
BK000063,TR000063,CU01729,FL001,VH00025,,BT002,2022-02-23 16:28:00,Rawalpindi,Rawalpindi,2022-02-23 19:14:00,0.64,False,13443.0,2689.0,EasyPaisa,Completed,,,2022-02-23 16:28:00
BK000064,TR000064,CU01783,FL002,VH00002,DR0043,BT002,2026-06-04 08:13:00,Karachi,Islamabad,2026-06-04 11:37:00,0.57,True,121203.0,24241.0,EasyPaisa,Completed,,,2026-06-04 08:13:00
BK000065,TR000065,CU00227,FL001,VH00012,DR0037,BT008,2023-07-06 19:31:00,Islamabad,Lahore,2023-07-06 23:14:00,1.2,True,16193.0,3239.0,Bank Transfer,Completed,,,2023-07-06 19:31:00
BK000066,TR000066,CU01069,FL003,VH00105,DR0043,BT001,2024-09-07 16:01:00,Rawalpindi,Islamabad,2024-09-07 18:03:00,0.37,True,3076.0,615.0,Card (POS),Completed,,,2024-09-07 16:01:00
BK000067,TR000067,CU01488,FL002,VH00097,DR0047,BT001,2023-06-26 13:16:00,Islamabad,Islamabad,2023-06-26 13:58:00,0.34,True,13024.0,2605.0,Card (POS),In Progress,,,2023-06-26 13:16:00
BK000068,TR000068,CU00053,FL001,VH00019,DR0041,BT004,2025-11-06 12:38:00,Islamabad,Karachi,2025-11-06 16:13:00,0.86,True,20502.0,4100.0,JazzCash,Completed,,,2025-11-06 12:38:00
BK000069,TR000069,CU00918,FL003,VH00105,DR0005,BT008,2026-05-13 21:40:00,Karachi,Karachi,2026-05-14 01:31:00,1.33,True,10615.0,2123.0,JazzCash,In Progress,,,2026-05-13 21:40:00
BK000070,TR000070,CU01197,FL001,VH00062,DR0007,BT001,2024-02-27 20:44:00,Nathiagali,Lahore,2024-02-27 22:56:00,0.42,True,20500.0,4100.0,Card (POS),Completed,,,2024-02-27 20:44:00
BK000071,TR000071,CU01435,FL004,VH00029,DR0025,BT005,2026-04-06 22:10:00,Karachi,Murree,2026-04-06 23:28:00,2.75,True,5840.0,0.0,Cash,Cancelled,No Show,,2026-04-06 22:10:00
BK000072,TR000072,CU01555,FL003,VH00075,DR0053,BT002,2025-05-10 14:17:00,Lahore,Lahore,2025-05-10 17:16:00,0.62,True,4822.0,964.0,EasyPaisa,Completed,,,2025-05-10 14:17:00
BK000073,TR000073,CU00842,FL001,VH00084,DR0009,BT007,2024-07-28 08:15:00,Lahore,Islamabad,2024-07-28 10:24:00,9.26,True,135556.0,27111.0,Card (POS),Completed,,,2024-07-28 08:15:00
BK000074,TR000074,CU00681,FL001,VH00036,DR0041,BT005,2024-04-05 06:06:00,Islamabad,Quetta,2024-04-05 09:03:00,1.53,True,16465.0,3293.0,Cash,Completed,,,2024-04-05 06:06:00
BK000075,TR000075,CU01755,FL001,VH00011,DR0018,BT002,2022-04-02 12:51:00,Rawalpindi,Rawalpindi,2022-04-02 16:07:00,0.56,True,3956.0,791.0,Bank Transfer,Completed,,,2022-04-02 12:51:00
BK000076,TR000076,CU01302,FL003,VH00028,DR0059,BT004,2025-12-18 16:52:00,Islamabad,Islamabad,2025-12-18 18:40:00,1.91,True,30659.0,6132.0,JazzCash,Completed,,,2025-12-18 16:52:00
BK000077,TR000077,CU00210,FL001,VH00012,DR0002,BT002,2022-07-13 10:27:00,Islamabad,Islamabad,2022-07-13 12:49:00,0.84,True,7715.0,1543.0,Card (POS),Completed,,,2022-07-13 10:27:00
BK000078,TR000078,CU00124,FL001,VH00016,,BT005,2026-05-18 11:55:00,Karachi,Gujranwala,2026-05-18 12:59:00,1.45,False,33787.0,6757.0,Cash,Completed,,,2026-05-18 11:55:00
BK000079,TR000079,CU00560,FL002,VH00080,DR0043,BT008,2024-09-19 10:33:00,Lahore,Lahore,2024-09-19 14:12:00,2.69,True,43641.0,8728.0,Card (POS),In Progress,,,2024-09-19 10:33:00
BK000080,TR000080,CU00961,FL001,VH00052,DR0003,BT003,2025-05-16 15:42:00,Rawalpindi,Rawalpindi,2025-05-16 17:05:00,4.85,True,99301.0,19860.0,Cash,Completed,,,2025-05-16 15:42:00
BK000081,TR000081,CU01386,FL002,VH00056,DR0023,BT001,2026-06-14 15:24:00,Lahore,Islamabad,2026-06-14 18:32:00,0.11,True,9856.0,1971.0,Cash,Completed,,,2026-06-14 15:24:00
BK000082,TR000082,CU01887,FL003,VH00060,DR0031,BT006,2025-08-25 12:46:00,Karachi,Rawalpindi,2025-08-25 16:46:00,30.32,True,459879.0,91976.0,Cash,Completed,,,2025-08-25 12:46:00
BK000083,TR000083,CU00429,FL002,VH00044,,BT008,2026-06-06 15:36:00,Peshawar,Peshawar,2026-06-06 17:55:00,2.7,False,314768.0,62954.0,EasyPaisa,In Progress,,,2026-06-06 15:36:00
BK000084,TR000084,CU00580,FL001,VH00077,DR0011,BT005,2024-07-02 12:03:00,Lahore,Peshawar,2024-07-02 14:00:00,2.52,True,58633.0,11727.0,Card (POS),Completed,,,2024-07-02 12:03:00
BK000085,TR000085,CU00387,FL001,VH00081,,BT002,2026-04-07 12:33:00,Karachi,Karachi,2026-04-07 14:32:00,0.57,False,16297.0,3259.0,Card (POS),In Progress,,,2026-04-07 12:33:00
BK000086,TR000086,CU01332,FL003,VH00040,DR0038,BT002,2023-12-27 17:43:00,Rawalpindi,Lahore,2023-12-27 19:48:00,0.65,True,7086.0,1417.0,Bank Transfer,Completed,,,2023-12-27 17:43:00
BK000087,TR000087,CU01176,FL001,VH00019,DR0017,BT003,2024-05-07 10:47:00,Rawalpindi,Islamabad,2024-05-07 11:29:00,1.65,True,8032.0,1606.0,EasyPaisa,Completed,,,2024-05-07 10:47:00
BK000088,TR000088,CU00253,FL004,VH00095,DR0046,BT001,2022-05-14 07:50:00,Karachi,Islamabad,2022-05-14 09:32:00,0.25,True,75537.0,15107.0,Bank Transfer,In Progress,,,2022-05-14 07:50:00
BK000089,TR000089,CU00895,FL001,VH00024,DR0005,BT007,2023-04-15 16:53:00,Lahore,Murree,2023-04-15 17:36:00,6.18,True,123031.0,24606.0,Card (POS),Completed,,,2023-04-15 16:53:00
BK000090,TR000090,CU00296,FL003,VH00058,DR0024,BT008,2026-03-11 18:25:00,Islamabad,Islamabad,2026-03-11 20:11:00,1.59,True,9933.0,1987.0,Cash,Completed,,,2026-03-11 18:25:00
BK000091,TR000091,CU00868,FL001,VH00082,DR0018,BT001,2022-05-04 19:19:00,Lahore,Lahore,2022-05-04 23:00:00,0.48,True,7560.0,1512.0,JazzCash,Completed,,,2022-05-04 19:19:00
BK000092,TR000092,CU00201,FL003,VH00090,DR0031,BT001,2022-11-27 16:15:00,Islamabad,Islamabad,2022-11-27 16:55:00,0.44,True,3021.0,604.0,Bank Transfer,Completed,,,2022-11-27 16:15:00
BK000093,TR000093,CU01004,FL004,VH00101,DR0029,BT008,2023-05-23 13:58:00,Karachi,Lahore,2023-05-23 15:00:00,1.4,True,35372.0,7074.0,EasyPaisa,Completed,,,2023-05-23 13:58:00
BK000094,TR000094,CU01907,FL001,VH00036,,BT001,2022-11-08 08:21:00,Islamabad,Islamabad,2022-11-08 09:24:00,0.18,False,1283.0,257.0,Bank Transfer,Completed,,,2022-11-08 08:21:00
BK000095,TR000095,CU01544,FL001,VH00041,DR0041,BT007,2024-09-18 18:44:00,Murree,Karachi,2024-09-18 21:35:00,7.06,True,131073.0,26215.0,JazzCash,Completed,,,2024-09-18 18:44:00
BK000096,TR000096,CU01335,FL001,VH00034,DR0049,BT005,2023-07-04 17:05:00,Islamabad,Abbottabad,2023-07-04 19:23:00,2.0,True,8787.0,1757.0,EasyPaisa,Completed,,,2023-07-04 17:05:00
BK000097,TR000097,CU01542,FL001,VH00016,DR0051,BT003,2024-09-05 16:14:00,Islamabad,Faisalabad,2024-09-05 17:04:00,6.03,True,47172.0,9434.0,Cash,Completed,,,2024-09-05 16:14:00
BK000098,TR000098,CU01332,FL001,VH00064,DR0007,BT008,2025-08-13 11:25:00,Islamabad,Lahore,2025-08-13 13:12:00,2.88,True,22111.0,4422.0,Card (POS),Completed,,,2025-08-13 11:25:00
BK000099,TR000099,CU01027,FL001,VH00034,DR0029,BT003,2022-06-19 16:03:00,Lahore,Islamabad,2022-06-19 19:40:00,5.97,True,26532.0,5306.0,EasyPaisa,Completed,,,2022-06-19 16:03:00
BK000100,TR000100,CU01538,FL001,VH00019,DR0058,BT007,2025-09-28 10:26:00,Lahore,Murree,2025-09-28 11:38:00,3.96,True,23217.0,4643.0,Card (POS),Completed,,,2025-09-28 10:26:00
BK000101,TR000101,CU00316,FL002,VH00078,DR0008,BT001,2024-07-25 15:12:00,Karachi,Islamabad,2024-07-25 16:11:00,0.11,True,117538.0,23508.0,Cash,Completed,,,2024-07-25 15:12:00
BK000102,TR000102,CU00990,FL003,VH00118,DR0031,BT001,2022-03-07 16:14:00,Islamabad,Islamabad,2022-03-07 17:41:00,0.2,True,11542.0,2308.0,Cash,Completed,,,2022-03-07 16:14:00
BK000103,TR000103,CU01547,FL001,VH00033,DR0005,BT005,2024-08-09 23:57:00,Islamabad,Rawalpindi,2024-08-10 03:38:00,2.07,True,39916.0,0.0,Bank Transfer,No Show,,,2024-08-09 23:57:00
BK000104,TR000104,CU00627,FL001,VH00076,DR0005,BT005,2024-06-09 22:49:00,Islamabad,Nathiagali,2024-06-09 23:27:00,1.1,True,16116.0,3223.0,Card (POS),Completed,,,2024-06-09 22:49:00
BK000105,TR000105,CU00633,FL004,VH00101,DR0046,BT006,2022-11-15 08:32:00,Karachi,Rawalpindi,2022-11-15 10:54:00,29.8,True,144627.0,28925.0,JazzCash,Completed,,,2022-11-15 08:32:00
BK000106,TR000106,CU01232,FL001,VH00007,DR0026,BT002,2023-08-12 15:06:00,Rawalpindi,Rawalpindi,2023-08-12 18:23:00,0.93,True,5327.0,1065.0,Card (POS),Completed,,,2023-08-12 15:06:00
BK000107,TR000107,CU01921,FL003,VH00111,DR0041,BT004,2025-09-13 18:02:00,Rawalpindi,Rawalpindi,2025-09-13 19:14:00,1.08,True,15205.0,3041.0,Bank Transfer,Completed,,,2025-09-13 18:02:00
BK000108,TR000108,CU00497,FL001,VH00025,DR0028,BT008,2026-06-07 16:55:00,Lahore,Lahore,2026-06-07 17:27:00,1.9,True,32864.0,6573.0,Card (POS),Completed,,,2026-06-07 16:55:00
BK000109,TR000109,CU00910,FL002,VH00071,,BT007,2026-05-20 07:02:00,Rawalpindi,Rawalpindi,2026-05-20 08:11:00,3.41,False,39094.0,7819.0,Card (POS),Completed,,,2026-05-20 07:02:00
BK000110,TR000110,CU00775,FL002,VH00080,DR0015,BT007,2025-05-17 13:38:00,Rawalpindi,Rawalpindi,2025-05-17 17:22:00,4.19,True,66578.0,13316.0,JazzCash,Completed,,,2025-05-17 13:38:00
BK000111,TR000111,CU01449,FL001,VH00077,,BT002,2026-05-05 22:20:00,Islamabad,Lahore,2026-05-06 01:24:00,0.59,False,23292.0,4658.0,JazzCash,Completed,,,2026-05-05 22:20:00
BK000112,TR000112,CU00124,FL001,VH00036,DR0051,BT004,2026-05-07 13:13:00,Islamabad,Islamabad,2026-05-07 14:40:00,1.79,True,7098.0,1420.0,JazzCash,Completed,,,2026-05-07 13:13:00
BK000113,TR000113,CU01923,FL003,VH00063,,BT007,2025-10-02 10:20:00,Faisalabad,Faisalabad,2025-10-02 13:54:00,9.12,False,10382.0,1038.0,JazzCash,Cancelled,Vehicle Issue,,2025-10-02 10:20:00
BK000114,TR000114,CU00774,FL004,VH00092,DR0046,BT008,2025-06-04 16:47:00,Karachi,Lahore,2025-06-04 20:20:00,2.55,True,42116.0,8423.0,JazzCash,Completed,,,2025-06-04 16:47:00
BK000115,TR000115,CU00195,FL002,VH00078,DR0053,BT001,2022-10-28 20:54:00,Multan,Islamabad,2022-10-29 00:19:00,0.24,True,56309.0,11262.0,EasyPaisa,Completed,,,2022-10-28 20:54:00
BK000116,TR000116,CU01626,FL003,VH00026,DR0054,BT003,2025-06-27 18:37:00,Rawalpindi,Rawalpindi,2025-06-27 19:30:00,4.93,True,21048.0,4210.0,Cash,Completed,,,2025-06-27 18:37:00
BK000117,TR000117,CU01745,FL002,VH00053,DR0003,BT008,2024-07-13 12:56:00,Lahore,Lahore,2024-07-13 13:45:00,1.79,True,18709.0,3742.0,JazzCash,In Progress,,,2024-07-13 12:56:00
BK000118,TR000118,CU00888,FL001,VH00077,DR0008,BT003,2026-01-17 18:18:00,Peshawar,Islamabad,2026-01-17 20:00:00,5.0,True,87782.0,17556.0,Cash,Completed,,,2026-01-17 18:18:00
BK000119,TR000119,CU01619,FL001,VH00099,DR0048,BT001,2026-03-17 12:02:00,Islamabad,Islamabad,2026-03-17 14:18:00,0.49,True,5222.0,1044.0,Card (POS),Completed,,,2026-03-17 12:02:00
BK000120,TR000120,CU01862,FL001,VH00112,,BT001,2025-01-21 13:34:00,Islamabad,Lahore,2025-01-21 15:00:00,0.49,False,10930.0,2186.0,Cash,In Progress,,,2025-01-21 13:34:00
BK000121,TR000121,CU00768,FL002,VH00100,DR0038,BT008,2022-11-15 06:04:00,Islamabad,Islamabad,2022-11-15 08:32:00,1.03,True,6973.0,1395.0,Card (POS),Completed,,,2022-11-15 06:04:00
BK000122,TR000122,CU00524,FL001,VH00077,DR0026,BT005,2023-04-22 08:07:00,Karachi,Lahore,2023-04-22 10:33:00,1.16,True,61114.0,12223.0,Bank Transfer,Completed,,,2023-04-22 08:07:00
BK000123,TR000123,CU01977,FL001,VH00081,DR0025,BT002,2025-02-28 11:00:00,Islamabad,Islamabad,2025-02-28 13:16:00,0.87,True,27349.0,5470.0,JazzCash,Completed,,,2025-02-28 11:00:00
